strategy,feature_position,feature_name,importance,importance_rank,importance_percent,feature_type,base_feature
R0_CURRENT_BASELINE,49,categorical__legal_move_signature_ascension,0.05449979700429139,1,5.449979700429139,categorical,legal_move_signature_ascension
R0_CURRENT_BASELINE,53,categorical__legal_move_signature_pass,0.04839845613686418,2,4.839845613686418,categorical,legal_move_signature_pass
R0_CURRENT_BASELINE,22,numeric__is_legal__pass,0.04722155429519175,3,4.722155429519175,numeric,is_legal__pass
R0_CURRENT_BASELINE,27,numeric__active_card_can_use__live_coal,0.039745023120865246,4,3.9745023120865244,numeric,active_card_can_use__live_coal
R0_CURRENT_BASELINE,42,categorical__active_card_Charmander,0.03878718231524732,5,3.878718231524732,categorical,active_card_Charmander
R0_CURRENT_BASELINE,21,numeric__is_legal__live_coal,0.038187332016559807,6,3.8187332016559807,numeric,is_legal__live_coal
R0_CURRENT_BASELINE,41,categorical__active_card_Bulbasaur,0.036166827943375626,7,3.616682794337563,categorical,active_card_Bulbasaur
R0_CURRENT_BASELINE,20,numeric__is_legal__bind_down,0.034920246546350224,8,3.4920246546350224,numeric,is_legal__bind_down
R0_CURRENT_BASELINE,19,numeric__is_legal__ascension,0.03412478603373445,9,3.412478603373445,numeric,is_legal__ascension
R0_CURRENT_BASELINE,51,categorical__legal_move_signature_bind down,0.03394547891764955,10,3.394547891764955,categorical,legal_move_signature_bind down
R0_CURRENT_BASELINE,28,numeric__active_card_can_use__pass,0.03352666669100351,11,3.352666669100351,numeric,active_card_can_use__pass
R0_CURRENT_BASELINE,52,categorical__legal_move_signature_live coal,0.031564561242200716,12,3.1564561242200715,categorical,legal_move_signature_live coal
R0_CURRENT_BASELINE,18,numeric__model_choice_required_flag,0.030994978973058095,13,3.0994978973058096,numeric,model_choice_required_flag
R0_CURRENT_BASELINE,17,numeric__multi_legal_move_flag,0.028611627026524446,14,2.8611627026524444,numeric,multi_legal_move_flag
R0_CURRENT_BASELINE,23,numeric__is_legal__quick_attack,0.028418312623468743,15,2.8418312623468744,numeric,is_legal__quick_attack
R0_CURRENT_BASELINE,26,numeric__active_card_can_use__bind_down,0.026991251216699003,16,2.6991251216699004,numeric,active_card_can_use__bind_down
R0_CURRENT_BASELINE,12,numeric__acting_damage,0.02688039693402022,17,2.688039693402022,numeric,acting_damage
R0_CURRENT_BASELINE,7,numeric__recomputed_legal_move_count,0.025874350299871285,18,2.5874350299871285,numeric,recomputed_legal_move_count
R0_CURRENT_BASELINE,61,categorical__damage_band_HIGH_DAMAGE,0.025206306720251016,19,2.5206306720251015,categorical,damage_band_HIGH_DAMAGE
R0_CURRENT_BASELINE,50,categorical__legal_move_signature_ascension | quick attack,0.024727664212302127,20,2.4727664212302125,categorical,legal_move_signature_ascension | quick attack
R0_CURRENT_BASELINE,14,numeric__damage_difference,0.024572521877175978,21,2.457252187717598,numeric,damage_difference
R0_CURRENT_BASELINE,16,numeric__single_legal_move_flag,0.02428410197880131,22,2.428410197880131,numeric,single_legal_move_flag
R0_CURRENT_BASELINE,54,categorical__legal_move_signature_tuck tail,0.02319413496166711,23,2.3194134961667108,categorical,legal_move_signature_tuck tail
R0_CURRENT_BASELINE,24,numeric__is_legal__tuck_tail,0.02235945178974904,24,2.235945178974904,numeric,is_legal__tuck_tail
R0_CURRENT_BASELINE,15,numeric__absolute_damage_difference,0.019286859905629526,25,1.9286859905629525,numeric,absolute_damage_difference
R0_CURRENT_BASELINE,3,numeric__player_damage,0.012877161080213584,26,1.2877161080213584,numeric,player_damage
R0_CURRENT_BASELINE,8,numeric__acting_energy,0.012824873033617432,27,1.2824873033617432,numeric,acting_energy
R0_CURRENT_BASELINE,33,categorical__side_mode_FLIP,0.011944441800691178,28,1.194444180069118,categorical,side_mode_FLIP
R0_CURRENT_BASELINE,47,categorical__inactive_card_Eevee,0.011718671772956997,29,1.1718671772956997,categorical,inactive_card_Eevee
R0_CURRENT_BASELINE,25,numeric__active_card_can_use__ascension,0.010588879553898967,30,1.0588879553898967,numeric,active_card_can_use__ascension
R0_CURRENT_BASELINE,43,categorical__active_card_Eevee,0.010387669879507785,31,1.0387669879507784,categorical,active_card_Eevee
R0_CURRENT_BASELINE,29,numeric__active_card_can_use__quick_attack,0.009477987997493992,32,0.9477987997493992,numeric,active_card_can_use__quick_attack
R0_CURRENT_BASELINE,2,numeric__opponent_energy,0.00914249325314893,33,0.914249325314893,numeric,opponent_energy
R0_CURRENT_BASELINE,34,categorical__side_mode_PRESERVE,0.008857983410778727,34,0.8857983410778727,categorical,side_mode_PRESERVE
R0_CURRENT_BASELINE,59,categorical__energy_band_READY,0.008131806014026412,35,0.8131806014026413,categorical,energy_band_READY
R0_CURRENT_BASELINE,44,categorical__active_card_Meowth,0.007925693274709126,36,0.7925693274709126,categorical,active_card_Meowth
R0_CURRENT_BASELINE,6,numeric__hand_size,0.007001490321288065,37,0.7001490321288064,numeric,hand_size
R0_CURRENT_BASELINE,13,numeric__defending_damage,0.007000276011686795,38,0.7000276011686796,numeric,defending_damage
R0_CURRENT_BASELINE,30,numeric__active_card_can_use__tuck_tail,0.0068625222977905945,39,0.6862522297790594,numeric,active_card_can_use__tuck_tail
R0_CURRENT_BASELINE,58,categorical__energy_band_LOW,0.006843447273126755,40,0.6843447273126755,categorical,energy_band_LOW
