feature_name,R0,R1,R2,R3,strategies_retained,mean_importance_all_models,mean_importance_when_retained,maximum_importance,minimum_retained_importance,importance_range_when_retained,feature_type,base_feature,cross_strategy_rank
numeric__is_legal__pass,0.04722155429519175,0.0568146100385615,0.0621080808950603,0.0,3,0.04153606130720339,0.05538141507627118,0.0621080808950603,0.04722155429519175,0.014886526599868548,numeric,is_legal__pass,1
categorical__active_card_Bulbasaur,0.036166827943375626,0.0383404551799512,0.05785044493717566,0.08631854025492286,4,0.05466906707885634,0.05466906707885634,0.08631854025492286,0.036166827943375626,0.050151712311547234,categorical,active_card_Bulbasaur,2
categorical__legal_move_signature_ascension,0.05449979700429139,0.0,0.0,0.0,1,0.013624949251072847,0.05449979700429139,0.05449979700429139,0.05449979700429139,0.0,categorical,legal_move_signature_ascension,3
categorical__active_card_Charmander,0.03878718231524732,0.04067664560450881,0.059044212977075204,0.07864169688212118,4,0.05428743444473813,0.05428743444473813,0.07864169688212118,0.03878718231524732,0.03985451456687386,categorical,active_card_Charmander,4
numeric__is_legal__ascension,0.03412478603373445,0.051751656773140677,0.05997612976106976,0.0,3,0.03646314314198622,0.048617524189314955,0.05997612976106976,0.03412478603373445,0.02585134372733531,numeric,is_legal__ascension,5
categorical__legal_move_signature_pass,0.04839845613686418,0.0,0.0,0.0,1,0.012099614034216045,0.04839845613686418,0.04839845613686418,0.04839845613686418,0.0,categorical,legal_move_signature_pass,6
numeric__is_legal__live_coal,0.038187332016559807,0.04086852064358667,0.06129861937222257,0.0,3,0.035088618008092265,0.046784824010789684,0.06129861937222257,0.038187332016559807,0.023111287355662764,numeric,is_legal__live_coal,7
numeric__is_legal__bind_down,0.034920246546350224,0.04167752495399648,0.056437634003958896,0.0,3,0.0332588513760764,0.04434513516810187,0.056437634003958896,0.034920246546350224,0.021517387457608672,numeric,is_legal__bind_down,8
numeric__active_card_can_use__live_coal,0.039745023120865246,0.04208840537115972,0.0,0.0,2,0.02045835712300624,0.04091671424601248,0.04208840537115972,0.039745023120865246,0.0023433822502944776,numeric,active_card_can_use__live_coal,9
numeric__damage_difference,0.024572521877175978,0.03515132093174132,0.0345266151537555,0.05700591226629761,4,0.0378140925572426,0.0378140925572426,0.05700591226629761,0.024572521877175978,0.03243339038912163,numeric,damage_difference,10
numeric__active_card_can_use__pass,0.03352666669100351,0.04161279317667573,0.0,0.0,2,0.01878486496691981,0.03756972993383962,0.04161279317667573,0.03352666669100351,0.008086126485672224,numeric,active_card_can_use__pass,11
numeric__acting_damage,0.02688039693402022,0.03326746850632282,0.040816803636862874,0.048119531899841396,4,0.037271050244261826,0.037271050244261826,0.048119531899841396,0.02688039693402022,0.021239134965821176,numeric,acting_damage,12
numeric__active_card_can_use__bind_down,0.026991251216699003,0.0442558591184413,0.0,0.0,2,0.017811777583785077,0.03562355516757015,0.0442558591184413,0.026991251216699003,0.017264607901742297,numeric,active_card_can_use__bind_down,13
categorical__legal_move_signature_bind down,0.03394547891764955,0.0,0.0,0.0,1,0.008486369729412387,0.03394547891764955,0.03394547891764955,0.03394547891764955,0.0,categorical,legal_move_signature_bind down,14
numeric__multi_legal_move_flag,0.028611627026524446,0.028799209986888143,0.038134953659021344,0.03655211603741221,4,0.033024476677461535,0.033024476677461535,0.038134953659021344,0.028611627026524446,0.009523326632496897,numeric,multi_legal_move_flag,15
numeric__recomputed_legal_move_count,0.025874350299871285,0.030888985564405697,0.03433222378084902,0.040493420012029484,4,0.03289724491428887,0.03289724491428887,0.040493420012029484,0.025874350299871285,0.014619069712158199,numeric,recomputed_legal_move_count,16
numeric__model_choice_required_flag,0.030994978973058095,0.033931102937855756,0.030599529808120515,0.034221057535609146,4,0.03243666731366088,0.03243666731366088,0.034221057535609146,0.030599529808120515,0.0036215277274886312,numeric,model_choice_required_flag,17
numeric__is_legal__quick_attack,0.028418312623468743,0.03604991460252789,0.03113539965353921,0.0,3,0.023900906719883958,0.03186787562651194,0.03604991460252789,0.028418312623468743,0.007631601979059148,numeric,is_legal__quick_attack,18
categorical__legal_move_signature_live coal,0.031564561242200716,0.0,0.0,0.0,1,0.007891140310550179,0.031564561242200716,0.031564561242200716,0.031564561242200716,0.0,categorical,legal_move_signature_live coal,19
categorical__damage_band_HIGH_DAMAGE,0.025206306720251016,0.02825792753220497,0.03533836654506567,0.029283087962767823,4,0.02952142219007237,0.02952142219007237,0.03533836654506567,0.025206306720251016,0.010132059824814653,categorical,damage_band_HIGH_DAMAGE,20
numeric__single_legal_move_flag,0.02428410197880131,0.026903150645514094,0.028153136731093882,0.037751526159406794,4,0.029272978878704024,0.029272978878704024,0.037751526159406794,0.02428410197880131,0.013467424180605484,numeric,single_legal_move_flag,21
numeric__is_legal__tuck_tail,0.02235945178974904,0.02835371737274491,0.03122809817461664,0.0,3,0.020485316834277647,0.02731375577903686,0.03122809817461664,0.02235945178974904,0.0088686463848676,numeric,is_legal__tuck_tail,22
categorical__legal_move_signature_ascension | quick attack,0.024727664212302127,0.0,0.0,0.0,1,0.006181916053075532,0.024727664212302127,0.024727664212302127,0.024727664212302127,0.0,categorical,legal_move_signature_ascension | quick attack,23
categorical__legal_move_signature_tuck tail,0.02319413496166711,0.0,0.0,0.0,1,0.005798533740416777,0.02319413496166711,0.02319413496166711,0.02319413496166711,0.0,categorical,legal_move_signature_tuck tail,24
numeric__absolute_damage_difference,0.019286859905629526,0.016479970927738577,0.02216162233664746,0.033566929602172335,4,0.022873845693046974,0.022873845693046974,0.033566929602172335,0.016479970927738577,0.017086958674433758,numeric,absolute_damage_difference,25
categorical__side_mode_PRESERVE,0.008857983410778727,0.015180585252947777,0.022488260451059696,0.03990029181520392,4,0.02160678023249753,0.02160678023249753,0.03990029181520392,0.008857983410778727,0.031042308404425196,categorical,side_mode_PRESERVE,26
categorical__inactive_card_Eevee,0.011718671772956997,0.01950323343497863,0.02400367123429553,0.030530301813397987,4,0.021438969563907288,0.021438969563907288,0.030530301813397987,0.011718671772956997,0.01881163004044099,categorical,inactive_card_Eevee,27
categorical__side_mode_FLIP,0.011944441800691178,0.012655224873104795,0.02856887351947989,0.03237370024476118,4,0.02138556010950926,0.02138556010950926,0.03237370024476118,0.011944441800691178,0.020429258444070002,categorical,side_mode_FLIP,28
