feature_name,R0,R1,R2,R3,strategies_retained,mean_importance_all_models,mean_importance_when_retained,maximum_importance,minimum_retained_importance,importance_range_when_retained,feature_type,base_feature,cross_strategy_rank,absolute_change_r0_to_r3,relative_change_r0_to_r3,importance_increased_r0_to_r3
categorical__active_card_Bulbasaur,0.036166827943375626,0.0383404551799512,0.05785044493717566,0.08631854025492286,4,0.05466906707885634,0.05466906707885634,0.08631854025492286,0.036166827943375626,0.050151712311547234,categorical,active_card_Bulbasaur,2,0.050151712311547234,2.3866771061611196,True
categorical__active_card_Charmander,0.03878718231524732,0.04067664560450881,0.059044212977075204,0.07864169688212118,4,0.05428743444473813,0.05428743444473813,0.07864169688212118,0.03878718231524732,0.03985451456687386,categorical,active_card_Charmander,4,0.03985451456687386,2.027517653717449,True
numeric__damage_difference,0.024572521877175978,0.03515132093174132,0.0345266151537555,0.05700591226629761,4,0.0378140925572426,0.0378140925572426,0.05700591226629761,0.024572521877175978,0.03243339038912163,numeric,damage_difference,10,0.03243339038912163,2.319904833180642,True
categorical__side_mode_PRESERVE,0.008857983410778727,0.015180585252947777,0.022488260451059696,0.03990029181520392,4,0.02160678023249753,0.02160678023249753,0.03990029181520392,0.008857983410778727,0.031042308404425196,categorical,side_mode_PRESERVE,26,0.031042308404425196,4.504444179320967,True
categorical__active_card_Eevee,0.010387669879507785,0.015594930543991631,0.02224472523800183,0.03594467843321539,4,0.021043001023679158,0.021043001023679158,0.03594467843321539,0.010387669879507785,0.025557008553707603,categorical,active_card_Eevee,29,0.025557008553707603,3.46032159764001,True
categorical__player_card_Bulbasaur,0.006800404505808597,0.008741451794383332,0.017312701774389917,0.03024015848125746,4,0.01577367913895983,0.01577367913895983,0.03024015848125746,0.006800404505808597,0.023439753975448865,categorical,player_card_Bulbasaur,33,0.023439753975448865,4.446817605545037,True
numeric__acting_damage,0.02688039693402022,0.03326746850632282,0.040816803636862874,0.048119531899841396,4,0.037271050244261826,0.037271050244261826,0.048119531899841396,0.02688039693402022,0.021239134965821176,numeric,acting_damage,12,0.021239134965821176,1.7901347222644848,True
categorical__side_mode_FLIP,0.011944441800691178,0.012655224873104795,0.02856887351947989,0.03237370024476118,4,0.02138556010950926,0.02138556010950926,0.03237370024476118,0.011944441800691178,0.020429258444070002,categorical,side_mode_FLIP,28,0.020429258444070002,2.710356899464975,True
numeric__turn_number,0.006311689883094547,0.01769727609030641,0.015709813488297895,0.026197338736102638,4,0.016479029549450373,0.016479029549450373,0.026197338736102638,0.006311689883094547,0.01988564885300809,numeric,turn_number,32,0.01988564885300809,4.150606132641357,True
categorical__inactive_card_Eevee,0.011718671772956997,0.01950323343497863,0.02400367123429553,0.030530301813397987,4,0.021438969563907288,0.021438969563907288,0.030530301813397987,0.011718671772956997,0.01881163004044099,categorical,inactive_card_Eevee,27,0.01881163004044099,2.6052698125612075,True
numeric__hand_size,0.007001490321288065,0.012614558344730247,0.013140486901955045,0.025160347631059867,4,0.014479220799758306,0.014479220799758306,0.025160347631059867,0.007001490321288065,0.018158857309771802,numeric,hand_size,34,0.018158857309771802,3.593570293821547,True
numeric__player_damage,0.012877161080213584,0.017646091621184468,0.019515166150121662,0.030931890138602716,4,0.02024257724753061,0.02024257724753061,0.030931890138602716,0.012877161080213584,0.018054729058389132,numeric,player_damage,30,0.018054729058389132,2.402073713757541,True
numeric__defending_energy,0.0059299044397129064,0.011750601597740704,0.01287224830251158,0.02360134971317429,4,0.01353852601328487,0.01353852601328487,0.02360134971317429,0.0059299044397129064,0.017671445273461386,numeric,defending_energy,37,0.017671445273461386,3.980055657409032,True
numeric__defending_damage,0.007000276011686795,0.010548337467120108,0.014530043245445462,0.02301610524625142,4,0.013773690492625945,0.013773690492625945,0.02301610524625142,0.007000276011686795,0.016015829234564627,numeric,defending_damage,36,0.016015829234564627,3.2878853930654417,True
numeric__recomputed_legal_move_count,0.025874350299871285,0.030888985564405697,0.03433222378084902,0.040493420012029484,4,0.03289724491428887,0.03289724491428887,0.040493420012029484,0.025874350299871285,0.014619069712158199,numeric,recomputed_legal_move_count,16,0.014619069712158199,1.565002388184832,True
