transition,strategy_before,strategy_after,removed_family,feature_name,feature_type,importance_before_removal,importance_percent_before_removal
R0_TO_R1,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,legal_signature,categorical__legal_move_signature_ascension,categorical,0.05449979700429139,5.449979700429139
R0_TO_R1,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,legal_signature,categorical__legal_move_signature_pass,categorical,0.04839845613686418,4.839845613686418
R0_TO_R1,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,legal_signature,categorical__legal_move_signature_bind down,categorical,0.03394547891764955,3.394547891764955
R0_TO_R1,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,legal_signature,categorical__legal_move_signature_live coal,categorical,0.031564561242200716,3.1564561242200715
R0_TO_R1,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,legal_signature,categorical__legal_move_signature_ascension | quick attack,categorical,0.024727664212302127,2.4727664212302125
R0_TO_R1,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,legal_signature,categorical__legal_move_signature_tuck tail,categorical,0.02319413496166711,2.3194134961667108
R1_TO_R2,R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,compatibility,numeric__active_card_can_use__bind_down,numeric,0.0442558591184413,4.42558591184413
R1_TO_R2,R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,compatibility,numeric__active_card_can_use__live_coal,numeric,0.04208840537115972,4.2088405371159725
R1_TO_R2,R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,compatibility,numeric__active_card_can_use__pass,numeric,0.04161279317667573,4.1612793176675735
R1_TO_R2,R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,compatibility,numeric__active_card_can_use__quick_attack,numeric,0.016326408488913906,1.6326408488913906
R1_TO_R2,R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,compatibility,numeric__active_card_can_use__tuck_tail,numeric,0.010683423839638058,1.0683423839638058
R1_TO_R2,R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,compatibility,numeric__active_card_can_use__ascension,numeric,0.010669451720269577,1.0669451720269576
R2_TO_R3,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,direct_legality,numeric__is_legal__pass,numeric,0.0621080808950603,6.21080808950603
R2_TO_R3,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,direct_legality,numeric__is_legal__live_coal,numeric,0.06129861937222257,6.129861937222257
R2_TO_R3,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,direct_legality,numeric__is_legal__ascension,numeric,0.05997612976106976,5.997612976106976
R2_TO_R3,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,direct_legality,numeric__is_legal__bind_down,numeric,0.056437634003958896,5.64376340039589
R2_TO_R3,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,direct_legality,numeric__is_legal__tuck_tail,numeric,0.03122809817461664,3.122809817461664
R2_TO_R3,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,direct_legality,numeric__is_legal__quick_attack,numeric,0.03113539965353921,3.113539965353921
