comparison_case_id,strategy_a,strategy_b,maximum_case_difference,mean_case_difference,l1_case_difference,prediction_a,prediction_b,predictions_match,maximum_probability_difference,mean_probability_difference,l1_probability_difference,global_rank
4WE_PAIR_014_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.168,0.05666666666666667,0.34,Quick Attack,Quick Attack,True,0.168,0.05666666666666667,0.34,1
4WE_PAIR_019_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.168,0.05666666666666667,0.34,Quick Attack,Quick Attack,True,0.168,0.05666666666666667,0.34,2
4WE_PAIR_002_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,3
4WE_PAIR_009_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,4
4WE_PAIR_013_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,5
4WE_PAIR_014_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,6
4WE_PAIR_018_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,7
4WE_PAIR_019_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,8
4WE_PAIR_002_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.056,0.336,Quick Attack,Quick Attack,True,0.164,0.056,0.336,9
4WE_PAIR_009_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.056,0.336,Quick Attack,Quick Attack,True,0.164,0.056,0.336,10
4WE_PAIR_001_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,11
4WE_PAIR_003_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,12
4WE_PAIR_008_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,13
4WE_PAIR_010_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,14
4WE_PAIR_013_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,15
4WE_PAIR_018_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,16
4WE_PAIR_001_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.162,0.05533333333333334,0.332,17
4WE_PAIR_008_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.162,0.05533333333333334,0.332,18
4WE_PAIR_002_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,19
4WE_PAIR_003_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,20
4WE_PAIR_004_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,21
4WE_PAIR_009_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,22
4WE_PAIR_010_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,23
4WE_PAIR_014_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,24
