comparison_case_id,strategy_a,strategy_b,maximum_case_difference,mean_case_difference,l1_case_difference,prediction_a,prediction_b,predictions_match,maximum_probability_difference,mean_probability_difference,l1_probability_difference,global_rank,parsed_successfully,scenario_family,pair_number,case_variant,evaluation_side
4WE_PAIR_014_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.168,0.05666666666666667,0.34,Quick Attack,Quick Attack,True,0.168,0.05666666666666667,0.34,1,True,4WE,14,V03,PLAYER
4WE_PAIR_019_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.168,0.05666666666666667,0.34,Quick Attack,Quick Attack,True,0.168,0.05666666666666667,0.34,2,True,4WE,19,V03,PLAYER
4WE_PAIR_002_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,3,True,4WE,2,V03,OPPONENT
4WE_PAIR_009_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,4,True,4WE,9,V03,OPPONENT
4WE_PAIR_013_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,5,True,4WE,13,V03,PLAYER
4WE_PAIR_014_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,6,True,4WE,14,V03,OPPONENT
4WE_PAIR_018_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,7,True,4WE,18,V03,PLAYER
4WE_PAIR_019_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.166,0.056,0.336,Quick Attack,Quick Attack,True,0.166,0.056,0.336,8,True,4WE,19,V03,OPPONENT
4WE_PAIR_002_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.056,0.336,Quick Attack,Quick Attack,True,0.164,0.056,0.336,9,True,4WE,2,V03,PLAYER
4WE_PAIR_009_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.056,0.336,Quick Attack,Quick Attack,True,0.164,0.056,0.336,10,True,4WE,9,V03,PLAYER
4WE_PAIR_001_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,11,True,4WE,1,V03,OPPONENT
