comparison_case_id,scenario_family,pair_number,case_variant,evaluation_side,strategy_comparisons,mean_maximum_probability_difference,maximum_probability_difference,mean_l1_probability_difference,maximum_l1_probability_difference,unique_case_rank
4WE_PAIR_014_V03__PLAYER,4WE,14,V03,PLAYER,6,0.08800000000000001,0.168,0.17933333333333334,0.34,1
4WE_PAIR_019_V03__PLAYER,4WE,19,V03,PLAYER,6,0.08800000000000001,0.168,0.17933333333333334,0.34,2
4WE_PAIR_002_V03__OPPONENT,4WE,2,V03,OPPONENT,6,0.08733333333333333,0.166,0.17800000000000002,0.336,3
4WE_PAIR_009_V03__OPPONENT,4WE,9,V03,OPPONENT,6,0.08733333333333333,0.166,0.17800000000000002,0.336,4
4WE_PAIR_013_V03__PLAYER,4WE,13,V03,PLAYER,6,0.08733333333333333,0.166,0.17800000000000002,0.336,5
4WE_PAIR_018_V03__PLAYER,4WE,18,V03,PLAYER,6,0.08733333333333333,0.166,0.17800000000000002,0.336,6
4WE_PAIR_014_V03__OPPONENT,4WE,14,V03,OPPONENT,6,0.08700000000000001,0.166,0.17733333333333334,0.336,7
4WE_PAIR_019_V03__OPPONENT,4WE,19,V03,OPPONENT,6,0.08700000000000001,0.166,0.17733333333333334,0.336,8
4WE_PAIR_002_V03__PLAYER,4WE,2,V03,PLAYER,6,0.08733333333333333,0.164,0.17866666666666667,0.336,9
4WE_PAIR_009_V03__PLAYER,4WE,9,V03,PLAYER,6,0.08733333333333333,0.164,0.17866666666666667,0.336,10
4WE_PAIR_001_V03__OPPONENT,4WE,1,V03,OPPONENT,6,0.08666666666666667,0.164,0.17666666666666667,0.332,11
4WE_PAIR_008_V03__OPPONENT,4WE,8,V03,OPPONENT,6,0.08666666666666667,0.164,0.17666666666666667,0.332,12
4WE_PAIR_013_V03__OPPONENT,4WE,13,V03,OPPONENT,6,0.08633333333333333,0.164,0.17600000000000002,0.332,13
4WE_PAIR_018_V03__OPPONENT,4WE,18,V03,OPPONENT,6,0.08633333333333333,0.164,0.17600000000000002,0.332,14
