strategy_a,strategy_b,action,mean_probability_difference,maximum_probability_difference
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Quick Attack,0.10056521739130435,0.15000000000000002
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Ascension,0.09967391304347828,0.168
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Ascension,0.07131521739130435,0.118
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Quick Attack,0.06268478260869563,0.1060000000000001
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Ascension,0.054913043478260884,0.094
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Quick Attack,0.05441304347826087,0.07600000000000007
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,0.046152173913043486,0.07399999999999995
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Ascension,0.044760869565217395,0.07400000000000001
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Quick Attack,0.03788043478260871,0.07800000000000007
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Ascension,0.028641304347826094,0.054000000000000006
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Ascension,0.019402173913043476,0.05199999999999999
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,0.01868478260869564,0.04800000000000004
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Pass,0.012043478260869567,0.04
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,0.009934782608695654,0.02
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Pass,0.008717391304347826,0.02
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Pass,0.007695652173913044,0.038
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Pass,0.007652173913043478,0.032
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Live Coal,0.003695652173913044,0.012
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Live Coal,0.003695652173913044,0.012
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Bind Down,0.0033913043478260864,0.006
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Bind Down,0.0033913043478260864,0.006
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Bind Down,0.0033913043478260864,0.006
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Live Coal,0.002695652173913044,0.01
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,0.0024782608695652175,0.006
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Tuck Tail,0.0016956521739130434,0.004
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Tuck Tail,0.0011304347826086958,0.004
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Live Coal,0.0011304347826086958,0.002
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Live Coal,0.0011304347826086958,0.002
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,0.0011304347826086958,0.002
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Tuck Tail,0.0005652173913043479,0.002
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Tuck Tail,0.0005652173913043479,0.002
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,0.00028260869565217394,0.002
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Live Coal,0.0,0.0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Bind Down,0.0,0.0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Bind Down,0.0,0.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Bind Down,0.0,0.0
