strategy_a,strategy_b,action,mean_signed_shift_b_minus_a,median_signed_shift_b_minus_a,minimum_signed_shift,maximum_signed_shift,cases_probability_increased,cases_probability_decreased,cases_probability_unchanged,cases_increased_by_005,cases_decreased_by_005,cases_increased_by_010,cases_decreased_by_010,absolute_mean_signed_shift
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Quick Attack,-0.10056521739130435,-0.10599999999999998,-0.15000000000000002,-0.026000000000000023,0,184,0,0,145,0,126,0.10056521739130435
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Ascension,0.09967391304347828,0.096,0.018000000000000002,0.168,184,0,0,144,0,83,0,0.09967391304347828
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Ascension,0.07131521739130435,0.07,0.014,0.118,184,0,0,92,0,79,0,0.07131521739130435
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Quick Attack,-0.06268478260869563,-0.06499999999999995,-0.1060000000000001,-0.014000000000000012,0,184,0,0,92,0,15,0.06268478260869563
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Ascension,0.054913043478260884,0.05,0.012,0.094,184,0,0,111,0,0,0,0.054913043478260884
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Quick Attack,-0.05441304347826087,-0.062000000000000055,-0.07600000000000007,-0.006000000000000005,0,184,0,0,135,0,0,0.05441304347826087
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,-0.046152173913043486,-0.04799999999999993,-0.07399999999999995,-0.008000000000000007,0,184,0,0,86,0,0,0.046152173913043486
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Ascension,0.044760869565217395,0.045999999999999985,0.004,0.07400000000000001,184,0,0,77,0,0,0,0.044760869565217395
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Quick Attack,-0.03788043478260871,-0.04600000000000004,-0.07800000000000007,0.0,0,183,1,0,65,0,0,0.03788043478260871
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Ascension,0.02835869565217392,0.02800000000000001,-0.00799999999999998,0.054000000000000006,177,6,1,18,0,0,0,0.02835869565217392
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,0.016532608695652158,0.013999999999999957,-0.01200000000000001,0.04800000000000004,123,44,17,0,0,0,0,0.016532608695652158
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Ascension,-0.016402173913043473,-0.014000000000000007,-0.05199999999999999,0.013999999999999999,50,123,11,0,2,0,0,0.016402173913043473
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Pass,0.007652173913043478,0.004,0.0,0.032,130,0,54,0,0,0,0,0.007652173913043478
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Pass,0.007521739130434783,0.006,-0.002,0.038,122,8,54,0,0,0,0,0.007521739130434783
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,-0.0065,-0.008,-0.02,0.014,38,132,14,0,0,0,0,0.0065
