match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,winner,turns,stop_reason,agent_result,fallback_count,elapsed_seconds,schedule_match_id,scheduled_baseline_name,scheduled_evaluated_agent_side,scheduled_starting_side,scheduled_player_card,scheduled_opponent_card,baseline_seed,r3_outcome,r3_score_reconstructed,execution_success
1,R3_STATE_CENTRIC_POLICY,Random Baseline,Pikachu,Charmander,Player,Player,7,Battle reached a terminal state.,1.0,0,0.37614209996536374,1,Random Baseline,Player,Player,Pikachu,Charmander,4805,WIN,1.0,True
2,R3_STATE_CENTRIC_POLICY,Random Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,1,0.08401160000357777,2,Random Baseline,Opponent,Player,Charmander,Eevee,4806,LOSS,0.0,True
3,R3_STATE_CENTRIC_POLICY,Random Baseline,Squirtle,Charmander,Opponent,Opponent,7,Battle reached a terminal state.,0.0,3,0.24541019997559488,3,Random Baseline,Player,Opponent,Squirtle,Charmander,4807,LOSS,0.0,True
4,R3_STATE_CENTRIC_POLICY,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,2,0.1783944999333471,4,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee,4808,LOSS,0.0,True
5,R3_STATE_CENTRIC_POLICY,Random Baseline,Eevee,Charmander,Player,Opponent,6,Battle reached a terminal state.,0.0,3,0.24712459999136627,5,Random Baseline,Player,Player,Eevee,Charmander,4809,LOSS,0.0,True
6,R3_STATE_CENTRIC_POLICY,Random Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,1,0.076373599935323,6,Random Baseline,Opponent,Player,Meowth,Eevee,4810,LOSS,0.0,True
7,R3_STATE_CENTRIC_POLICY,Random Baseline,Pikachu,Charmander,Opponent,Opponent,5,Battle reached a terminal state.,0.0,0,0.152843700023368,7,Random Baseline,Player,Opponent,Pikachu,Charmander,4811,LOSS,0.0,True
8,R3_STATE_CENTRIC_POLICY,Random Baseline,Charmander,Eevee,Opponent,Player,8,Battle reached a terminal state.,0.0,4,0.42180839995853603,8,Random Baseline,Opponent,Opponent,Charmander,Eevee,4812,LOSS,0.0,True
9,R3_STATE_CENTRIC_POLICY,Random Baseline,Squirtle,Charmander,Player,Opponent,6,Battle reached a terminal state.,0.0,3,0.2245444000000134,9,Random Baseline,Player,Player,Squirtle,Charmander,4813,LOSS,0.0,True
10,R3_STATE_CENTRIC_POLICY,Random Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,1,0.06897159991785884,10,Random Baseline,Opponent,Player,Bulbasaur,Eevee,4814,LOSS,0.0,True
