agent_variant,battle_id,checkpoint_sha256,mean_damage_per_move,normalized_outcome,opponent_final_hp,player_final_hp,policy_score_max,policy_score_mean,policy_score_min,positive_damage_move_count,positive_damage_move_rate,runtime_exception,runtime_exception_message,runtime_exception_type,scenario_id,seed,side_mode,stop_reason,total_damage,total_moves,turn_count,unknown_move_count,unknown_move_rate,winner,zero_damage_move_count,zero_damage_move_rate
DEPLOYMENT_POLICY,NB63C_0001,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,10.0,PLAYER_WIN,0.0,10.0,,,,11,1.0,False,,,S1_BALANCED_LOW_HP,63001,NORMAL,Battle reached a terminal state.,110.0,11,11,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0011,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,10.0,PLAYER_WIN,0.0,10.0,,,,11,1.0,False,,,S1_BALANCED_LOW_HP,63001,SWAPPED,Battle reached a terminal state.,110.0,11,11,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0021,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63001,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0031,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63001,SWAPPED,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0041,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.555555555555555,PLAYER_WIN,0.0,50.0,,,,9,1.0,False,,,S3_PLAYER_DAMAGE_ADVANTAGE,63001,NORMAL,Battle reached a terminal state.,140.0,9,9,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0051,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,OPPONENT_WIN,40.0,0.0,,,,10,1.0,False,,,S3_PLAYER_DAMAGE_ADVANTAGE,63001,SWAPPED,Battle reached a terminal state.,150.0,10,10,0,0.0,Opponent,0,0.0
DEPLOYMENT_POLICY,NB63C_0061,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,OPPONENT_WIN,40.0,0.0,,,,10,1.0,False,,,S4_OPPONENT_DAMAGE_ADVANTAGE,63001,NORMAL,Battle reached a terminal state.,150.0,10,10,0,0.0,Opponent,0,0.0
DEPLOYMENT_POLICY,NB63C_0071,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.555555555555555,PLAYER_WIN,0.0,50.0,,,,9,1.0,False,,,S4_OPPONENT_DAMAGE_ADVANTAGE,63001,SWAPPED,Battle reached a terminal state.,140.0,9,9,0,0.0,Player,0,0.0
FIRST_LEGAL_MOVE,NB63C_0081,,10.0,PLAYER_WIN,0.0,10.0,,,,11,1.0,False,,,S1_BALANCED_LOW_HP,63001,NORMAL,Battle reached a terminal state.,110.0,11,11,0,0.0,Player,0,0.0
FIRST_LEGAL_MOVE,NB63C_0091,,10.0,PLAYER_WIN,0.0,10.0,,,,11,1.0,False,,,S1_BALANCED_LOW_HP,63001,SWAPPED,Battle reached a terminal state.,110.0,11,11,0,0.0,Player,0,0.0
FIRST_LEGAL_MOVE,NB63C_0101,,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63001,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
FIRST_LEGAL_MOVE,NB63C_0111,,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63001,SWAPPED,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
FIRST_LEGAL_MOVE,NB63C_0121,,15.555555555555555,PLAYER_WIN,0.0,50.0,,,,9,1.0,False,,,S3_PLAYER_DAMAGE_ADVANTAGE,63001,NORMAL,Battle reached a terminal state.,140.0,9,9,0,0.0,Player,0,0.0
FIRST_LEGAL_MOVE,NB63C_0131,,15.0,OPPONENT_WIN,40.0,0.0,,,,10,1.0,False,,,S3_PLAYER_DAMAGE_ADVANTAGE,63001,SWAPPED,Battle reached a terminal state.,150.0,10,10,0,0.0,Opponent,0,0.0
FIRST_LEGAL_MOVE,NB63C_0141,,15.0,OPPONENT_WIN,40.0,0.0,,,,10,1.0,False,,,S4_OPPONENT_DAMAGE_ADVANTAGE,63001,NORMAL,Battle reached a terminal state.,150.0,10,10,0,0.0,Opponent,0,0.0
FIRST_LEGAL_MOVE,NB63C_0151,,15.555555555555555,PLAYER_WIN,0.0,50.0,,,,9,1.0,False,,,S4_OPPONENT_DAMAGE_ADVANTAGE,63001,SWAPPED,Battle reached a terminal state.,140.0,9,9,0,0.0,Player,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0161,,20.0,PLAYER_WIN,0.0,20.0,,,,5,1.0,False,,,S1_BALANCED_LOW_HP,63001,NORMAL,Battle reached a terminal state.,100.0,5,5,0,0.0,Player,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0171,,20.0,PLAYER_WIN,0.0,20.0,,,,5,1.0,False,,,S1_BALANCED_LOW_HP,63001,SWAPPED,Battle reached a terminal state.,100.0,5,5,0,0.0,Player,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0181,,30.0,PLAYER_WIN,0.0,30.0,,,,7,1.0,False,,,S2_BALANCED_HIGH_HP,63001,NORMAL,Battle reached a terminal state.,210.0,7,7,0,0.0,Player,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0191,,30.0,PLAYER_WIN,0.0,30.0,,,,7,1.0,False,,,S2_BALANCED_HIGH_HP,63001,SWAPPED,Battle reached a terminal state.,210.0,7,7,0,0.0,Player,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0201,,29.0,PLAYER_WIN,0.0,50.0,,,,5,1.0,False,,,S3_PLAYER_DAMAGE_ADVANTAGE,63001,NORMAL,Battle reached a terminal state.,145.0,5,5,0,0.0,Player,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0211,,27.5,OPPONENT_WIN,30.0,0.0,,,,6,1.0,False,,,S3_PLAYER_DAMAGE_ADVANTAGE,63001,SWAPPED,Battle reached a terminal state.,165.0,6,6,0,0.0,Opponent,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0221,,27.5,OPPONENT_WIN,30.0,0.0,,,,6,1.0,False,,,S4_OPPONENT_DAMAGE_ADVANTAGE,63001,NORMAL,Battle reached a terminal state.,165.0,6,6,0,0.0,Opponent,0,0.0
MAX_DAMAGE_LEGAL_MOVE,NB63C_0231,,29.0,PLAYER_WIN,0.0,50.0,,,,5,1.0,False,,,S4_OPPONENT_DAMAGE_ADVANTAGE,63001,SWAPPED,Battle reached a terminal state.,145.0,5,5,0,0.0,Player,0,0.0
