match_number,starting_side,winner,turns,final_score,transcript_characters
1,Player,Team Jesus AI,3,170.0,1024
2,Opponent,Team Jesus AI,4,140.0,1288
3,Player,Team Jesus AI,3,170.0,1024
4,Opponent,Team Jesus AI,4,140.0,1288
5,Player,Team Jesus AI,3,170.0,1024
6,Opponent,Team Jesus AI,4,140.0,1288
7,Player,Team Jesus AI,3,170.0,1024
8,Opponent,Team Jesus AI,4,140.0,1288
9,Player,Team Jesus AI,3,170.0,1024
10,Opponent,Team Jesus AI,4,140.0,1288
11,Player,Team Jesus AI,3,170.0,1024
12,Opponent,Team Jesus AI,4,140.0,1288
13,Player,Team Jesus AI,3,170.0,1024
14,Opponent,Team Jesus AI,4,140.0,1288
15,Player,Team Jesus AI,3,170.0,1024
16,Opponent,Team Jesus AI,4,140.0,1288
17,Player,Team Jesus AI,3,170.0,1024
18,Opponent,Team Jesus AI,4,140.0,1288
19,Player,Team Jesus AI,3,170.0,1024
20,Opponent,Team Jesus AI,4,140.0,1288
