game_number,game_id,winner,total_turns,final_score,replay_steps,transcript_characters
1,a867f751-bbdf-4999-8c1c-392f2a803324,TrainingAgent,3,170.0,3,1024
2,148580ca-739b-4be8-a824-5d7934c420c6,TrainingAgent,4,140.0,4,1288
3,b0b761b7-6a22-4421-9065-54e314aba757,TrainingAgent,3,170.0,3,1024
4,0af5bcf3-7d69-415b-95c5-0efbee82e27a,TrainingAgent,4,140.0,4,1288
5,5e0832e4-23cd-4c17-a20f-7f0184b0dff2,TrainingAgent,3,170.0,3,1024
6,bfc9959c-1dbe-4d75-9e65-37256eaf40a4,TrainingAgent,4,140.0,4,1288
7,21a9a13b-bc96-4af8-ab0d-a539da5e90c7,TrainingAgent,3,170.0,3,1024
8,05fb8555-2f32-474c-84a8-54642bff1e69,TrainingAgent,4,140.0,4,1288
9,5c184971-7fbd-4465-a539-a6afd834236c,TrainingAgent,3,170.0,3,1024
10,00389a47-f6c9-4959-96c4-4c91bdde1a40,TrainingAgent,4,140.0,4,1288
11,65df92b8-a46f-4729-8da9-d946a390d217,TrainingAgent,3,170.0,3,1024
12,a4b2edc6-ad1c-4d70-9d53-67dfb099dfa7,TrainingAgent,4,140.0,4,1288
13,43e5b538-37a3-4c00-acdf-cc05b2a9178d,TrainingAgent,3,170.0,3,1024
14,9e635c92-7313-4b76-b9a5-42b2cf4d9ed4,TrainingAgent,4,140.0,4,1288
15,e38b6172-0632-45cf-b05c-93a4f6b6a1d2,TrainingAgent,3,170.0,3,1024
16,bc8e516e-ce2c-4978-8847-a663871666f7,TrainingAgent,4,140.0,4,1288
17,b1d9a31f-7b51-4c1a-b052-6d38b5d670f4,TrainingAgent,3,170.0,3,1024
18,2f3edb7c-24e2-49b6-bc38-55f5942e5293,TrainingAgent,4,140.0,4,1288
19,9f3db075-885b-46b2-bb0b-2452f3a00a5d,TrainingAgent,3,170.0,3,1024
20,186aece4-ee4f-4bb8-ad97-cf15371ba1ee,TrainingAgent,4,140.0,4,1288
21,57fed848-da87-4d36-8379-c435067dc7e2,TrainingAgent,3,170.0,3,1024
22,37d8b2b2-d2e2-44aa-9fe2-fab9a28e6d5a,TrainingAgent,4,140.0,4,1288
23,5fa59a35-5fec-47bc-962f-3fa8bea9ed76,TrainingAgent,3,170.0,3,1024
24,6c9d980d-7071-4791-b702-24c632671258,TrainingAgent,4,140.0,4,1288
25,820538be-4bcd-4b2d-9ec2-b82e37d0b0d1,TrainingAgent,3,170.0,3,1024
26,5cc48730-8ec7-492e-b426-217402f3ed1e,TrainingAgent,4,140.0,4,1288
27,7a379a05-9203-425b-98df-7f40152fb0d6,TrainingAgent,3,170.0,3,1024
28,3e1eb006-2903-403e-a274-b4286faa4268,TrainingAgent,4,140.0,4,1288
29,7086c19f-e1bf-49de-a0df-b2f10d0b967d,TrainingAgent,3,170.0,3,1024
30,c6527220-16ea-4cc3-9866-535d22de27d5,TrainingAgent,4,140.0,4,1288
31,83aafe64-a790-49a5-b9fe-5c0eaeddcd98,TrainingAgent,3,170.0,3,1024
32,801dfa44-1887-41a3-8c07-3942d5c19206,TrainingAgent,4,140.0,4,1288
33,327da57b-472f-4309-a149-11d585d77eb9,TrainingAgent,3,170.0,3,1024
34,c5cf7052-861a-4078-96e1-f1ef33ac72c4,TrainingAgent,4,140.0,4,1288
35,eeccb969-8fb8-4d1f-be27-2dd89e2f9313,TrainingAgent,3,170.0,3,1024
36,9d2cee79-0b1f-46ff-9051-352b16d44daa,TrainingAgent,4,140.0,4,1288
37,c7282231-ed8a-4a7f-bf5a-0199cd293734,TrainingAgent,3,170.0,3,1024
38,cf31d228-7724-4c61-8e14-27cf79dd8b77,TrainingAgent,4,140.0,4,1288
39,5e4df0e3-c3f7-4342-9a64-3fee5d35efd5,TrainingAgent,3,170.0,3,1024
40,598891d4-1491-4b33-a281-6cd5307af815,TrainingAgent,4,140.0,4,1288
41,24702ea2-4608-43c6-a6db-94656d7116be,TrainingAgent,3,170.0,3,1024
42,a2609676-5de8-4eb0-90f9-75762ef3b5e2,TrainingAgent,4,140.0,4,1288
43,2e491be1-6ad6-43a7-bca6-074d34d0dce4,TrainingAgent,3,170.0,3,1024
44,114a94e1-fb08-402d-a523-173543ea23e3,TrainingAgent,4,140.0,4,1288
