Position,Feature,Type
0,player_current_hp,float64
1,player_maximum_hp,float64
2,player_current_hp_ratio,float64
3,player_attached_energy,float64
4,player_damage_taken,float64
5,player_bench_size,float64
6,player_hand_size,float64
7,player_prize_cards_remaining,float64
8,player_status_present,float64
9,opponent_hp,float64
10,opponent_maximum_hp,float64
11,opponent_hp_ratio,float64
12,opponent_attached_energy,float64
13,opponent_damage_taken,float64
14,opponent_bench_size,float64
15,opponent_hand_size,float64
16,opponent_prize_cards_remaining,float64
17,opponent_status_present,float64
18,battle_turn_number,float64
19,battle_current_player_is_player,float64
20,battle_hp_advantage,float64
21,battle_energy_advantage,float64
22,battle_bench_advantage,float64
23,battle_hand_advantage,float64
24,battle_prize_advantage,float64
25,battle_tempo_score,float64
26,move_index,float64
27,move_name,object
28,damage,float64
29,energy_cost,float64
30,damage_per_energy,float64
31,knockout_possible,float64
32,estimated_hp_after_attack,float64
33,overkill_damage,float64
34,is_healing_move,float64
35,is_retreat_move,float64
36,is_status_move,float64
37,is_pass_move,float64
38,heuristic_score,float64
