module,object_type,name
scripts\23_submission_package_builder.py,function,find_project_root
scripts\24_final_submission_validation.py,function,find_project_root
scripts\24_final_submission_validation.py,function,sha256_file
scripts\24_final_submission_validation.py,class,DeckRequest
scripts\25_final_project_audit.py,function,find_project_root
scripts\26_production_agent_benchmark.py,function,find_project_root
scripts\26_production_agent_benchmark.py,class,TournamentRecord
src\final_audit\notebook25_export.py,function,find_project_root
src\production_agent_benchmark\notebook26_export.py,function,find_project_root
src\production_agent_benchmark\notebook26_export.py,class,TournamentRecord
src\submission_builder\notebook23_export.py,function,find_project_root
src\verification\notebook24_export.py,function,find_project_root
src\verification\notebook24_export.py,function,sha256_file
src\verification\notebook24_export.py,class,DeckRequest
scripts\08_ai_decision_agent.py,function,get_project_paths
scripts\08_ai_decision_agent.py,function,load_pickle_file
scripts\08_ai_decision_agent.py,function,preview_object
scripts\08_ai_decision_agent.py,class,PokemonState
scripts\08_ai_decision_agent.py,class,PlayerState
scripts\08_ai_decision_agent.py,class,BattleState
scripts\08_ai_decision_agent.py,function,first_pokemon_card
scripts\08_ai_decision_agent.py,function,next_pokemon_cards
scripts\08_ai_decision_agent.py,function,evaluate_pokemon
scripts\08_ai_decision_agent.py,function,evaluate_attack
scripts\08_ai_decision_agent.py,function,choose_best_attack
scripts\08_ai_decision_agent.py,class,AIDecisionAgent
scripts\08_ai_decision_agent.py,method:AIDecisionAgent,evaluate_pokemon
scripts\08_ai_decision_agent.py,method:AIDecisionAgent,evaluate_attacks
scripts\08_ai_decision_agent.py,method:AIDecisionAgent,choose_best_attack
scripts\08_ai_decision_agent.py,function,explain_attack_decision
scripts\08_ai_decision_agent.py,function,evaluate_attacks_with_knockout
scripts\08_ai_decision_agent.py,function,choose_strategic_attack
scripts\08_ai_decision_agent.py,function,minimum_energy_needed_for_next_attack
scripts\08_ai_decision_agent.py,function,choose_energy_attachment
scripts\08_ai_decision_agent.py,function,choose_best_bench_pokemon
scripts\08_ai_decision_agent.py,function,evaluate_retreat_decision
scripts\08_ai_decision_agent.py,function,take_turn
scripts\09_strategic_battle_ai.py,function,get_project_paths
scripts\09_strategic_battle_ai.py,function,load_pickle_file
scripts\09_strategic_battle_ai.py,class,PokemonState
scripts\09_strategic_battle_ai.py,class,PlayerState
scripts\09_strategic_battle_ai.py,class,BattleState
scripts\09_strategic_battle_ai.py,function,get_pokemon_cards
scripts\09_strategic_battle_ai.py,class,StrategicBattlePlanner
scripts\09_strategic_battle_ai.py,method:StrategicBattlePlanner,__init__
scripts\09_strategic_battle_ai.py,method:StrategicBattlePlanner,simulate_future_energy
scripts\09_strategic_battle_ai.py,function,forecast_attack_availability
scripts\09_strategic_battle_ai.py,function,forecast_knockout_opportunities
scripts\09_strategic_battle_ai.py,function,evaluate_future_prize_value
scripts\09_strategic_battle_ai.py,function,score_multi_turn_attack_plans
scripts\09_strategic_battle_ai.py,function,choose_best_multi_turn_plan
scripts\09_strategic_battle_ai.py,function,explain_multi_turn_plan
scripts\09_strategic_battle_ai.py,function,evaluate_pokemon_long_term_plan
scripts\09_strategic_battle_ai.py,function,evaluate_all_player_pokemon
scripts\09_strategic_battle_ai.py,function,choose_best_strategic_pokemon
scripts\09_strategic_battle_ai.py,function,evaluate_strategic_switch
scripts\09_strategic_battle_ai.py,class,BattleNode
scripts\09_strategic_battle_ai.py,function,simulate_future_state
scripts\09_strategic_battle_ai.py,function,evaluate_future_state
scripts\09_strategic_battle_ai.py,function,get_current_legal_attacks
scripts\09_strategic_battle_ai.py,function,simulate_future_state
scripts\09_strategic_battle_ai.py,function,generate_child_nodes
scripts\09_strategic_battle_ai.py,function,expand_tree_depth_two
scripts\09_strategic_battle_ai.py,function,score_move_sequence
scripts\09_strategic_battle_ai.py,function,choose_best_two_turn_line
scripts\09_strategic_battle_ai.py,function,prepare_next_player_turn
scripts\09_strategic_battle_ai.py,function,expand_energy_aware_depth_two
scripts\09_strategic_battle_ai.py,function,build_three_turn_sequences
scripts\10_minimax_opponent_ai.py,function,get_project_paths
scripts\10_minimax_opponent_ai.py,function,load_pickle_file
scripts\10_minimax_opponent_ai.py,class,PokemonState
scripts\10_minimax_opponent_ai.py,class,PlayerState
scripts\10_minimax_opponent_ai.py,class,BattleState
scripts\10_minimax_opponent_ai.py,function,get_pokemon_cards
scripts\10_minimax_opponent_ai.py,function,get_legal_moves
scripts\10_minimax_opponent_ai.py,function,safe_max_hp
scripts\10_minimax_opponent_ai.py,function,total_bench_hp
scripts\10_minimax_opponent_ai.py,function,evaluate_position
scripts\10_minimax_opponent_ai.py,function,apply_move
scripts\10_minimax_opponent_ai.py,function,show_move_result
scripts\10_minimax_opponent_ai.py,function,get_current_side_pokemon
scripts\10_minimax_opponent_ai.py,function,get_current_legal_moves
scripts\10_minimax_opponent_ai.py,function,is_terminal_state
scripts\10_minimax_opponent_ai.py,function,minimax
scripts\10_minimax_opponent_ai.py,function,choose_best_minimax_move
scripts\10_minimax_opponent_ai.py,function,evaluate_root_moves
scripts\10_minimax_opponent_ai.py,class,SearchStatistics
scripts\10_minimax_opponent_ai.py,function,minimax_with_statistics
scripts\10_minimax_opponent_ai.py,class,AlphaBetaStatistics
scripts\10_minimax_opponent_ai.py,function,alpha_beta
scripts\29_replay_dataset_analysis_opponent_diversity.py,function,find_project_root
scripts\29_replay_dataset_analysis_opponent_diversity.py,function,find_project_root
scripts\31_opponent_behavior_library.py,function,find_project_root
scripts\31_opponent_behavior_library.py,class,OpponentProfile
scripts\31_opponent_behavior_library.py,class,AggressivePolicy
scripts\31_opponent_behavior_library.py,method:AggressivePolicy,choose_move
scripts\31_opponent_behavior_library.py,class,DefensivePolicy
scripts\31_opponent_behavior_library.py,method:DefensivePolicy,choose_move
scripts\31_opponent_behavior_library.py,function,create_opponent
src\observation_adapter\battle_state_adapter.py,function,move_label
src\observation_adapter\battle_state_adapter.py,function,numeric_move_value
src\observation_adapter\battle_state_adapter.py,function,build_policy_state
src\observation_adapter\policy_search_adapter.py,class,PolicySearchEngineAdapter
