match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,winner,turns,stop_reason,agent_result,fallback_count,elapsed_seconds,evaluated_agent_side,baseline_result,draw,competitive_win,competitive_loss,normalized_side
2,Competitive Policy,Random Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0009311999892815,Opponent,1.0,False,False,True,Opponent
4,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0014380998909473,Opponent,1.0,False,False,True,Opponent
6,Competitive Policy,Random Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0014873000327497,Opponent,1.0,False,False,True,Opponent
10,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0009875999530777,Opponent,1.0,False,False,True,Opponent
11,Competitive Policy,Random Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0009437999688088,Player,1.0,False,False,True,Player
22,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.000907800043933,Opponent,1.0,False,False,True,Opponent
30,Competitive Policy,Random Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0009652000153437,Opponent,1.0,False,False,True,Opponent
34,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0009426000760868,Opponent,1.0,False,False,True,Opponent
40,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0015104000922292,Opponent,1.0,False,False,True,Opponent
42,Competitive Policy,Random Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0009072000393643,Opponent,1.0,False,False,True,Opponent
46,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,5,Battle reached a terminal state.,0.0,0,0.0016519000055268,Opponent,1.0,False,False,True,Opponent
52,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0015301998937502,Opponent,1.0,False,False,True,Opponent
59,Competitive Policy,Random Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0010340999579057,Player,1.0,False,False,True,Player
70,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,5,Battle reached a terminal state.,0.0,0,0.0016213000053539,Opponent,1.0,False,False,True,Opponent
71,Competitive Policy,Random Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0007642999989911,Player,1.0,False,False,True,Player
74,Competitive Policy,Random Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.000774799962528,Opponent,1.0,False,False,True,Opponent
76,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0013916000025346,Opponent,1.0,False,False,True,Opponent
82,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0007999000372365,Opponent,1.0,False,False,True,Opponent
83,Competitive Policy,Random Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0007572999456897,Player,1.0,False,False,True,Player
88,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0012931000674143,Opponent,1.0,False,False,True,Opponent
94,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0007888000691309,Opponent,1.0,False,False,True,Opponent
100,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0016931999707594,Opponent,1.0,False,False,True,Opponent
102,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0007749000797048,Opponent,1.0,False,False,True,Opponent
104,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0013660000404343,Opponent,1.0,False,False,True,Opponent
106,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008703999919816,Opponent,1.0,False,False,True,Opponent
110,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.000813000020571,Opponent,1.0,False,False,True,Opponent
111,Competitive Policy,Greedy Damage Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0008817999623715,Player,1.0,False,False,True,Player
114,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008261000039055,Opponent,1.0,False,False,True,Opponent
116,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0014393999008461,Opponent,1.0,False,False,True,Opponent
118,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008738000178709,Opponent,1.0,False,False,True,Opponent
122,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0007603999692946,Opponent,1.0,False,False,True,Opponent
123,Competitive Policy,Greedy Damage Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0008663999615237,Player,1.0,False,False,True,Player
126,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008618000429123,Opponent,1.0,False,False,True,Opponent
128,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0013121999800205,Opponent,1.0,False,False,True,Opponent
130,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008117000106722,Opponent,1.0,False,False,True,Opponent
134,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.000791999977082,Opponent,1.0,False,False,True,Opponent
135,Competitive Policy,Greedy Damage Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0009215000318363,Player,1.0,False,False,True,Player
138,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008926000446081,Opponent,1.0,False,False,True,Opponent
140,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.001295700087212,Opponent,1.0,False,False,True,Opponent
142,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0007679000264033,Opponent,1.0,False,False,True,Opponent
146,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008122000144794,Opponent,1.0,False,False,True,Opponent
147,Competitive Policy,Greedy Damage Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0008772000437602,Player,1.0,False,False,True,Player
150,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008772999281063,Opponent,1.0,False,False,True,Opponent
152,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.0014550000196322,Opponent,1.0,False,False,True,Opponent
154,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0007571000605821,Opponent,1.0,False,False,True,Opponent
158,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0008411000017076,Opponent,1.0,False,False,True,Opponent
