column,dtype,non_null,sample
record_id,int64,1000,np.int64(0)
battle_id,int64,1000,np.int64(1)
local_turn,int64,1000,np.int64(0)
turn_number,int64,1000,np.int64(6)
current_player,object,1000,'Opponent'
actor_side,object,1000,'Opponent'
defender_side,object,1000,'Player'
actor_name,object,1000,'Charmander'
defender_name,object,1000,'Eevee'
state_features,object,1000,"array([0.81      , 0.3       , 0.16666667, 0.93      , 0.3       ,
       1.        , 0.12      , 0.        ])"
legal_move_features,object,1000,"array([array([0.08, 0.1 , 0.  , 0.  , 0.  , 0.  , 0.  , 0.38]),
       array([0.2 , 0.2 , 0.  , 0.  , 0.  , 0.  , 0.  , 0.55])],
      dtype=object)"
legal_move_names,object,1000,"array(['Scratch', 'Flame Tail'], dtype=object)"
legal_move_count,int64,1000,np.int64(2)
selected_move_index,int64,1000,np.int64(1)
selected_move_name,object,1000,'Flame Tail'
search_score,float64,1000,np.float64(10000.0)
search_depth,int64,1000,np.int64(4)
completed_depth,int64,1000,np.int64(4)
root_player,object,1000,'Opponent'
defender_hp_before,float64,1000,np.float64(93.0)
defender_hp_after,float64,1000,np.float64(43.0)
damage_applied,float64,1000,np.float64(50.0)
terminal_after_move,bool,1000,np.False_
nodes,int64,1000,np.int64(23)
leaf_nodes,int64,1000,np.int64(6)
cutoffs,int64,1000,np.int64(1)
transposition_hits,int64,1000,np.int64(2)
synthetic_label,bool,1000,np.False_
actor_relative,bool,1000,np.True_
label_source,object,1000,'advanced_search_engine'
