module,class,method,signature
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,act,"(self, state: 'Any' = None, depth: 'int | None' = None, battle_state: 'Any' = None, **kwargs: 'Any') -> 'CompetitivePolicyDecision'"
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,choose_move,"(self, state: 'Any' = None, depth: 'int | None' = None, battle_state: 'Any' = None, **kwargs: 'Any') -> 'CompetitivePolicyDecision'"
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,get_last_decision,(self) -> 'CompetitivePolicyDecision | None'
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,select_move,"(self, state: 'Any' = None, depth: 'int | None' = None, battle_state: 'Any' = None, **kwargs: 'Any') -> 'CompetitivePolicyDecision'"
src.competitive.competitive_policy_agent,CompetitivePolicyEngine,choose_move,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'Any'"
src.competitive.competitive_policy_agent,CompetitivePolicyEngine,score_moves,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'dict[str, Any]'"
src.competitive.competitive_policy_engine,CompetitivePolicyEngine,choose_move,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'Any'"
src.competitive.competitive_policy_engine,CompetitivePolicyEngine,score_moves,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'dict[str, Any]'"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,add_module,"(self, name: str, module: Optional[ForwardRef('Module')]) -> None"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,apply,"(self, fn: collections.abc.Callable[['Module'], None]) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,bfloat16,(self) -> Self
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,buffers,"(self, recurse: bool = True) -> collections.abc.Iterator[torch.Tensor]"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,children,(self) -> collections.abc.Iterator['Module']
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,compile,"(self, *args, **kwargs) -> None"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,cpu,(self) -> Self
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,cuda,"(self, device: int | torch.device | None = None) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,double,(self) -> Self
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,eval,(self) -> Self
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,extra_repr,(self) -> str
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,float,(self) -> Self
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,forward,"(self, state_features: 'torch.Tensor', move_features: 'torch.Tensor', action_mask: 'torch.Tensor') -> 'torch.Tensor'"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_buffer,"(self, target: str) -> torch.Tensor"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_extra_state,(self) -> Any
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_parameter,"(self, target: str) -> torch.nn.parameter.Parameter"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_submodule,"(self, target: str) -> 'Module'"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,half,(self) -> Self
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,ipu,"(self, device: int | torch.device | None = None) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,load_state_dict,"(self, state_dict: collections.abc.Mapping[str, typing.Any], strict: bool = True, assign: bool = False)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,modules,"(self, remove_duplicate: bool = True) -> collections.abc.Iterator['Module']"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,mtia,"(self, device: int | torch.device | None = None) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_buffers,"(self, prefix: str = '', recurse: bool = True, remove_duplicate: bool = True) -> collections.abc.Iterator[tuple[str, torch.Tensor]]"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_children,"(self) -> collections.abc.Iterator[tuple[str, 'Module']]"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_modules,"(self, memo: set['Module'] | None = None, prefix: str = '', remove_duplicate: bool = True)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_parameters,"(self, prefix: str = '', recurse: bool = True, remove_duplicate: bool = True) -> collections.abc.Iterator[tuple[str, torch.nn.parameter.Parameter]]"
