module,symbol,symbol_type,signature,defined_in_module
src.adapters,BattleState,class,"(player: 'PlayerState', opponent: 'PlayerState', turn_number: 'int', current_player: 'str') -> None",False
src.adapters,current_player_adapter,function,(battle_state: 'BattleState') -> 'str',True
src.adapters,evaluate_position,function,(battle_state: 'BattleState') -> 'float',False
src.adapters,evaluate_state_adapter,function,"(battle_state: 'BattleState', root_player: 'str') -> 'float'",True
src.adapters,generate_moves_adapter,function,(battle_state: 'BattleState'),True
src.adapters,get_current_legal_moves,function,(battle_state: 'BattleState') -> 'List[Move]',False
src.adapters,pokemon_state_features,function,"(battle_state: 'BattleState') -> 'Tuple[Hashable, ...]'",True
src.adapters,terminal_state_adapter,function,(battle_state: 'BattleState') -> 'bool',True
src.battle_state,BattleState,class,"(player: 'PlayerState', opponent: 'PlayerState', turn_number: 'int', current_player: 'str') -> None",True
src.battle_state,PlayerState,class,"(active: 'PokemonState', bench: 'List[PokemonState]', prize_cards_remaining: 'int' = 6, hand_size: 'int' = 7) -> None",True
src.battle_state,PokemonState,class,"(card: 'dict', current_hp: 'float', attached_energy: 'int' = 0, status: 'Optional[str]' = None, damage: 'float' = 0.0, is_active: 'bool' = False) -> None",True
src.battle_state,dataclass,function,"(cls=None, /, *, init=True, repr=True, eq=True, order=False, unsafe_hash=False, frozen=False, match_args=True, kw_only=False, slots=False, weakref_slot=False)",False
src.competitive.competitive_policy_agent,Any,class,"(*args, **kwargs)",False
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,class,"(checkpoint_path: 'str | Path', device: 'str | None' = None, name: 'str' = 'Competitive Policy Agent') -> 'None'",True
src.competitive.competitive_policy_agent,CompetitivePolicyDecision,class,"(move: 'Any', confidence: 'float', selected_move_name: 'str | None', probabilities: 'list[float]', logits: 'list[float]', move_names: 'list[str]', fallback: 'bool', score: 'float' = 0.0, search_depth: 'int' = 0, nodes: 'int' = 0, reason: 'str | None' = None) -> None",True
src.competitive.competitive_policy_agent,CompetitivePolicyEngine,class,"(checkpoint_path: 'str | Path', device: 'str | torch.device | None' = None) -> 'None'",False
src.competitive.competitive_policy_agent,Path,class,"(*args, **kwargs)",False
src.competitive.competitive_policy_agent,dataclass,function,"(cls=None, /, *, init=True, repr=True, eq=True, order=False, unsafe_hash=False, frozen=False, match_args=True, kw_only=False, slots=False, weakref_slot=False)",False
src.competitive.competitive_policy_agent,get_current_legal_moves,function,(battle_state: 'BattleState') -> 'List[Move]',False
src.competitive.competitive_policy_engine,Any,class,"(*args, **kwargs)",False
src.competitive.competitive_policy_engine,CompetitivePolicyEngine,class,"(checkpoint_path: 'str | Path', device: 'str | torch.device | None' = None) -> 'None'",True
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,class,"(state_dim: 'int' = 8, move_dim: 'int' = 8, hidden_dim: 'int' = 128) -> 'None'",True
src.competitive.competitive_policy_engine,Path,class,"(*args, **kwargs)",False
src.competitive.competitive_policy_engine,actor_and_defender,function,"(battle_state: 'Any') -> 'tuple[Any, Any, str]'",True
src.competitive.competitive_policy_engine,encode_move,function,"(battle_state: 'Any', move: 'Any') -> 'np.ndarray'",True
src.competitive.competitive_policy_engine,encode_state,function,(battle_state: 'Any') -> 'np.ndarray',True
src.competitive.competitive_policy_engine,move_name,function,(move: 'Any') -> 'str',True
src.engine.advanced_search,AdvancedSearchEngine,class,"(generate_moves: 'GenerateMovesFn', apply_move: 'ApplyMoveFn', evaluate_state: 'EvaluateFn', is_terminal: 'IsTerminalFn', current_player: 'CurrentPlayerFn', move_to_string: 'Optional[MoveToStringFn]' = None, state_key: 'Optional[Callable[[State], Hashable]]' = None, use_transposition_table: 'bool' = True, move_order_score: 'Optional[MoveOrderScoreFn]' = None, use_move_ordering: 'bool' = True, move_key: 'Optional[MoveKeyFn]' = None, use_killer_moves: 'bool' = True, killer_slots: 'int' = 2, use_history_heuristic: 'bool' = True, history_multiplier: 'float' = 1000.0) -> 'None'",True
src.engine.advanced_search,Any,class,"(*args, **kwargs)",False
src.engine.advanced_search,BoundType,class,(*values),True
