source_scenario_id,queue_position,status,attempts,successful_regenerations,candidate_states,last_seed,last_error,trace_file,generated_states,accepted_states
NB48_LOSS_210,1,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl,10,10
NB48_LOSS_222,2,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl,10,10
NB48_LOSS_234,3,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl,10,10
NB48_LOSS_246,4,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl,10,10
NB48_LOSS_258,5,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl,10,10
NB48_LOSS_270,6,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl,10,10
NB48_LOSS_282,7,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_282.jsonl,10,10
NB48_LOSS_294,8,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_294.jsonl,10,10
NB48_LOSS_204,9,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_204.jsonl,10,10
NB48_LOSS_216,10,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_216.jsonl,10,10
NB48_LOSS_228,11,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_228.jsonl,10,10
NB48_LOSS_240,12,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_240.jsonl,10,10
NB48_LOSS_252,13,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_252.jsonl,10,10
NB48_LOSS_264,14,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_264.jsonl,10,10
NB48_LOSS_276,15,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_276.jsonl,10,10
NB48_LOSS_288,16,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_288.jsonl,10,10
NB48_LOSS_300,17,COMPLETED,0,0,0,,,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_300.jsonl,10,10
