source_scenario_id,match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,evaluated_agent_side,normalized_side,winner,turns,stop_reason,fallback_count,elapsed_seconds,baseline_strength,side_priority,turn_complexity,hard_example_priority,hard_example_rank,replay_level,mining_status,records_mined,queue_position
NB48_LOSS_210,210,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0044492000015452,3.0,2.0,1.5,9.0,1,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,1
NB48_LOSS_222,222,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0041227000765502,3.0,2.0,1.5,9.0,2,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,2
NB48_LOSS_234,234,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0039153000107035,3.0,2.0,1.5,9.0,3,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,3
NB48_LOSS_246,246,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0041109999874606,3.0,2.0,1.5,9.0,4,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,4
NB48_LOSS_258,258,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0047857000026851,3.0,2.0,1.5,9.0,5,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,5
NB48_LOSS_270,270,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0039966000476852,3.0,2.0,1.5,9.0,6,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,6
NB48_LOSS_282,282,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.004114200011827,3.0,2.0,1.5,9.0,7,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,7
NB48_LOSS_294,294,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0043623000383377,3.0,2.0,1.5,9.0,8,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,8
NB48_LOSS_204,204,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0031745000742375,3.0,2.0,1.3333333333333333,8.0,9,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,9
NB48_LOSS_216,216,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0030632000416517,3.0,2.0,1.3333333333333333,8.0,10,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,10
NB48_LOSS_228,228,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0034207000862807,3.0,2.0,1.3333333333333333,8.0,11,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,11
NB48_LOSS_240,240,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0028544999659061,3.0,2.0,1.3333333333333333,8.0,12,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,12
NB48_LOSS_252,252,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0029734999407082,3.0,2.0,1.3333333333333333,8.0,13,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,13
NB48_LOSS_264,264,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0028415999840945,3.0,2.0,1.3333333333333333,8.0,14,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,14
NB48_LOSS_276,276,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0028831999516114,3.0,2.0,1.3333333333333333,8.0,15,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,15
NB48_LOSS_288,288,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0029003999661654,3.0,2.0,1.3333333333333333,8.0,16,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,16
