variant_id,source_scenario_id,source_match_id,queue_position,variant_name,variant_seed,side_mode,source_normalized_side,variant_normalized_side,current_player,baseline_name,player_card,opponent_card,turn_number,player_energy,opponent_energy,player_damage,opponent_damage,player_damage_fraction,opponent_damage_fraction,prize_cards_remaining,hand_size,terminal,legal_move_count,accepted,curriculum_priority,hard_example_rank,trace_file
NB48_LOSS_210__opening_zero_energy__6c0563a01a15,NB48_LOSS_210,210,1,opening_zero_energy,760933407,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,0.0,0.0,6,7,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__opening_one_energy__901471d46848,NB48_LOSS_210,210,1,opening_one_energy,3165799790,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,0.0,0.0,6,6,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__early_pressure__7ad6bf2f28f4,NB48_LOSS_210,210,1,early_pressure,1179226521,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,0.15,0.05,5,6,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__balanced_midgame__d89fabf87fa0,NB48_LOSS_210,210,1,balanced_midgame,1478016862,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,0.25,0.25,4,5,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__player_under_pressure__872ebc12204e,NB48_LOSS_210,210,1,player_under_pressure,1830058328,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,0.5,0.15,4,4,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__opponent_under_pressure__3444475a2602,NB48_LOSS_210,210,1,opponent_under_pressure,4095960320,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,0.15,0.5,4,5,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__late_game_prize_pressure__0bdf00313bb3,NB48_LOSS_210,210,1,late_game_prize_pressure,4234147251,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,0.4,0.4,2,3,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__critical_hp_decision__276a437e6d73,NB48_LOSS_210,210,1,critical_hp_decision,1257650163,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,0.7,0.55,2,3,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__counterfactual_side_early__e00d2d7e1dd2,NB48_LOSS_210,210,1,counterfactual_side_early,2619700697,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,0.1,0.1,5,6,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_210__counterfactual_side_late__25fa8c16d8d3,NB48_LOSS_210,210,1,counterfactual_side_late,1106353837,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,0.45,0.45,3,4,False,1,True,9.0,1,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_210.jsonl
NB48_LOSS_222__opening_zero_energy__c38e79a394da,NB48_LOSS_222,222,2,opening_zero_energy,2356396320,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,0.0,0.0,6,7,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
