variant_id,status,attempts,last_error,search_depth,completed_at
NB48_LOSS_210__opening_zero_energy__6c0563a01a15,COMPLETED,2,,4,2026-07-30T22:02:27.923897
NB48_LOSS_210__opening_one_energy__901471d46848,COMPLETED,2,,4,2026-07-30T22:02:27.938136
NB48_LOSS_210__early_pressure__7ad6bf2f28f4,COMPLETED,2,,4,2026-07-30T22:02:27.953024
NB48_LOSS_210__balanced_midgame__d89fabf87fa0,COMPLETED,2,,4,2026-07-30T22:02:27.966587
NB48_LOSS_210__player_under_pressure__872ebc12204e,COMPLETED,2,,4,2026-07-30T22:02:27.982056
NB48_LOSS_210__opponent_under_pressure__3444475a2602,COMPLETED,2,,4,2026-07-30T22:02:27.995157
NB48_LOSS_210__late_game_prize_pressure__0bdf00313bb3,COMPLETED,2,,4,2026-07-30T22:02:28.009303
NB48_LOSS_210__critical_hp_decision__276a437e6d73,COMPLETED,2,,4,2026-07-30T22:02:28.022521
NB48_LOSS_210__counterfactual_side_early__e00d2d7e1dd2,COMPLETED,2,,4,2026-07-30T22:02:28.034371
NB48_LOSS_210__counterfactual_side_late__25fa8c16d8d3,COMPLETED,2,,4,2026-07-30T22:02:28.047005
NB48_LOSS_222__opening_zero_energy__c38e79a394da,COMPLETED,2,,4,2026-07-30T22:02:28.060724
NB48_LOSS_222__opening_one_energy__ced5f9929120,COMPLETED,2,,4,2026-07-30T22:02:28.070751
NB48_LOSS_222__early_pressure__19c7bcdb1c90,COMPLETED,2,,4,2026-07-30T22:02:28.080086
NB48_LOSS_222__balanced_midgame__5a5ebf9b26d0,COMPLETED,2,,4,2026-07-30T22:02:28.093302
NB48_LOSS_222__player_under_pressure__b48388b677da,COMPLETED,2,,4,2026-07-30T22:02:28.104344
NB48_LOSS_222__opponent_under_pressure__476e1aa13eed,COMPLETED,2,,4,2026-07-30T22:02:28.113738
NB48_LOSS_222__late_game_prize_pressure__deeb5d2f91b1,COMPLETED,2,,4,2026-07-30T22:02:28.123381
NB48_LOSS_222__critical_hp_decision__98475b8b7670,COMPLETED,2,,4,2026-07-30T22:02:28.134987
NB48_LOSS_222__counterfactual_side_early__81ce15008cd8,COMPLETED,2,,4,2026-07-30T22:02:28.144927
NB48_LOSS_222__counterfactual_side_late__38e661db0541,COMPLETED,2,,4,2026-07-30T22:02:28.156703
NB48_LOSS_234__opening_zero_energy__5f3a21c5a62b,COMPLETED,2,,4,2026-07-30T22:02:28.166983
NB48_LOSS_234__opening_one_energy__6c4aa92646ac,COMPLETED,2,,4,2026-07-30T22:02:28.177240
NB48_LOSS_234__early_pressure__2d7034c2a9c3,COMPLETED,2,,4,2026-07-30T22:02:28.186539
NB48_LOSS_234__balanced_midgame__dc62956812d9,COMPLETED,2,,4,2026-07-30T22:02:28.195809
NB48_LOSS_234__player_under_pressure__ab8f5a65f89a,COMPLETED,2,,4,2026-07-30T22:02:28.206707
NB48_LOSS_234__opponent_under_pressure__f22447d340e2,COMPLETED,2,,4,2026-07-30T22:02:28.220839
NB48_LOSS_234__late_game_prize_pressure__9216eb531d51,COMPLETED,2,,4,2026-07-30T22:02:28.231024
NB48_LOSS_234__critical_hp_decision__e9a52c5278c6,COMPLETED,2,,4,2026-07-30T22:02:28.239891
NB48_LOSS_234__counterfactual_side_early__6c2a3891c8ce,COMPLETED,2,,4,2026-07-30T22:02:28.248536
NB48_LOSS_234__counterfactual_side_late__f95a6d06abce,COMPLETED,2,,4,2026-07-30T22:02:28.257438
NB48_LOSS_246__opening_zero_energy__3f2777ed6a06,COMPLETED,2,,4,2026-07-30T22:02:28.265345
NB48_LOSS_246__opening_one_energy__318c0af4397c,COMPLETED,2,,4,2026-07-30T22:02:28.274381
NB48_LOSS_246__early_pressure__3d353b4df5e8,COMPLETED,2,,4,2026-07-30T22:02:28.282478
NB48_LOSS_246__balanced_midgame__f8b4f7afff69,COMPLETED,2,,4,2026-07-30T22:02:28.290763
NB48_LOSS_246__player_under_pressure__34242d5612bb,COMPLETED,2,,4,2026-07-30T22:02:28.300068
NB48_LOSS_246__opponent_under_pressure__251b76bb8eed,COMPLETED,2,,4,2026-07-30T22:02:28.309199
NB48_LOSS_246__late_game_prize_pressure__24ac9c211fe0,COMPLETED,2,,4,2026-07-30T22:02:28.320707
NB48_LOSS_246__critical_hp_decision__6e8b48ffdd18,COMPLETED,2,,4,2026-07-30T22:02:28.330939
NB48_LOSS_246__counterfactual_side_early__16086c75452f,COMPLETED,2,,4,2026-07-30T22:02:28.339437
NB48_LOSS_246__counterfactual_side_late__3f9c8499ce24,COMPLETED,2,,4,2026-07-30T22:02:28.349627
NB48_LOSS_258__opening_zero_energy__82d75fb052bd,COMPLETED,2,,4,2026-07-30T22:02:28.358029
NB48_LOSS_258__opening_one_energy__04e3886609b0,COMPLETED,2,,4,2026-07-30T22:02:28.366476
NB48_LOSS_258__early_pressure__2c88c03d6f85,COMPLETED,2,,4,2026-07-30T22:02:28.374310
NB48_LOSS_258__balanced_midgame__da32bb0f965f,COMPLETED,2,,4,2026-07-30T22:02:28.382030
NB48_LOSS_258__player_under_pressure__f5885c207c90,COMPLETED,2,,4,2026-07-30T22:02:28.390110
NB48_LOSS_258__opponent_under_pressure__e317f34be415,COMPLETED,2,,4,2026-07-30T22:02:28.398259
NB48_LOSS_258__late_game_prize_pressure__4798cfaaae10,COMPLETED,2,,4,2026-07-30T22:02:28.406537
NB48_LOSS_258__critical_hp_decision__119f7d28d2d2,COMPLETED,2,,4,2026-07-30T22:02:28.415361
NB48_LOSS_258__counterfactual_side_early__27626f857410,COMPLETED,2,,4,2026-07-30T22:02:28.422999
NB48_LOSS_258__counterfactual_side_late__0517d09425f2,COMPLETED,2,,4,2026-07-30T22:02:28.431864
NB48_LOSS_270__opening_zero_energy__af96808b8645,COMPLETED,2,,4,2026-07-30T22:02:28.444967
NB48_LOSS_270__opening_one_energy__113e517ff1ad,COMPLETED,2,,4,2026-07-30T22:02:28.452880
NB48_LOSS_270__early_pressure__cf9b5e4d5b9b,COMPLETED,2,,4,2026-07-30T22:02:28.461496
NB48_LOSS_270__balanced_midgame__2b34ad5e0555,COMPLETED,2,,4,2026-07-30T22:02:28.470056
NB48_LOSS_270__player_under_pressure__cb14bf981252,COMPLETED,2,,4,2026-07-30T22:02:28.479797
NB48_LOSS_270__opponent_under_pressure__f33c2aeacf3b,COMPLETED,2,,4,2026-07-30T22:02:28.488380
NB48_LOSS_270__late_game_prize_pressure__28d6d35ed34a,COMPLETED,2,,4,2026-07-30T22:02:28.498117
NB48_LOSS_270__critical_hp_decision__bc847660e5cf,COMPLETED,2,,4,2026-07-30T22:02:28.508087
NB48_LOSS_270__counterfactual_side_early__d2bcb494a9c8,COMPLETED,2,,4,2026-07-30T22:02:28.516564
NB48_LOSS_270__counterfactual_side_late__174065f35dd7,COMPLETED,2,,4,2026-07-30T22:02:28.526331
NB48_LOSS_282__opening_zero_energy__6122849eb4aa,COMPLETED,2,,4,2026-07-30T22:02:28.535040
NB48_LOSS_282__opening_one_energy__0390ae4e1944,COMPLETED,2,,4,2026-07-30T22:02:28.544193
NB48_LOSS_282__early_pressure__8964fddae9ef,COMPLETED,2,,4,2026-07-30T22:02:28.552708
NB48_LOSS_282__balanced_midgame__a31aa319c71d,COMPLETED,2,,4,2026-07-30T22:02:28.561354
NB48_LOSS_282__player_under_pressure__8cc30d1d4bb3,COMPLETED,2,,4,2026-07-30T22:02:28.570656
NB48_LOSS_282__opponent_under_pressure__37a51bdcc91f,COMPLETED,2,,4,2026-07-30T22:02:28.579685
NB48_LOSS_282__late_game_prize_pressure__a742773f6659,COMPLETED,2,,4,2026-07-30T22:02:28.589306
NB48_LOSS_282__critical_hp_decision__b3d786989ded,COMPLETED,2,,4,2026-07-30T22:02:28.599311
NB48_LOSS_282__counterfactual_side_early__34c4ef8de849,COMPLETED,2,,4,2026-07-30T22:02:28.608569
NB48_LOSS_282__counterfactual_side_late__4e5112b7cb01,COMPLETED,2,,4,2026-07-30T22:02:28.617969
NB48_LOSS_294__opening_zero_energy__06ee5a056c24,COMPLETED,2,,4,2026-07-30T22:02:28.626858
NB48_LOSS_294__opening_one_energy__142ba93cb526,COMPLETED,2,,4,2026-07-30T22:02:28.635501
NB48_LOSS_294__early_pressure__da5f77adcac4,COMPLETED,2,,4,2026-07-30T22:02:28.644981
NB48_LOSS_294__balanced_midgame__d4013ada1fb0,COMPLETED,2,,4,2026-07-30T22:02:28.654148
NB48_LOSS_294__player_under_pressure__89ce42fa6de9,COMPLETED,2,,4,2026-07-30T22:02:28.749033
NB48_LOSS_294__opponent_under_pressure__b2b4aa5610bc,COMPLETED,2,,4,2026-07-30T22:02:28.778685
NB48_LOSS_294__late_game_prize_pressure__6df12cab5bd8,COMPLETED,2,,4,2026-07-30T22:02:28.788138
NB48_LOSS_294__critical_hp_decision__8b6bc6cbba86,COMPLETED,2,,4,2026-07-30T22:02:28.799504
NB48_LOSS_294__counterfactual_side_early__dba41117acc3,COMPLETED,2,,4,2026-07-30T22:02:28.809004
NB48_LOSS_294__counterfactual_side_late__dc4d52e283bb,COMPLETED,2,,4,2026-07-30T22:02:28.818521
NB48_LOSS_204__opening_zero_energy__0466557ddea8,COMPLETED,2,,4,2026-07-30T22:02:28.827302
NB48_LOSS_204__opening_one_energy__1d3b3f5f42e7,COMPLETED,2,,4,2026-07-30T22:02:28.836106
