variant_id,source_scenario_id,variant_name,side_mode,source_normalized_side,variant_normalized_side,current_player,baseline_name,player_card,opponent_card,turn_number,player_energy,opponent_energy,player_damage,opponent_damage,prize_cards_remaining,hand_size,legal_move_count,legal_move_reprs,search_depth_requested,search_elapsed_seconds,search_result_type,search_result_module,search_best_move_repr,search_best_move_key,search_score,search_depth_reached,search_nodes,search_timed_out,principal_variation,state_key,raw_result,status
NB48_LOSS_10__balanced_midgame__b38b454597c7,NB48_LOSS_10,balanced_midgame,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,4,5,1,"[""Ascension""]",4,0.005650399980368093,SearchResult,src.engine.advanced_search,Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-40.0,4,,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","[[[[""650"", ""Bulbasaur""], 60.0, 2, ""None"", 20.0, true], [], 4, 5], [[[""43"", ""Eevee""], 37.5, 2, ""None"", 12.5, true], [], 4, 5], 5, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -40.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004875999875366688, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004875999875366688}}}}}",COMPLETED
NB48_LOSS_10__counterfactual_side_early__d862febbde1a,NB48_LOSS_10,counterfactual_side_early,FLIP,Opponent,Player,Player,Random Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,5,6,1,"[""Bind Down""]",4,0.006234500004211441,SearchResult,src.engine.advanced_search,Bind Down,"[""Bind Down"", 10.0, 1, ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""]",40.0,4,,False,"[{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}]","[[[[""650"", ""Bulbasaur""], 72.0, 1, ""None"", 8.0, true], [], 5, 6], [[[""43"", ""Eevee""], 45.0, 1, ""None"", 5.0, true], [], 5, 6], 3, ""Player""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, ""score"": 40.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004838000168092549, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004838000168092549}}}}}",COMPLETED
NB48_LOSS_10__counterfactual_side_late__8c8e50dd4698,NB48_LOSS_10,counterfactual_side_late,FLIP,Opponent,Player,Player,Random Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,3,4,1,"[""Bind Down""]",4,0.006172699999297038,SearchResult,src.engine.advanced_search,Bind Down,"[""Bind Down"", 10.0, 1, ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""]",-10.0,4,,False,"[{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]","[[[[""650"", ""Bulbasaur""], 44.0, 3, ""None"", 36.0, true], [], 3, 4], [[[""43"", ""Eevee""], 27.5, 3, ""None"", 22.5, true], [], 3, 4], 8, ""Player""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, ""score"": -10.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 10, ""leaf_nodes"": 4, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 6, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0010363000037614256, ""depth_nodes"": {""4"": 10}, ""depth_times"": {""4"": 0.0010363000037614256}}}}}",COMPLETED
NB48_LOSS_10__critical_hp_decision__437af3f25399,NB48_LOSS_10,critical_hp_decision,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,2,3,2,"[""Ascension"", ""Quick Attack""]",4,0.006461700017098337,SearchResult,src.engine.advanced_search,Quick Attack,"[""Quick Attack"", 20.0, 3, ""Flip a coin. If heads, this attack does 20 more damage.""]",565.0,4,,False,"[{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]","[[[[""650"", ""Bulbasaur""], 24.0, 4, ""None"", 56.0, true], [], 2, 3], [[[""43"", ""Eevee""], 22.5, 4, ""None"", 27.5, true], [], 2, 3], 10, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, ""score"": 565.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 11, ""leaf_nodes"": 2, ""terminal_nodes"": 1, ""cutoffs"": 0, ""transposition_hits"": 1, ""transposition_stores"": 7, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0011254000128246844, ""depth_nodes"": {""4"": 11}, ""depth_times"": {""4"": 0.0011254000128246844}}}}}",COMPLETED
NB48_LOSS_10__early_pressure__86616f3937c2,NB48_LOSS_10,early_pressure,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,5,6,1,"[""Ascension""]",4,0.006606900016777217,SearchResult,src.engine.advanced_search,Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-22.0,4,,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","[[[[""650"", ""Bulbasaur""], 68.0, 1, ""None"", 12.0, true], [], 5, 6], [[[""43"", ""Eevee""], 47.5, 2, ""None"", 2.5, true], [], 5, 6], 3, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -22.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004928000271320343, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004928000271320343}}}}}",COMPLETED
NB48_LOSS_10__late_game_prize_pressure__7a59d0987687,NB48_LOSS_10,late_game_prize_pressure,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,2,3,2,"[""Ascension"", ""Quick Attack""]",4,0.006451399996876717,SearchResult,src.engine.advanced_search,Quick Attack,"[""Quick Attack"", 20.0, 3, ""Flip a coin. If heads, this attack does 20 more damage.""]",10.0,4,,False,"[{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","[[[[""650"", ""Bulbasaur""], 48.0, 3, ""None"", 32.0, true], [], 2, 3], [[[""43"", ""Eevee""], 30.0, 3, ""None"", 20.0, true], [], 2, 3], 9, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, ""score"": 10.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 12, ""leaf_nodes"": 3, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 1, ""transposition_stores"": 8, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0012670999858528376, ""depth_nodes"": {""4"": 12}, ""depth_times"": {""4"": 0.0012670999858528376}}}}}",COMPLETED
NB48_LOSS_10__opening_one_energy__1ebb255cddbe,NB48_LOSS_10,opening_one_energy,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,6,6,1,"[""Ascension""]",4,0.005609799991361797,SearchResult,src.engine.advanced_search,Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-40.0,4,,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","[[[[""650"", ""Bulbasaur""], 80.0, 1, ""None"", 0.0, true], [], 6, 6], [[[""43"", ""Eevee""], 50.0, 1, ""None"", 0.0, true], [], 6, 6], 2, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -40.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.00048749998677521944, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.00048749998677521944}}}}}",COMPLETED
NB48_LOSS_10__opening_zero_energy__73ce727eea86,NB48_LOSS_10,opening_zero_energy,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,6,7,1,"[""Pass""]",4,0.005794800003059208,SearchResult,src.engine.advanced_search,Pass,"[""Pass"", 0.0, 0, ""No legal attack was available.""]",-0.0,4,,False,"[{""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}]","[[[[""650"", ""Bulbasaur""], 80.0, 0, ""None"", 0.0, true], [], 6, 7], [[[""43"", ""Eevee""], 50.0, 0, ""None"", 0.0, true], [], 6, 7], 1, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, ""score"": -0.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.00047640001866966486, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.00047640001866966486}}}}}",COMPLETED
NB48_LOSS_10__opponent_under_pressure__7f432504dc1c,NB48_LOSS_10,opponent_under_pressure,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,4,5,1,"[""Ascension""]",4,0.0056680999987293035,SearchResult,src.engine.advanced_search,Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-83.0,4,,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","[[[[""650"", ""Bulbasaur""], 68.0, 3, ""None"", 12.0, true], [], 4, 5], [[[""43"", ""Eevee""], 25.0, 2, ""None"", 25.0, true], [], 4, 5], 6, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -83.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004935000033583492, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004935000033583492}}}}}",COMPLETED
NB48_LOSS_10__player_under_pressure__68266a0c05f9,NB48_LOSS_10,player_under_pressure,PRESERVE,Opponent,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,4,4,2,"[""Ascension"", ""Quick Attack""]",4,0.00625229999423027,SearchResult,src.engine.advanced_search,Quick Attack,"[""Quick Attack"", 20.0, 3, ""Flip a coin. If heads, this attack does 20 more damage.""]",613.0,4,,False,"[{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]","[[[[""650"", ""Bulbasaur""], 40.0, 2, ""None"", 40.0, true], [], 4, 4], [[[""43"", ""Eevee""], 42.5, 3, ""None"", 7.5, true], [], 4, 4], 6, ""Opponent""]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, ""score"": 613.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 11, ""leaf_nodes"": 2, ""terminal_nodes"": 1, ""cutoffs"": 0, ""transposition_hits"": 1, ""transposition_stores"": 7, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.001215800002682954, ""depth_nodes"": {""4"": 11}, ""depth_times"": {""4"": 0.001215800002682954}}}}}",COMPLETED
