example_id,variant_id,source_scenario_id,source_match_id,variant_name,variant_seed,queue_position,curriculum_priority,hard_example_rank,side_mode,source_side,current_side,baseline_name,player_card,opponent_card,turn_number,player_energy,opponent_energy,player_damage,opponent_damage,prize_cards_remaining,hand_size,state_key,legal_move_count,legal_moves,expert_move,expert_move_key,value_target,search_depth_requested,search_depth_reached,search_nodes,search_elapsed_seconds,search_timed_out,principal_variation,raw_search_result,search_success,sample_weight
NB48_LOSS_10__balanced_midgame__b38b454597c7,NB48_LOSS_10__balanced_midgame__b38b454597c7,NB48_LOSS_10,10,balanced_midgame,1941185082,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,4,5,"[[[[""650"", ""Bulbasaur""], 60.0, 2, ""None"", 20.0, true], [], 4, 5], [[[""43"", ""Eevee""], 37.5, 2, ""None"", 12.5, true], [], 4, 5], 5, ""Opponent""]",1,"[""Ascension""]",Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-40.0,4,4,,0.005650399980368,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -40.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004875999875366688, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004875999875366688}}}}}",True,1.6335
NB48_LOSS_10__counterfactual_side_early__d862febbde1a,NB48_LOSS_10__counterfactual_side_early__d862febbde1a,NB48_LOSS_10,10,counterfactual_side_early,1562815838,87,2.0,87,FLIP,Opponent,Player,Random Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,5,6,"[[[[""650"", ""Bulbasaur""], 72.0, 1, ""None"", 8.0, true], [], 5, 6], [[[""43"", ""Eevee""], 45.0, 1, ""None"", 5.0, true], [], 5, 6], 3, ""Player""]",1,"[""Bind Down""]",Bind Down,"[""Bind Down"", 10.0, 1, ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""]",40.0,4,4,,0.0062345000042114,False,"[{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, ""score"": 40.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004838000168092549, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004838000168092549}}}}}",True,0.99
NB48_LOSS_10__counterfactual_side_late__8c8e50dd4698,NB48_LOSS_10__counterfactual_side_late__8c8e50dd4698,NB48_LOSS_10,10,counterfactual_side_late,1102531231,87,2.0,87,FLIP,Opponent,Player,Random Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,3,4,"[[[[""650"", ""Bulbasaur""], 44.0, 3, ""None"", 36.0, true], [], 3, 4], [[[""43"", ""Eevee""], 27.5, 3, ""None"", 22.5, true], [], 3, 4], 8, ""Player""]",1,"[""Bind Down""]",Bind Down,"[""Bind Down"", 10.0, 1, ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""]",-10.0,4,4,,0.006172699999297,False,"[{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, ""score"": -10.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 10, ""leaf_nodes"": 4, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 6, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0010363000037614256, ""depth_nodes"": {""4"": 10}, ""depth_times"": {""4"": 0.0010363000037614256}}}}}",True,0.99
NB48_LOSS_10__critical_hp_decision__437af3f25399,NB48_LOSS_10__critical_hp_decision__437af3f25399,NB48_LOSS_10,10,critical_hp_decision,1533408126,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,2,3,"[[[[""650"", ""Bulbasaur""], 24.0, 4, ""None"", 56.0, true], [], 2, 3], [[[""43"", ""Eevee""], 22.5, 4, ""None"", 27.5, true], [], 2, 3], 10, ""Opponent""]",2,"[""Ascension"", ""Quick Attack""]",Quick Attack,"[""Quick Attack"", 20.0, 3, ""Flip a coin. If heads, this attack does 20 more damage.""]",565.0,4,4,,0.0064617000170983,False,"[{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, ""score"": 565.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 11, ""leaf_nodes"": 2, ""terminal_nodes"": 1, ""cutoffs"": 0, ""transposition_hits"": 1, ""transposition_stores"": 7, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0011254000128246844, ""depth_nodes"": {""4"": 11}, ""depth_times"": {""4"": 0.0011254000128246844}}}}}",True,1.8785
NB48_LOSS_10__early_pressure__86616f3937c2,NB48_LOSS_10__early_pressure__86616f3937c2,NB48_LOSS_10,10,early_pressure,1851208657,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,5,6,"[[[[""650"", ""Bulbasaur""], 68.0, 1, ""None"", 12.0, true], [], 5, 6], [[[""43"", ""Eevee""], 47.5, 2, ""None"", 2.5, true], [], 5, 6], 3, ""Opponent""]",1,"[""Ascension""]",Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-22.0,4,4,,0.0066069000167772,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -22.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004928000271320343, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004928000271320343}}}}}",True,1.6335
NB48_LOSS_10__late_game_prize_pressure__7a59d0987687,NB48_LOSS_10__late_game_prize_pressure__7a59d0987687,NB48_LOSS_10,10,late_game_prize_pressure,2244822415,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,2,3,"[[[[""650"", ""Bulbasaur""], 48.0, 3, ""None"", 32.0, true], [], 2, 3], [[[""43"", ""Eevee""], 30.0, 3, ""None"", 20.0, true], [], 2, 3], 9, ""Opponent""]",2,"[""Ascension"", ""Quick Attack""]",Quick Attack,"[""Quick Attack"", 20.0, 3, ""Flip a coin. If heads, this attack does 20 more damage.""]",10.0,4,4,,0.0064513999968767,False,"[{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, ""score"": 10.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 12, ""leaf_nodes"": 3, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 1, ""transposition_stores"": 8, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0012670999858528376, ""depth_nodes"": {""4"": 12}, ""depth_times"": {""4"": 0.0012670999858528376}}}}}",True,1.8785
NB48_LOSS_10__opening_one_energy__1ebb255cddbe,NB48_LOSS_10__opening_one_energy__1ebb255cddbe,NB48_LOSS_10,10,opening_one_energy,2332825554,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,6,6,"[[[[""650"", ""Bulbasaur""], 80.0, 1, ""None"", 0.0, true], [], 6, 6], [[[""43"", ""Eevee""], 50.0, 1, ""None"", 0.0, true], [], 6, 6], 2, ""Opponent""]",1,"[""Ascension""]",Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-40.0,4,4,,0.0056097999913617,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -40.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.00048749998677521944, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.00048749998677521944}}}}}",True,1.6335
NB48_LOSS_10__opening_zero_energy__73ce727eea86,NB48_LOSS_10__opening_zero_energy__73ce727eea86,NB48_LOSS_10,10,opening_zero_energy,1197621522,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,6,7,"[[[[""650"", ""Bulbasaur""], 80.0, 0, ""None"", 0.0, true], [], 6, 7], [[[""43"", ""Eevee""], 50.0, 0, ""None"", 0.0, true], [], 6, 7], 1, ""Opponent""]",1,"[""Pass""]",Pass,"[""Pass"", 0.0, 0, ""No legal attack was available.""]",-0.0,4,4,,0.0057948000030592,False,"[{""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, ""score"": -0.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}, {""name"": ""Pass"", ""damage"": 0.0, ""energy_cost"": 0, ""effect"": ""No legal attack was available.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.00047640001866966486, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.00047640001866966486}}}}}",True,1.6335
NB48_LOSS_10__opponent_under_pressure__7f432504dc1c,NB48_LOSS_10__opponent_under_pressure__7f432504dc1c,NB48_LOSS_10,10,opponent_under_pressure,2443428846,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,4,5,"[[[[""650"", ""Bulbasaur""], 68.0, 3, ""None"", 12.0, true], [], 4, 5], [[[""43"", ""Eevee""], 25.0, 2, ""None"", 25.0, true], [], 4, 5], 6, ""Opponent""]",1,"[""Ascension""]",Ascension,"[""Ascension"", 0.0, 1, ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""]",-83.0,4,4,,0.0056680999987293,False,"[{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, ""score"": -83.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Ascension"", ""damage"": 0.0, ""energy_cost"": 1, ""effect"": ""Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 5, ""leaf_nodes"": 1, ""terminal_nodes"": 0, ""cutoffs"": 0, ""transposition_hits"": 0, ""transposition_stores"": 4, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.0004935000033583492, ""depth_nodes"": {""4"": 5}, ""depth_times"": {""4"": 0.0004935000033583492}}}}}",True,1.6335
NB48_LOSS_10__player_under_pressure__68266a0c05f9,NB48_LOSS_10__player_under_pressure__68266a0c05f9,NB48_LOSS_10,10,player_under_pressure,2519685726,87,2.0,87,PRESERVE,Opponent,Opponent,Random Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,4,4,"[[[[""650"", ""Bulbasaur""], 40.0, 2, ""None"", 40.0, true], [], 4, 4], [[[""43"", ""Eevee""], 42.5, 3, ""None"", 7.5, true], [], 4, 4], 6, ""Opponent""]",2,"[""Ascension"", ""Quick Attack""]",Quick Attack,"[""Quick Attack"", 20.0, 3, ""Flip a coin. If heads, this attack does 20 more damage.""]",613.0,4,4,,0.0062522999942302,False,"[{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]","{""__type__"": ""SearchResult"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""best_move"": {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, ""score"": 613.0, ""completed_depth"": 4, ""principal_variation"": [{""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Bind Down"", ""damage"": 10.0, ""energy_cost"": 1, ""effect"": ""During your opponent’s next turn, the Defending Pokémon can’t retreat.""}, {""name"": ""Quick Attack"", ""damage"": 20.0, ""energy_cost"": 3, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}], ""stats"": {""__type__"": ""SearchStats"", ""__module__"": ""src.engine.advanced_search"", ""attributes"": {""nodes"": 11, ""leaf_nodes"": 2, ""terminal_nodes"": 1, ""cutoffs"": 0, ""transposition_hits"": 1, ""transposition_stores"": 7, ""transposition_cutoffs"": 0, ""killer_hits"": 0, ""killer_stores"": 0, ""history_hits"": 0, ""history_updates"": 0, ""completed_depth"": 4, ""elapsed_seconds"": 0.001215800002682954, ""depth_nodes"": {""4"": 11}, ""depth_times"": {""4"": 0.001215800002682954}}}}}",True,1.8785
