column,dtype,row_count,non_null_count,null_count,null_fraction,unique_count,duplicate_non_null_count
example_id,object,1060,1060,0,0.0,1060,0
variant_id,object,1060,1060,0,0.0,1060,0
source_scenario_id,object,1060,1060,0,0.0,106,954
source_match_id,int64,1060,1060,0,0.0,106,954
variant_name,object,1060,1060,0,0.0,10,1050
variant_seed,int64,1060,1060,0,0.0,1060,0
queue_position,int64,1060,1060,0,0.0,106,954
curriculum_priority,float64,1060,1060,0,0.0,9,1051
hard_example_rank,int64,1060,1060,0,0.0,106,954
side_mode,object,1060,1060,0,0.0,2,1058
source_side,object,1060,1060,0,0.0,2,1058
current_side,object,1060,1060,0,0.0,2,1058
baseline_name,object,1060,1060,0,0.0,3,1057
player_card,object,1060,1060,0,0.0,4,1056
opponent_card,object,1060,1060,0,0.0,2,1058
turn_number,int64,1060,1060,0,0.0,8,1052
player_energy,int64,1060,1060,0,0.0,5,1055
opponent_energy,int64,1060,1060,0,0.0,5,1055
player_damage,float64,1060,1060,0,0.0,21,1039
opponent_damage,float64,1060,1060,0,0.0,16,1044
prize_cards_remaining,int64,1060,1060,0,0.0,5,1055
hand_size,int64,1060,1060,0,0.0,5,1055
state_key,object,1060,1060,0,0.0,40,1020
legal_move_count,int64,1060,1060,0,0.0,1,1059
legal_moves,object,1060,1060,0,0.0,1,1059
expert_move,object,1060,1060,0,0.0,1,1059
expert_move_key,object,1060,1060,0,0.0,1,1059
value_target,float64,1060,1060,0,0.0,7,1053
search_depth_requested,int64,1060,1060,0,0.0,1,1059
search_depth_reached,int64,1060,1060,0,0.0,1,1059
search_nodes,float64,1060,0,1060,1.0,0,0
search_elapsed_seconds,float64,1060,1060,0,0.0,1020,40
search_timed_out,bool,1060,1060,0,0.0,1,1059
principal_variation,object,1060,1060,0,0.0,1,1059
raw_search_result,object,1060,1060,0,0.0,901,159
search_success,bool,1060,1060,0,0.0,1,1059
sample_weight,float64,1060,1060,0,0.0,4,1056
