variant_id,source_scenario_id,dataset_split
NB48_LOSS_10__balanced_midgame__b38b454597c7,NB48_LOSS_10,train
NB48_LOSS_10__counterfactual_side_early__d862febbde1a,NB48_LOSS_10,train
NB48_LOSS_10__counterfactual_side_late__8c8e50dd4698,NB48_LOSS_10,train
NB48_LOSS_10__critical_hp_decision__437af3f25399,NB48_LOSS_10,train
NB48_LOSS_10__early_pressure__86616f3937c2,NB48_LOSS_10,train
NB48_LOSS_10__late_game_prize_pressure__7a59d0987687,NB48_LOSS_10,train
NB48_LOSS_10__opening_one_energy__1ebb255cddbe,NB48_LOSS_10,train
NB48_LOSS_10__opening_zero_energy__73ce727eea86,NB48_LOSS_10,train
NB48_LOSS_10__opponent_under_pressure__7f432504dc1c,NB48_LOSS_10,train
NB48_LOSS_10__player_under_pressure__68266a0c05f9,NB48_LOSS_10,train
NB48_LOSS_100__balanced_midgame__0c626439fa7f,NB48_LOSS_100,train
NB48_LOSS_100__counterfactual_side_early__7ee4dedc8409,NB48_LOSS_100,train
NB48_LOSS_100__counterfactual_side_late__6952d56b432b,NB48_LOSS_100,train
NB48_LOSS_100__critical_hp_decision__c2d904baa03c,NB48_LOSS_100,train
NB48_LOSS_100__early_pressure__8c1b242f8680,NB48_LOSS_100,train
NB48_LOSS_100__late_game_prize_pressure__d08cd4ca36ff,NB48_LOSS_100,train
NB48_LOSS_100__opening_one_energy__81b9ec81efaf,NB48_LOSS_100,train
NB48_LOSS_100__opening_zero_energy__b58d44ff9e61,NB48_LOSS_100,train
NB48_LOSS_100__opponent_under_pressure__f6e08b2aa33c,NB48_LOSS_100,train
NB48_LOSS_100__player_under_pressure__f72484445514,NB48_LOSS_100,train
NB48_LOSS_102__balanced_midgame__6cbd98a5d3f9,NB48_LOSS_102,test
NB48_LOSS_102__counterfactual_side_early__dbac05937892,NB48_LOSS_102,test
NB48_LOSS_102__counterfactual_side_late__27ad5dd904cd,NB48_LOSS_102,test
NB48_LOSS_102__critical_hp_decision__e5fbda022e6a,NB48_LOSS_102,test
NB48_LOSS_102__early_pressure__0e36d85bc9ed,NB48_LOSS_102,test
NB48_LOSS_102__late_game_prize_pressure__459abfae3091,NB48_LOSS_102,test
NB48_LOSS_102__opening_one_energy__e8252476e44b,NB48_LOSS_102,test
NB48_LOSS_102__opening_zero_energy__0791f71be39c,NB48_LOSS_102,test
NB48_LOSS_102__opponent_under_pressure__d622f261ddf2,NB48_LOSS_102,test
NB48_LOSS_102__player_under_pressure__f269ffb3fd85,NB48_LOSS_102,test
NB48_LOSS_104__balanced_midgame__960050f5c4a3,NB48_LOSS_104,train
NB48_LOSS_104__counterfactual_side_early__236ffdd5d798,NB48_LOSS_104,train
NB48_LOSS_104__counterfactual_side_late__2ef8df79a57b,NB48_LOSS_104,train
NB48_LOSS_104__critical_hp_decision__bb98cd35aeb1,NB48_LOSS_104,train
NB48_LOSS_104__early_pressure__52fd72e8811c,NB48_LOSS_104,train
NB48_LOSS_104__late_game_prize_pressure__0952db9ee2a3,NB48_LOSS_104,train
NB48_LOSS_104__opening_one_energy__1b3e5e77cca9,NB48_LOSS_104,train
NB48_LOSS_104__opening_zero_energy__de12fa057a51,NB48_LOSS_104,train
NB48_LOSS_104__opponent_under_pressure__9ee33c8c878f,NB48_LOSS_104,train
NB48_LOSS_104__player_under_pressure__f80376e3768e,NB48_LOSS_104,train
NB48_LOSS_106__balanced_midgame__f6140cdafcaa,NB48_LOSS_106,train
NB48_LOSS_106__counterfactual_side_early__eccdbdc58dcc,NB48_LOSS_106,train
NB48_LOSS_106__counterfactual_side_late__94a4b62a8ceb,NB48_LOSS_106,train
NB48_LOSS_106__critical_hp_decision__e5db11c5c03f,NB48_LOSS_106,train
NB48_LOSS_106__early_pressure__3c4cf98e262e,NB48_LOSS_106,train
NB48_LOSS_106__late_game_prize_pressure__c2ffef91b921,NB48_LOSS_106,train
NB48_LOSS_106__opening_one_energy__0d72c4e58a23,NB48_LOSS_106,train
NB48_LOSS_106__opening_zero_energy__e788f3ef4607,NB48_LOSS_106,train
NB48_LOSS_106__opponent_under_pressure__d73869688880,NB48_LOSS_106,train
NB48_LOSS_106__player_under_pressure__9b200d39483a,NB48_LOSS_106,train
NB48_LOSS_11__balanced_midgame__bd59f62f20d3,NB48_LOSS_11,train
NB48_LOSS_11__counterfactual_side_early__c07dc71a35cd,NB48_LOSS_11,train
NB48_LOSS_11__counterfactual_side_late__4af1b8abf9b7,NB48_LOSS_11,train
NB48_LOSS_11__critical_hp_decision__bac0467a37c9,NB48_LOSS_11,train
NB48_LOSS_11__early_pressure__cf73e97418be,NB48_LOSS_11,train
NB48_LOSS_11__late_game_prize_pressure__4225c967cc2d,NB48_LOSS_11,train
NB48_LOSS_11__opening_one_energy__f7b9cf263fc1,NB48_LOSS_11,train
NB48_LOSS_11__opening_zero_energy__4edf12bd391e,NB48_LOSS_11,train
NB48_LOSS_11__opponent_under_pressure__e9c22b5c05a3,NB48_LOSS_11,train
NB48_LOSS_11__player_under_pressure__6b48ed2bd74f,NB48_LOSS_11,train
NB48_LOSS_110__balanced_midgame__0582cf1d942c,NB48_LOSS_110,train
NB48_LOSS_110__counterfactual_side_early__67b9e9aab238,NB48_LOSS_110,train
NB48_LOSS_110__counterfactual_side_late__ff0828a4a3f6,NB48_LOSS_110,train
NB48_LOSS_110__critical_hp_decision__6b0f6b8a3212,NB48_LOSS_110,train
NB48_LOSS_110__early_pressure__768641b992df,NB48_LOSS_110,train
NB48_LOSS_110__late_game_prize_pressure__7763b37ce6d1,NB48_LOSS_110,train
NB48_LOSS_110__opening_one_energy__6a5b001b4715,NB48_LOSS_110,train
NB48_LOSS_110__opening_zero_energy__79c63bed3a36,NB48_LOSS_110,train
NB48_LOSS_110__opponent_under_pressure__55cf2a320592,NB48_LOSS_110,train
NB48_LOSS_110__player_under_pressure__b7497838e458,NB48_LOSS_110,train
NB48_LOSS_111__balanced_midgame__b9dc3fdd8e4f,NB48_LOSS_111,test
NB48_LOSS_111__counterfactual_side_early__1fd4df67b05f,NB48_LOSS_111,test
NB48_LOSS_111__counterfactual_side_late__da2a7c89c6c9,NB48_LOSS_111,test
NB48_LOSS_111__critical_hp_decision__585d1c42f2c2,NB48_LOSS_111,test
NB48_LOSS_111__early_pressure__2fe5dea8ba70,NB48_LOSS_111,test
NB48_LOSS_111__late_game_prize_pressure__94b3ebdaf387,NB48_LOSS_111,test
NB48_LOSS_111__opening_one_energy__025fa7c4c42c,NB48_LOSS_111,test
NB48_LOSS_111__opening_zero_energy__8f82b4c89f9a,NB48_LOSS_111,test
NB48_LOSS_111__opponent_under_pressure__77d5c6db3b9e,NB48_LOSS_111,test
NB48_LOSS_111__player_under_pressure__dd56cfe90e86,NB48_LOSS_111,test
NB48_LOSS_114__balanced_midgame__67cda55a9006,NB48_LOSS_114,validation
NB48_LOSS_114__counterfactual_side_early__915268b14c17,NB48_LOSS_114,validation
NB48_LOSS_114__counterfactual_side_late__23b672a5452d,NB48_LOSS_114,validation
NB48_LOSS_114__critical_hp_decision__c008c094e0a6,NB48_LOSS_114,validation
NB48_LOSS_114__early_pressure__28a36c7b16b6,NB48_LOSS_114,validation
NB48_LOSS_114__late_game_prize_pressure__54eaaf6c311f,NB48_LOSS_114,validation
NB48_LOSS_114__opening_one_energy__387caa33af81,NB48_LOSS_114,validation
NB48_LOSS_114__opening_zero_energy__b8ff08e38020,NB48_LOSS_114,validation
NB48_LOSS_114__opponent_under_pressure__9a45ec3e59da,NB48_LOSS_114,validation
NB48_LOSS_114__player_under_pressure__b5c4dee6e36b,NB48_LOSS_114,validation
NB48_LOSS_116__balanced_midgame__14e8d18e776c,NB48_LOSS_116,train
NB48_LOSS_116__counterfactual_side_early__b8d1f217087d,NB48_LOSS_116,train
NB48_LOSS_116__counterfactual_side_late__cd33307aed69,NB48_LOSS_116,train
NB48_LOSS_116__critical_hp_decision__f46d9034bb37,NB48_LOSS_116,train
NB48_LOSS_116__early_pressure__fb9c50da2d9c,NB48_LOSS_116,train
NB48_LOSS_116__late_game_prize_pressure__4bd458440344,NB48_LOSS_116,train
NB48_LOSS_116__opening_one_energy__def67e090f30,NB48_LOSS_116,train
NB48_LOSS_116__opening_zero_energy__7629c836ef61,NB48_LOSS_116,train
NB48_LOSS_116__opponent_under_pressure__9178b36a7e71,NB48_LOSS_116,train
NB48_LOSS_116__player_under_pressure__024ed67d119a,NB48_LOSS_116,train
NB48_LOSS_118__balanced_midgame__456d66a36e54,NB48_LOSS_118,train
