source_scenario_id,scenario_row_count,source_match_id,source_side,curriculum_priority_mean,hard_example_rank_min,sample_weight_mean,source_side_normalized,split_stratum,dataset_split
NB48_LOSS_22,10,22,Opponent,2.0,88,1.5048,opponent,22__opponent,test
NB48_LOSS_59,10,59,Player,1.0,104,1.2353,player,59__player,test
NB48_LOSS_74,10,74,Opponent,2.0,92,1.5048,opponent,74__opponent,test
NB48_LOSS_102,10,102,Opponent,4.0,44,1.5048,opponent,102__opponent,test
NB48_LOSS_111,10,111,Player,2.0,95,1.2353,player,111__player,test
NB48_LOSS_123,10,123,Player,2.0,96,1.2353,player,123__player,test
NB48_LOSS_158,10,158,Opponent,4.0,58,1.5048,opponent,158__opponent,test
NB48_LOSS_162,10,162,Opponent,4.0,59,1.5048,opponent,162__opponent,test
NB48_LOSS_164,10,164,Opponent,5.333333333333333,40,1.5048,opponent,164__opponent,test
NB48_LOSS_171,10,171,Player,2.0,100,1.2353,player,171__player,test
NB48_LOSS_176,10,176,Opponent,5.333333333333333,41,1.5048,opponent,176__opponent,test
NB48_LOSS_186,10,186,Opponent,4.0,65,1.5048,opponent,186__opponent,test
NB48_LOSS_195,10,195,Player,2.0,102,1.2353,player,195__player,test
NB48_LOSS_210,10,210,Opponent,9.0,1,1.5048,opponent,210__opponent,test
NB48_LOSS_252,10,252,Opponent,8.0,13,1.5048,opponent,252__opponent,test
NB48_LOSS_300,10,300,Opponent,8.0,17,1.5048,opponent,300__opponent,test
NB48_LOSS_4,10,4,Opponent,2.6666666666666665,79,1.5048,opponent,4__opponent,train
NB48_LOSS_6,10,6,Opponent,2.0,86,1.5048,opponent,6__opponent,train
NB48_LOSS_10,10,10,Opponent,2.0,87,1.5048,opponent,10__opponent,train
NB48_LOSS_11,10,11,Player,1.0,103,1.2353,player,11__player,train
NB48_LOSS_30,10,30,Opponent,2.0,89,1.5048,opponent,30__opponent,train
NB48_LOSS_34,10,34,Opponent,2.0,90,1.5048,opponent,34__opponent,train
NB48_LOSS_42,10,42,Opponent,2.0,91,1.5048,opponent,42__opponent,train
NB48_LOSS_46,10,46,Opponent,3.0,69,1.5048,opponent,46__opponent,train
NB48_LOSS_52,10,52,Opponent,2.6666666666666665,81,1.5048,opponent,52__opponent,train
NB48_LOSS_70,10,70,Opponent,3.0,70,1.5048,opponent,70__opponent,train
NB48_LOSS_76,10,76,Opponent,2.6666666666666665,82,1.5048,opponent,76__opponent,train
NB48_LOSS_88,10,88,Opponent,2.6666666666666665,83,1.5048,opponent,88__opponent,train
NB48_LOSS_100,10,100,Opponent,2.6666666666666665,84,1.5048,opponent,100__opponent,train
NB48_LOSS_104,10,104,Opponent,5.333333333333333,35,1.5048,opponent,104__opponent,train
NB48_LOSS_106,10,106,Opponent,4.0,45,1.5048,opponent,106__opponent,train
NB48_LOSS_110,10,110,Opponent,4.0,46,1.5048,opponent,110__opponent,train
NB48_LOSS_116,10,116,Opponent,5.333333333333333,36,1.5048,opponent,116__opponent,train
NB48_LOSS_118,10,118,Opponent,4.0,48,1.5048,opponent,118__opponent,train
NB48_LOSS_122,10,122,Opponent,4.0,49,1.5048,opponent,122__opponent,train
NB48_LOSS_126,10,126,Opponent,4.0,50,1.5048,opponent,126__opponent,train
NB48_LOSS_128,10,128,Opponent,5.333333333333333,37,1.5048,opponent,128__opponent,train
NB48_LOSS_130,10,130,Opponent,4.0,51,1.5048,opponent,130__opponent,train
NB48_LOSS_134,10,134,Opponent,4.0,52,1.5048,opponent,134__opponent,train
NB48_LOSS_135,10,135,Player,2.0,97,1.2353,player,135__player,train
NB48_LOSS_138,10,138,Opponent,4.0,53,1.5048,opponent,138__opponent,train
NB48_LOSS_140,10,140,Opponent,5.333333333333333,38,1.5048,opponent,140__opponent,train
NB48_LOSS_142,10,142,Opponent,4.0,54,1.5048,opponent,142__opponent,train
