dataset_split,source_match_id,row_count,scenario_count
test,22,10,1
test,59,10,1
test,74,10,1
test,102,10,1
test,111,10,1
test,123,10,1
test,158,10,1
test,162,10,1
test,164,10,1
test,171,10,1
test,176,10,1
test,186,10,1
test,195,10,1
test,210,10,1
test,252,10,1
test,300,10,1
train,4,10,1
train,6,10,1
train,10,10,1
train,11,10,1
train,30,10,1
train,34,10,1
train,42,10,1
train,46,10,1
train,52,10,1
train,70,10,1
train,76,10,1
train,88,10,1
train,100,10,1
train,104,10,1
train,106,10,1
train,110,10,1
train,116,10,1
train,118,10,1
train,122,10,1
train,126,10,1
train,128,10,1
train,130,10,1
train,134,10,1
train,135,10,1
train,138,10,1
train,140,10,1
train,142,10,1
train,146,10,1
train,147,10,1
train,150,10,1
train,152,10,1
train,154,10,1
train,159,10,1
train,170,10,1
train,174,10,1
train,178,10,1
train,188,10,1
train,190,10,1
train,194,10,1
train,198,10,1
train,200,10,1
train,202,10,1
train,204,10,1
train,206,10,1
train,211,10,1
train,214,10,1
train,216,10,1
train,218,10,1
train,222,10,1
train,223,10,1
train,230,10,1
train,234,10,1
train,235,10,1
train,238,10,1
train,242,10,1
train,246,10,1
train,247,10,1
train,250,10,1
train,258,10,1
train,259,10,1
train,264,10,1
train,266,10,1
train,270,10,1
train,271,10,1
train,274,10,1
train,278,10,1
train,282,10,1
train,283,10,1
train,286,10,1
train,288,10,1
train,290,10,1
train,294,10,1
train,295,10,1
train,298,10,1
validation,2,10,1
validation,40,10,1
validation,71,10,1
validation,82,10,1
validation,83,10,1
validation,94,10,1
validation,114,10,1
validation,166,10,1
validation,182,10,1
validation,183,10,1
validation,226,10,1
validation,228,10,1
validation,240,10,1
validation,254,10,1
validation,262,10,1
validation,276,10,1
