dataset_split,variant_name,row_count,scenario_count,player_rows,opponent_rows
test,balanced_midgame,16,16,5,11
test,counterfactual_side_early,16,16,11,5
test,counterfactual_side_late,16,16,11,5
test,critical_hp_decision,16,16,5,11
test,early_pressure,16,16,5,11
test,late_game_prize_pressure,16,16,5,11
test,opening_one_energy,16,16,5,11
test,opening_zero_energy,16,16,5,11
test,opponent_under_pressure,16,16,5,11
test,player_under_pressure,16,16,5,11
train,balanced_midgame,74,74,12,62
train,counterfactual_side_early,74,74,62,12
train,counterfactual_side_late,74,74,62,12
train,critical_hp_decision,74,74,12,62
train,early_pressure,74,74,12,62
train,late_game_prize_pressure,74,74,12,62
train,opening_one_energy,74,74,12,62
train,opening_zero_energy,74,74,12,62
train,opponent_under_pressure,74,74,12,62
train,player_under_pressure,74,74,12,62
validation,balanced_midgame,16,16,3,13
validation,counterfactual_side_early,16,16,13,3
validation,counterfactual_side_late,16,16,13,3
validation,critical_hp_decision,16,16,3,13
validation,early_pressure,16,16,3,13
validation,late_game_prize_pressure,16,16,3,13
validation,opening_one_energy,16,16,3,13
validation,opening_zero_energy,16,16,3,13
validation,opponent_under_pressure,16,16,3,13
validation,player_under_pressure,16,16,3,13
