column_name,feature_type,row_count,missing_count,unique_count,minimum,mean,median,maximum
player_energy_numeric,numeric,1060,0,5,0.0,2.0,2.0,4.0
opponent_energy_numeric,numeric,1060,0,5,0.0,2.1,2.0,4.0
player_damage_numeric,numeric,1060,0,21,0.0,24.42735849056604,20.0,119.0
opponent_damage_numeric,numeric,1060,0,16,0.0,13.63679245283019,12.25,44.0
turn_number_numeric,numeric,1060,0,8,1.0,5.3,5.5,10.0
prize_cards_remaining_numeric,numeric,1060,0,5,2.0,4.1,4.0,6.0
hand_size_numeric,numeric,1060,0,5,3.0,4.9,5.0,7.0
legal_move_count_numeric,numeric,1060,0,1,1.0,1.0,1.0,1.0
curriculum_priority_numeric,numeric,1060,0,9,1.0,4.528301886792453,4.0,9.0
hard_example_rank_numeric,numeric,1060,0,106,1.0,53.5,53.5,106.0
energy_advantage_player,numeric,1060,0,3,-1.0,-0.1,0.0,1.0
damage_advantage_player,numeric,1060,0,24,-91.5,-10.790566037735848,-7.5,32.5
side_relative_energy_advantage,numeric,1060,0,3,-1.0,0.062264150943396226,0.0,1.0
side_relative_damage_advantage,numeric,1060,0,19,-54.0,8.017924528301887,0.0,91.5
total_energy_in_play,numeric,1060,0,7,0.0,4.1,4.5,8.0
total_damage_in_play,numeric,1060,0,19,0.0,38.06415094339623,37.0,146.5
energy_ratio_player,numeric,1060,0,4,0.6666666666666666,0.975,1.0,1.3333333333333333
damage_ratio_player,numeric,1060,0,24,0.2073170731707317,2.0675149947626053,1.5555555555555556,10.117647058823529
late_game_indicator,numeric,1060,0,2,0.0,0.2,0.0,1.0
early_turn_indicator,numeric,1060,0,2,0.0,0.2,0.0,1.0
energy_tied_indicator,numeric,1060,0,2,0.0,0.7,1.0,1.0
damage_tied_indicator,numeric,1060,0,2,0.0,0.2,0.0,1.0
legal_pass_count,numeric,1060,0,1,1.0,1.0,1.0,1.0
legal_attack_count,numeric,1060,0,1,0.0,0.0,0.0,0.0
only_pass_available,numeric,1060,0,1,1.0,1.0,1.0,1.0
multiple_actions_available,numeric,1060,0,1,0.0,0.0,0.0,0.0
is_player_side,numeric,1060,0,2,0.0,0.3132075471698113,0.0,1.0
is_opponent_side,numeric,1060,0,2,0.0,0.6867924528301886,1.0,1.0
variant_name_category,categorical,1060,0,10,,,,
side_mode_category,categorical,1060,0,2,,,,
source_side_category,categorical,1060,0,2,,,,
current_side_category,categorical,1060,0,2,,,,
baseline_name_category,categorical,1060,0,3,,,,
player_card_category,categorical,1060,0,4,,,,
opponent_card_category,categorical,1060,0,2,,,,
legal_move_signature,categorical,1060,0,1,,,,
card_matchup,categorical,1060,0,4,,,,
side_aware_matchup,categorical,1060,0,8,,,,
