column_name,feature_role,dtype,missing_count,unique_count
variant_id,metadata,object,0,1060
source_scenario_id,metadata,object,0,106
source_match_id,metadata,int64,0,106
state_key,metadata,object,0,40
dataset_split,metadata,object,0,3
expert_action_display,metadata,object,0,1
search_value_target,metadata,float64,0,7
search_value_absolute,metadata,float64,0,4
search_value_sign,metadata,int64,0,3
sample_weight_numeric,metadata,float64,0,4
player_energy_numeric,numeric_feature,float64,0,5
opponent_energy_numeric,numeric_feature,float64,0,5
player_damage_numeric,numeric_feature,float64,0,21
opponent_damage_numeric,numeric_feature,float64,0,16
turn_number_numeric,numeric_feature,float64,0,8
prize_cards_remaining_numeric,numeric_feature,float64,0,5
hand_size_numeric,numeric_feature,float64,0,5
legal_move_count_numeric,numeric_feature,float64,0,1
curriculum_priority_numeric,numeric_feature,float64,0,9
hard_example_rank_numeric,numeric_feature,float64,0,106
energy_advantage_player,numeric_feature,float64,0,3
damage_advantage_player,numeric_feature,float64,0,24
side_relative_energy_advantage,numeric_feature,float64,0,3
side_relative_damage_advantage,numeric_feature,float64,0,19
total_energy_in_play,numeric_feature,float64,0,7
total_damage_in_play,numeric_feature,float64,0,19
energy_ratio_player,numeric_feature,float64,0,4
damage_ratio_player,numeric_feature,float64,0,24
late_game_indicator,numeric_feature,int64,0,2
early_turn_indicator,numeric_feature,int64,0,2
energy_tied_indicator,numeric_feature,int64,0,2
damage_tied_indicator,numeric_feature,int64,0,2
legal_pass_count,numeric_feature,int64,0,1
legal_attack_count,numeric_feature,int64,0,1
only_pass_available,numeric_feature,int64,0,1
multiple_actions_available,numeric_feature,int64,0,1
is_player_side,numeric_feature,int64,0,2
is_opponent_side,numeric_feature,int64,0,2
variant_name_category,categorical_feature,object,0,10
side_mode_category,categorical_feature,object,0,2
source_side_category,categorical_feature,object,0,2
current_side_category,categorical_feature,object,0,2
baseline_name_category,categorical_feature,object,0,3
player_card_category,categorical_feature,object,0,4
opponent_card_category,categorical_feature,object,0,2
legal_move_signature,categorical_feature,object,0,1
card_matchup,categorical_feature,object,0,4
side_aware_matchup,categorical_feature,object,0,8
policy_target,target,object,0,1
