dataset_split,column_name,row_count,missing_count,blank_count,unknown_count,unique_count,is_constant
train,variant_name_category,740,0,0,0,10,False
train,side_mode_category,740,0,0,0,2,False
train,source_side_category,740,0,0,0,2,False
train,current_side_category,740,0,0,0,2,False
train,baseline_name_category,740,0,0,0,3,False
train,player_card_category,740,0,0,0,4,False
train,opponent_card_category,740,0,0,0,2,False
train,legal_move_signature,740,0,0,0,1,True
train,card_matchup,740,0,0,0,4,False
train,side_aware_matchup,740,0,0,0,8,False
validation,variant_name_category,160,0,0,0,10,False
validation,side_mode_category,160,0,0,0,2,False
validation,source_side_category,160,0,0,0,2,False
validation,current_side_category,160,0,0,0,2,False
validation,baseline_name_category,160,0,0,0,3,False
validation,player_card_category,160,0,0,0,4,False
validation,opponent_card_category,160,0,0,0,2,False
validation,legal_move_signature,160,0,0,0,1,True
validation,card_matchup,160,0,0,0,4,False
validation,side_aware_matchup,160,0,0,0,8,False
test,variant_name_category,160,0,0,0,10,False
test,side_mode_category,160,0,0,0,2,False
test,source_side_category,160,0,0,0,2,False
test,current_side_category,160,0,0,0,2,False
test,baseline_name_category,160,0,0,0,3,False
test,player_card_category,160,0,0,0,3,False
test,opponent_card_category,160,0,0,0,2,False
test,legal_move_signature,160,0,0,0,1,True
test,card_matchup,160,0,0,0,3,False
test,side_aware_matchup,160,0,0,0,6,False
