dataset_split,column_name,row_count,missing_count,positive_infinity_count,negative_infinity_count,unique_count,minimum,mean,maximum,is_constant
train,player_energy_numeric,740,0,0,0,5,0.0,2.0,4.0,False
train,opponent_energy_numeric,740,0,0,0,5,0.0,2.1,4.0,False
train,player_damage_numeric,740,0,0,0,21,0.0,25.86891891891892,119.0,False
train,opponent_damage_numeric,740,0,0,0,16,0.0,13.441891891891892,44.0,False
train,turn_number_numeric,740,0,0,0,8,1.0,5.3,10.0,False
train,prize_cards_remaining_numeric,740,0,0,0,5,2.0,4.1,6.0,False
train,hand_size_numeric,740,0,0,0,5,3.0,4.9,7.0,False
train,legal_move_count_numeric,740,0,0,0,1,1.0,1.0,1.0,True
train,curriculum_priority_numeric,740,0,0,0,9,1.0,4.711711711711711,9.0,False
train,hard_example_rank_numeric,740,0,0,0,74,2.0,50.08108108108108,103.0,False
train,energy_advantage_player,740,0,0,0,3,-1.0,-0.1,1.0,False
train,damage_advantage_player,740,0,0,0,24,-91.5,-12.427027027027027,32.5,False
train,side_relative_energy_advantage,740,0,0,0,3,-1.0,0.06756756756756757,1.0,False
train,side_relative_damage_advantage,740,0,0,0,19,-54.0,8.83108108108108,91.5,False
train,total_energy_in_play,740,0,0,0,7,0.0,4.1,8.0,False
train,total_damage_in_play,740,0,0,0,19,0.0,39.310810810810814,146.5,False
train,energy_ratio_player,740,0,0,0,4,0.6666666666666666,0.975,1.3333333333333333,False
train,damage_ratio_player,740,0,0,0,24,0.2073170731707317,2.187224341416819,10.117647058823527,False
train,late_game_indicator,740,0,0,0,2,0.0,0.2,1.0,False
train,early_turn_indicator,740,0,0,0,2,0.0,0.2,1.0,False
train,energy_tied_indicator,740,0,0,0,2,0.0,0.7,1.0,False
train,damage_tied_indicator,740,0,0,0,2,0.0,0.2,1.0,False
train,legal_pass_count,740,0,0,0,1,1.0,1.0,1.0,True
train,legal_attack_count,740,0,0,0,1,0.0,0.0,0.0,True
train,only_pass_available,740,0,0,0,1,1.0,1.0,1.0,True
train,multiple_actions_available,740,0,0,0,1,0.0,0.0,0.0,True
train,is_player_side,740,0,0,0,2,0.0,0.2972972972972973,1.0,False
train,is_opponent_side,740,0,0,0,2,0.0,0.7027027027027027,1.0,False
validation,player_energy_numeric,160,0,0,0,5,0.0,2.0,4.0,False
validation,opponent_energy_numeric,160,0,0,0,5,0.0,2.1,4.0,False
validation,player_damage_numeric,160,0,0,0,21,0.0,23.11875,119.0,False
validation,opponent_damage_numeric,160,0,0,0,16,0.0,13.628125,44.0,False
validation,turn_number_numeric,160,0,0,0,8,1.0,5.3,10.0,False
validation,prize_cards_remaining_numeric,160,0,0,0,5,2.0,4.1,6.0,False
validation,hand_size_numeric,160,0,0,0,5,3.0,4.9,7.0,False
