column_name,in_full,in_train,in_validation,in_test,full_dtype,train_dtype,validation_dtype,test_dtype,present_in_all_datasets
baseline_name_category,True,True,True,True,object,object,object,object,True
card_matchup,True,True,True,True,object,object,object,object,True
current_side_category,True,True,True,True,object,object,object,object,True
curriculum_priority_numeric,True,True,True,True,float64,float64,float64,float64,True
damage_advantage_player,True,True,True,True,float64,float64,float64,float64,True
damage_ratio_player,True,True,True,True,float64,float64,float64,float64,True
damage_tied_indicator,True,True,True,True,int64,int64,int64,int64,True
dataset_split,True,True,True,True,object,object,object,object,True
early_turn_indicator,True,True,True,True,int64,int64,int64,int64,True
energy_advantage_player,True,True,True,True,float64,float64,float64,float64,True
energy_ratio_player,True,True,True,True,float64,float64,float64,float64,True
energy_tied_indicator,True,True,True,True,int64,int64,int64,int64,True
expert_action_display,True,True,True,True,object,object,object,object,True
hand_size_numeric,True,True,True,True,float64,float64,float64,float64,True
hard_example_rank_numeric,True,True,True,True,float64,float64,float64,float64,True
is_opponent_side,True,True,True,True,int64,int64,int64,int64,True
is_player_side,True,True,True,True,int64,int64,int64,int64,True
late_game_indicator,True,True,True,True,int64,int64,int64,int64,True
legal_attack_count,True,True,True,True,int64,int64,int64,int64,True
legal_move_count_numeric,True,True,True,True,float64,float64,float64,float64,True
legal_move_signature,True,True,True,True,object,object,object,object,True
legal_pass_count,True,True,True,True,int64,int64,int64,int64,True
multiple_actions_available,True,True,True,True,int64,int64,int64,int64,True
only_pass_available,True,True,True,True,int64,int64,int64,int64,True
opponent_card_category,True,True,True,True,object,object,object,object,True
opponent_damage_numeric,True,True,True,True,float64,float64,float64,float64,True
opponent_energy_numeric,True,True,True,True,float64,float64,float64,float64,True
player_card_category,True,True,True,True,object,object,object,object,True
player_damage_numeric,True,True,True,True,float64,float64,float64,float64,True
player_energy_numeric,True,True,True,True,float64,float64,float64,float64,True
policy_target,True,True,True,True,object,object,object,object,True
prize_cards_remaining_numeric,True,True,True,True,float64,float64,float64,float64,True
sample_weight_numeric,True,True,True,True,float64,float64,float64,float64,True
search_value_absolute,True,True,True,True,float64,float64,float64,float64,True
search_value_sign,True,True,True,True,int64,int64,int64,int64,True
search_value_target,True,True,True,True,float64,float64,float64,float64,True
side_aware_matchup,True,True,True,True,object,object,object,object,True
side_mode_category,True,True,True,True,object,object,object,object,True
side_relative_damage_advantage,True,True,True,True,float64,float64,float64,float64,True
side_relative_energy_advantage,True,True,True,True,float64,float64,float64,float64,True
source_match_id,True,True,True,True,int64,int64,int64,int64,True
source_scenario_id,True,True,True,True,object,object,object,object,True
source_side_category,True,True,True,True,object,object,object,object,True
state_key,True,True,True,True,object,object,object,object,True
total_damage_in_play,True,True,True,True,float64,float64,float64,float64,True
total_energy_in_play,True,True,True,True,float64,float64,float64,float64,True
turn_number_numeric,True,True,True,True,float64,float64,float64,float64,True
variant_id,True,True,True,True,object,object,object,object,True
variant_name_category,True,True,True,True,object,object,object,object,True
