feature_name,exact_name_violation,fragment_violations,passed
player_energy_numeric,False,,True
opponent_energy_numeric,False,,True
player_damage_numeric,False,,True
opponent_damage_numeric,False,,True
turn_number_numeric,False,,True
prize_cards_remaining_numeric,False,,True
hand_size_numeric,False,,True
legal_move_count_numeric,False,,True
curriculum_priority_numeric,False,,True
hard_example_rank_numeric,False,,True
energy_advantage_player,False,,True
damage_advantage_player,False,,True
side_relative_energy_advantage,False,,True
side_relative_damage_advantage,False,,True
total_energy_in_play,False,,True
total_damage_in_play,False,,True
energy_ratio_player,False,,True
damage_ratio_player,False,,True
late_game_indicator,False,,True
early_turn_indicator,False,,True
energy_tied_indicator,False,,True
damage_tied_indicator,False,,True
legal_pass_count,False,,True
legal_attack_count,False,,True
only_pass_available,False,,True
multiple_actions_available,False,,True
is_player_side,False,,True
is_opponent_side,False,,True
variant_name_category,False,,True
side_mode_category,False,,True
source_side_category,False,,True
current_side_category,False,,True
baseline_name_category,False,,True
player_card_category,False,,True
opponent_card_category,False,,True
legal_move_signature,False,,True
card_matchup,False,,True
side_aware_matchup,False,,True
