feature,importance,cumulative_importance
numeric__legal_move_count,0.18104145460983298,0.18104145460983298
numeric__opponent_energy,0.13320346998740598,0.31424492459723896
numeric__hand_size,0.1162498978740053,0.43049482247124427
numeric__turn_number,0.08931124370824588,0.5198060661794901
numeric__player_damage,0.07585433381212417,0.5956603999916142
numeric__player_energy,0.06659647105827475,0.662256871049889
categorical__side_mode_FLIP,0.06386529692357627,0.7261221679734652
categorical__side_mode_PRESERVE,0.061696302692120494,0.7878184706655856
numeric__prize_cards_remaining,0.0437351516289133,0.8315536222944989
categorical__player_card_Bulbasaur,0.041970442316015974,0.8735240646105149
numeric__opponent_damage,0.03374138236984793,0.9072654469803628
categorical__player_card_Charmander,0.020633038330802753,0.9278984853111656
categorical__current_side_Player,0.015809682822611453,0.943708168133777
categorical__player_card_Meowth,0.014347342255259653,0.9580555103890367
categorical__current_side_Opponent,0.012961098661409562,0.9710166090504463
categorical__opponent_card_Eevee,0.01043433875499534,0.9814509478054416
categorical__opponent_card_Charmander,0.009350705328816081,0.9908016531342577
categorical__player_card_Eevee,0.009198346865742033,0.9999999999999998
