metric,value
training_examples,840.0
validation_examples,110.0
test_examples,110.0
training_scenarios,84.0
validation_scenarios,11.0
test_scenarios,11.0
policy_class_count,6.0
encoded_feature_count,18.0
validation_accuracy,1.0
validation_balanced_accuracy,1.0
validation_macro_f1,1.0
test_accuracy,1.0
test_balanced_accuracy,1.0
test_macro_f1,1.0
relative_weighted_side_gap,2.7068294695622867e-16
combined_weight_mean,1.0
smoke_test_rows,20.0
validation_checks_passed,14.0
validation_checks_failed,0.0
