file_name,path,size_bytes,last_modified,matched_keywords
50_side_balanced_policy_fine_tuning.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\scripts\50_side_balanced_policy_fine_tuning.py,84600,2026-07-31T02:26:52.096146,policy
49_side_balanced_search_guided_self_play.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\scripts\49_side_balanced_search_guided_self_play.py,383939,2026-07-30T22:21:35.612217,search
47_competitive_policy_training.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\scripts\47_competitive_policy_training.py,123607,2026-07-26T08:14:18.353167,policy
competitive_policy_agent.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\competitive\competitive_policy_agent.py,4984,2026-07-26T07:58:08.592607,"policy, agent"
competitive_policy_engine.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\competitive\competitive_policy_engine.py,15920,2026-07-26T07:58:08.591608,"policy, engine"
46_competitive_policy_dataset_generation.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\scripts\46_competitive_policy_dataset_generation.py,153370,2026-07-26T06:08:02.701855,policy
45_final_simulator_integration_and_submission.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\scripts\45_final_simulator_integration_and_submission.py,70976,2026-07-26T02:17:46.295304,"simulator, integration"
final_ppo_agent.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\agents\final_ppo_agent.py,4229,2026-07-25T23:56:13.888039,agent
ppo_policy_engine.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\ppo\ppo_policy_engine.py,12295,2026-07-25T23:39:20.963308,"policy, engine"
advanced_search.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\engine\advanced_search.py,30022,2026-07-25T21:57:05.590731,search
search.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\card_database\search.py,1035,2026-07-25T21:57:05.551733,search
simulator.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\simulator.py,1679,2026-07-25T21:57:05.508257,simulator
battle_state.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_state.py,1018,2026-07-25T21:57:05.498207,battle
battle_simulation.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_simulation.py,6553,2026-07-25T21:57:05.496244,battle
battle_agent.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_agent.py,1025,2026-07-25T21:57:05.490209,"battle, agent"
agent_decision.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\agent_decision.py,860,2026-07-25T21:57:05.488241,agent
43_ppo_policy_evaluation.py,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\scripts\43_ppo_policy_evaluation.py,21651,2026-07-25T19:14:49.754677,policy
