symbol_name,exists,callable,object_type,signature,module,source_file
PokemonState,True,True,type,"(card: 'dict', current_hp: 'float', attached_energy: 'int' = 0, status: 'Optional[str]' = None, damage: 'float' = 0.0, is_active: 'bool' = False) -> None",notebook51_simulator_runtime.battle_state,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_state.py
PlayerState,True,True,type,"(active: 'PokemonState', bench: 'List[PokemonState]', prize_cards_remaining: 'int' = 6, hand_size: 'int' = 7) -> None",notebook51_simulator_runtime.battle_state,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_state.py
BattleState,True,True,type,"(player: 'PlayerState', opponent: 'PlayerState', turn_number: 'int', current_player: 'str') -> None",notebook51_simulator_runtime.battle_state,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_state.py
apply_move,True,True,function,"(battle_state: 'BattleState', move: 'Move') -> 'BattleState'",notebook51_simulator_runtime.simulator,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\simulator.py
AgentDecision,True,True,type,"(move: 'dict[str, Any]', score: 'float', search_depth: 'int', nodes: 'int', principal_variation: 'list[dict[str, Any]]') -> None",notebook51_simulator_runtime.agent_decision,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\agent_decision.py
PokemonBattleAgent,True,True,type,(engine: 'Any') -> 'None',notebook51_simulator_runtime.battle_agent,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_agent.py
determine_battle_winner,True,True,function,(state: 'BattleState') -> 'Optional[str]',notebook51_simulator_runtime.battle_simulation,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_simulation.py
simulate_ai_battle,True,True,function,"(initial_state: 'BattleState', agent: 'PokemonBattleAgent', search_depth: 'int' = 6, max_turns: 'int' = 20, verbose: 'bool' = True) -> 'BattleSimulationResult'",notebook51_simulator_runtime.battle_simulation,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_simulation.py
create_battle_transcript,True,True,function,(simulation: 'BattleSimulationResult') -> 'str',notebook51_simulator_runtime.battle_simulation,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_simulation.py
BattleTurnRecord,True,True,type,"(turn_number: 'int', acting_side: 'str', pokemon_name: 'str', move_name: 'str', damage: 'float', score: 'float', search_depth: 'int', nodes: 'int', player_hp_after: 'float', opponent_hp_after: 'float', next_side: 'str') -> None",notebook51_simulator_runtime.battle_simulation,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_simulation.py
BattleSimulationResult,True,True,type,"(final_state: 'BattleState', turns: 'list[BattleTurnRecord]' = <factory>, winner: 'Optional[str]' = None, stop_reason: 'str' = '') -> None",notebook51_simulator_runtime.battle_simulation,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\battle_simulation.py
