battle_number,scenario_id,scenario_name,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,1,Player,['Bind Down'],Bind Down,Ascension,0.564,0.088,False,
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7586666666666667,0.7586666666666667,False,
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,3,Player,['Bind Down'],Bind Down,Ascension,0.68,0.136,False,
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7706666666666667,0.7706666666666667,False,
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,5,Player,['Bind Down'],Bind Down,Ascension,0.632,0.14,False,
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8973333333333333,0.8973333333333333,False,
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,7,Player,['Bind Down'],Bind Down,Ascension,0.5013333333333333,0.124,False,
1,T52_S001,Bulbasaur_vs_Eevee_Player_Start,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.912,0.912,False,
2,T52_S002,Bulbasaur_vs_Eevee_Opponent_Start,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.652,0.652,False,
2,T52_S002,Bulbasaur_vs_Eevee_Opponent_Start,2,Player,['Bind Down'],Bind Down,Ascension,0.7146666666666667,0.11066666666666666,False,
2,T52_S002,Bulbasaur_vs_Eevee_Opponent_Start,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7693333333333333,0.7693333333333333,False,
2,T52_S002,Bulbasaur_vs_Eevee_Opponent_Start,4,Player,['Bind Down'],Bind Down,Ascension,0.6373333333333333,0.13733333333333334,False,
2,T52_S002,Bulbasaur_vs_Eevee_Opponent_Start,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8186666666666667,0.8186666666666667,False,
2,T52_S002,Bulbasaur_vs_Eevee_Opponent_Start,6,Player,['Bind Down'],Bind Down,Ascension,0.528,0.12266666666666666,False,
2,T52_S002,Bulbasaur_vs_Eevee_Opponent_Start,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8946666666666667,0.8946666666666667,False,
3,T52_S003,Charmander_vs_Eevee_Player_Start,1,Player,['Live Coal'],Live Coal,Ascension,0.6013333333333334,0.06266666666666666,False,
3,T52_S003,Charmander_vs_Eevee_Player_Start,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7773333333333333,0.7773333333333333,False,
3,T52_S003,Charmander_vs_Eevee_Player_Start,3,Player,['Live Coal'],Live Coal,Ascension,0.7213333333333334,0.09466666666666666,False,
3,T52_S003,Charmander_vs_Eevee_Player_Start,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8346666666666667,0.8346666666666667,False,
3,T52_S003,Charmander_vs_Eevee_Player_Start,5,Player,['Live Coal'],Live Coal,Ascension,0.644,0.096,False,
4,T52_S004,Charmander_vs_Eevee_Opponent_Start,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.668,0.668,False,
4,T52_S004,Charmander_vs_Eevee_Opponent_Start,2,Player,['Live Coal'],Live Coal,Ascension,0.7546666666666667,0.07733333333333334,False,
4,T52_S004,Charmander_vs_Eevee_Opponent_Start,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.784,0.784,False,
4,T52_S004,Charmander_vs_Eevee_Opponent_Start,4,Player,['Live Coal'],Live Coal,Ascension,0.684,0.09333333333333334,False,
4,T52_S004,Charmander_vs_Eevee_Opponent_Start,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8493333333333334,0.8493333333333334,False,
4,T52_S004,Charmander_vs_Eevee_Opponent_Start,6,Player,['Live Coal'],Live Coal,Ascension,0.5186666666666667,0.08266666666666667,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,1,Player,['Tuck Tail'],Tuck Tail,Ascension,0.62,0.029333333333333333,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,2,Opponent,['Bind Down'],Bind Down,Ascension,0.804,0.0013333333333333333,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,3,Player,['Tuck Tail'],Tuck Tail,Ascension,0.7586666666666667,0.036,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,4,Opponent,['Bind Down'],Bind Down,Ascension,0.7893333333333333,0.0013333333333333333,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,5,Player,['Tuck Tail'],Tuck Tail,Ascension,0.7573333333333333,0.036,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,6,Opponent,['Bind Down'],Bind Down,Ascension,0.756,0.0013333333333333333,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,7,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6626666666666666,0.058666666666666666,False,
