battle_number,scenario_id,scenario_name,base_scenario_id,condition_id,condition_name,player_card,opponent_card,starting_side,starting_turn_number,starting_player_hp,starting_opponent_hp,starting_player_energy,starting_opponent_energy,winner,starter_won,player_won,opponent_won,draw,recorded_turns,final_turn_number,final_player_hp,final_opponent_hp,policy_decisions,fallback_decisions,fallback_rate,masking_changes,masking_change_rate,average_confidence,minimum_confidence,maximum_confidence,termination_reason,transcript_file,battle_completed,error_type,error_message
1,T52_S001__BASELINE,Bulbasaur_vs_Eevee_Player_Start__BASELINE,T52_S001,BASELINE,Baseline,Bulbasaur,Eevee,Player,1,80.0,50.0,3,3,Opponent,False,False,True,False,8,9,0.0,10.0,8,0,0.0,4,0.5,0.7145,0.5013333333333333,0.912,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S001__BASELINE_transcript.txt,True,,
2,T52_S001__HP_PRESSURE,Bulbasaur_vs_Eevee_Player_Start__HP_PRESSURE,T52_S001,HP_PRESSURE,Player HP Pressure,Bulbasaur,Eevee,Player,5,40.0,50.0,3,3,Opponent,False,False,True,False,4,9,0.0,30.0,4,0,0.0,2,0.5,0.747,0.5266666666666666,0.8946666666666667,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S001__HP_PRESSURE_transcript.txt,True,,
3,T52_S001__ENERGY_PRESSURE,Bulbasaur_vs_Eevee_Player_Start__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,Opponent Energy Pressure,Bulbasaur,Eevee,Player,3,80.0,50.0,3,1,Player,True,True,False,False,9,12,80.0,0.0,9,0,0.0,5,0.5555555555555556,0.7534814814814815,0.612,0.8786666666666667,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S001__ENERGY_PRESSURE_transcript.txt,True,,
4,T52_S002__BASELINE,Bulbasaur_vs_Eevee_Opponent_Start__BASELINE,T52_S002,BASELINE,Baseline,Bulbasaur,Eevee,Opponent,1,80.0,50.0,3,3,Opponent,True,False,True,False,7,8,0.0,20.0,7,0,0.0,3,0.42857142857142855,0.7163809523809525,0.528,0.8946666666666667,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S002__BASELINE_transcript.txt,True,,
5,T52_S002__HP_PRESSURE,Bulbasaur_vs_Eevee_Opponent_Start__HP_PRESSURE,T52_S002,HP_PRESSURE,Player HP Pressure,Bulbasaur,Eevee,Opponent,5,40.0,50.0,3,3,Opponent,True,False,True,False,3,8,0.0,40.0,3,0,0.0,1,0.3333333333333333,0.7453333333333333,0.568,0.888,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S002__HP_PRESSURE_transcript.txt,True,,
6,T52_S002__ENERGY_PRESSURE,Bulbasaur_vs_Eevee_Opponent_Start__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,3,80.0,50.0,3,1,Player,False,True,False,False,10,13,80.0,0.0,10,0,0.0,5,0.5,0.7605333333333334,0.612,0.8933333333333333,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S002__ENERGY_PRESSURE_transcript.txt,True,,
7,T52_S003__BASELINE,Charmander_vs_Eevee_Player_Start__BASELINE,T52_S003,BASELINE,Baseline,Charmander,Eevee,Player,1,80.0,50.0,3,3,Player,True,True,False,False,5,6,40.0,0.0,5,0,0.0,3,0.6,0.7157333333333333,0.6013333333333334,0.8346666666666667,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S003__BASELINE_transcript.txt,True,,
8,T52_S003__HP_PRESSURE,Charmander_vs_Eevee_Player_Start__HP_PRESSURE,T52_S003,HP_PRESSURE,Player HP Pressure,Charmander,Eevee,Player,5,40.0,50.0,3,3,Opponent,False,False,True,False,4,9,0.0,10.0,4,0,0.0,2,0.5,0.7683333333333334,0.5346666666666666,0.9226666666666666,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S003__HP_PRESSURE_transcript.txt,True,,
9,T52_S003__ENERGY_PRESSURE,Charmander_vs_Eevee_Player_Start__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,Opponent Energy Pressure,Charmander,Eevee,Player,3,80.0,50.0,3,1,Player,True,True,False,False,5,8,80.0,0.0,5,0,0.0,3,0.6,0.7698666666666668,0.644,0.86,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S003__ENERGY_PRESSURE_transcript.txt,True,,
10,T52_S004__BASELINE,Charmander_vs_Eevee_Opponent_Start__BASELINE,T52_S004,BASELINE,Baseline,Charmander,Eevee,Opponent,1,80.0,50.0,3,3,Player,False,True,False,False,6,7,20.0,0.0,6,0,0.0,3,0.5,0.709777777777778,0.5186666666666667,0.8493333333333334,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S004__BASELINE_transcript.txt,True,,
11,T52_S004__HP_PRESSURE,Charmander_vs_Eevee_Opponent_Start__HP_PRESSURE,T52_S004,HP_PRESSURE,Player HP Pressure,Charmander,Eevee,Opponent,5,40.0,50.0,3,3,Opponent,True,False,True,False,3,8,0.0,30.0,3,0,0.0,1,0.3333333333333333,0.7591111111111112,0.5933333333333334,0.896,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S004__HP_PRESSURE_transcript.txt,True,,
