battle_number,scenario_id,base_scenario_id,condition_id,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason,masking_changed_action
1,T52_S001__BASELINE,T52_S001,BASELINE,1,Player,['Bind Down'],Bind Down,Ascension,0.564,0.088,False,,True
1,T52_S001__BASELINE,T52_S001,BASELINE,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7586666666666667,0.7586666666666667,False,,False
1,T52_S001__BASELINE,T52_S001,BASELINE,3,Player,['Bind Down'],Bind Down,Ascension,0.68,0.136,False,,True
1,T52_S001__BASELINE,T52_S001,BASELINE,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7706666666666667,0.7706666666666667,False,,False
1,T52_S001__BASELINE,T52_S001,BASELINE,5,Player,['Bind Down'],Bind Down,Ascension,0.632,0.14,False,,True
1,T52_S001__BASELINE,T52_S001,BASELINE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8973333333333333,0.8973333333333333,False,,False
1,T52_S001__BASELINE,T52_S001,BASELINE,7,Player,['Bind Down'],Bind Down,Ascension,0.5013333333333333,0.124,False,,True
1,T52_S001__BASELINE,T52_S001,BASELINE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.912,0.912,False,,False
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,5,Player,['Bind Down'],Bind Down,Ascension,0.6746666666666666,0.112,False,,True
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.892,0.892,False,,False
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,7,Player,['Bind Down'],Bind Down,Ascension,0.5266666666666666,0.124,False,,True
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8946666666666667,0.8946666666666667,False,,False
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,3,Player,['Bind Down'],Bind Down,Ascension,0.7733333333333333,0.10933333333333334,False,,True
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,4,Opponent,['Ascension'],Ascension,Ascension,0.8786666666666667,0.8786666666666667,False,,False
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,5,Player,['Bind Down'],Bind Down,Ascension,0.7413333333333333,0.132,False,,True
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,6,Opponent,['Ascension'],Ascension,Ascension,0.8653333333333333,0.8653333333333333,False,,False
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,7,Player,['Bind Down'],Bind Down,Ascension,0.7066666666666667,0.13866666666666666,False,,True
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,8,Opponent,['Ascension'],Ascension,Ascension,0.8093333333333333,0.8093333333333333,False,,False
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,9,Player,['Bind Down'],Bind Down,Ascension,0.64,0.12666666666666668,False,,True
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,10,Opponent,['Ascension'],Ascension,Ascension,0.7546666666666667,0.7546666666666667,False,,False
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,11,Player,['Bind Down'],Bind Down,Ascension,0.612,0.12666666666666668,False,,True
4,T52_S002__BASELINE,T52_S002,BASELINE,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.652,0.652,False,,False
4,T52_S002__BASELINE,T52_S002,BASELINE,2,Player,['Bind Down'],Bind Down,Ascension,0.7146666666666667,0.11066666666666666,False,,True
4,T52_S002__BASELINE,T52_S002,BASELINE,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7693333333333333,0.7693333333333333,False,,False
4,T52_S002__BASELINE,T52_S002,BASELINE,4,Player,['Bind Down'],Bind Down,Ascension,0.6373333333333333,0.13733333333333334,False,,True
