battle_number,scenario_id,base_scenario_id,condition_id,record_number,turn_number,acting_side,pokemon_name,move_name,damage,score,player_hp_after,opponent_hp_after,next_side
1,T52_S001__BASELINE,T52_S001,BASELINE,1,1,Player,Bulbasaur,Bind Down,10.0,0.564,80.0,40.0,Opponent
1,T52_S001__BASELINE,T52_S001,BASELINE,2,2,Opponent,Eevee,Quick Attack,20.0,0.7586666666666667,60.0,40.0,Player
1,T52_S001__BASELINE,T52_S001,BASELINE,3,3,Player,Bulbasaur,Bind Down,10.0,0.68,60.0,30.0,Opponent
1,T52_S001__BASELINE,T52_S001,BASELINE,4,4,Opponent,Eevee,Quick Attack,20.0,0.7706666666666667,40.0,30.0,Player
1,T52_S001__BASELINE,T52_S001,BASELINE,5,5,Player,Bulbasaur,Bind Down,10.0,0.632,40.0,20.0,Opponent
1,T52_S001__BASELINE,T52_S001,BASELINE,6,6,Opponent,Eevee,Quick Attack,20.0,0.8973333333333333,20.0,20.0,Player
1,T52_S001__BASELINE,T52_S001,BASELINE,7,7,Player,Bulbasaur,Bind Down,10.0,0.5013333333333333,20.0,10.0,Opponent
1,T52_S001__BASELINE,T52_S001,BASELINE,8,8,Opponent,Eevee,Quick Attack,20.0,0.912,0.0,10.0,Player
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,1,5,Player,Bulbasaur,Bind Down,10.0,0.6746666666666666,40.0,40.0,Opponent
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,2,6,Opponent,Eevee,Quick Attack,20.0,0.892,20.0,40.0,Player
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,3,7,Player,Bulbasaur,Bind Down,10.0,0.5266666666666666,20.0,30.0,Opponent
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,4,8,Opponent,Eevee,Quick Attack,20.0,0.8946666666666667,0.0,30.0,Player
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,1,3,Player,Bulbasaur,Bind Down,10.0,0.7733333333333333,80.0,40.0,Opponent
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,2,4,Opponent,Eevee,Ascension,0.0,0.8786666666666667,80.0,40.0,Player
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,3,5,Player,Bulbasaur,Bind Down,10.0,0.7413333333333333,80.0,30.0,Opponent
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,4,6,Opponent,Eevee,Ascension,0.0,0.8653333333333333,80.0,30.0,Player
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,5,7,Player,Bulbasaur,Bind Down,10.0,0.7066666666666667,80.0,20.0,Opponent
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,6,8,Opponent,Eevee,Ascension,0.0,0.8093333333333333,80.0,20.0,Player
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,7,9,Player,Bulbasaur,Bind Down,10.0,0.64,80.0,10.0,Opponent
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,8,10,Opponent,Eevee,Ascension,0.0,0.7546666666666667,80.0,10.0,Player
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,9,11,Player,Bulbasaur,Bind Down,10.0,0.612,80.0,0.0,Opponent
4,T52_S002__BASELINE,T52_S002,BASELINE,1,1,Opponent,Eevee,Quick Attack,20.0,0.652,60.0,50.0,Player
4,T52_S002__BASELINE,T52_S002,BASELINE,2,2,Player,Bulbasaur,Bind Down,10.0,0.7146666666666667,60.0,40.0,Opponent
4,T52_S002__BASELINE,T52_S002,BASELINE,3,3,Opponent,Eevee,Quick Attack,20.0,0.7693333333333333,40.0,40.0,Player
4,T52_S002__BASELINE,T52_S002,BASELINE,4,4,Player,Bulbasaur,Bind Down,10.0,0.6373333333333333,40.0,30.0,Opponent
4,T52_S002__BASELINE,T52_S002,BASELINE,5,5,Opponent,Eevee,Quick Attack,20.0,0.8186666666666667,20.0,30.0,Player
4,T52_S002__BASELINE,T52_S002,BASELINE,6,6,Player,Bulbasaur,Bind Down,10.0,0.528,20.0,20.0,Opponent
4,T52_S002__BASELINE,T52_S002,BASELINE,7,7,Opponent,Eevee,Quick Attack,20.0,0.8946666666666667,0.0,20.0,Player
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,1,5,Opponent,Eevee,Quick Attack,20.0,0.78,20.0,50.0,Player
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,2,6,Player,Bulbasaur,Bind Down,10.0,0.568,20.0,40.0,Opponent
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,3,7,Opponent,Eevee,Quick Attack,20.0,0.888,0.0,40.0,Player
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,1,3,Opponent,Eevee,Ascension,0.0,0.8933333333333333,80.0,50.0,Player
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,2,4,Player,Bulbasaur,Bind Down,10.0,0.7733333333333333,80.0,40.0,Opponent
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,3,5,Opponent,Eevee,Ascension,0.0,0.8786666666666667,80.0,40.0,Player
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,4,6,Player,Bulbasaur,Bind Down,10.0,0.7133333333333334,80.0,30.0,Opponent
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,5,7,Opponent,Eevee,Ascension,0.0,0.8586666666666667,80.0,30.0,Player
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,6,8,Player,Bulbasaur,Bind Down,10.0,0.6973333333333334,80.0,20.0,Opponent
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,7,9,Opponent,Eevee,Ascension,0.0,0.784,80.0,20.0,Player
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,8,10,Player,Bulbasaur,Bind Down,10.0,0.64,80.0,10.0,Opponent
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,9,11,Opponent,Eevee,Ascension,0.0,0.7546666666666667,80.0,10.0,Player
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,10,12,Player,Bulbasaur,Bind Down,10.0,0.612,80.0,0.0,Opponent
7,T52_S003__BASELINE,T52_S003,BASELINE,1,1,Player,Charmander,Live Coal,20.0,0.6013333333333334,80.0,30.0,Opponent
7,T52_S003__BASELINE,T52_S003,BASELINE,2,2,Opponent,Eevee,Quick Attack,20.0,0.7773333333333333,60.0,30.0,Player
7,T52_S003__BASELINE,T52_S003,BASELINE,3,3,Player,Charmander,Live Coal,20.0,0.7213333333333334,60.0,10.0,Opponent
7,T52_S003__BASELINE,T52_S003,BASELINE,4,4,Opponent,Eevee,Quick Attack,20.0,0.8346666666666667,40.0,10.0,Player
7,T52_S003__BASELINE,T52_S003,BASELINE,5,5,Player,Charmander,Live Coal,20.0,0.644,40.0,0.0,Opponent
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,1,5,Player,Charmander,Live Coal,20.0,0.7173333333333334,40.0,30.0,Opponent
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,2,6,Opponent,Eevee,Quick Attack,20.0,0.8986666666666666,20.0,30.0,Player
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,3,7,Player,Charmander,Live Coal,20.0,0.5346666666666666,20.0,10.0,Opponent
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,4,8,Opponent,Eevee,Quick Attack,20.0,0.9226666666666666,0.0,10.0,Player
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,1,3,Player,Charmander,Live Coal,20.0,0.8,80.0,30.0,Opponent
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,2,4,Opponent,Eevee,Ascension,0.0,0.86,80.0,30.0,Player
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,3,5,Player,Charmander,Live Coal,20.0,0.772,80.0,10.0,Opponent
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,4,6,Opponent,Eevee,Ascension,0.0,0.7733333333333333,80.0,10.0,Player
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,5,7,Player,Charmander,Live Coal,20.0,0.644,80.0,0.0,Opponent
10,T52_S004__BASELINE,T52_S004,BASELINE,1,1,Opponent,Eevee,Quick Attack,20.0,0.668,60.0,50.0,Player
10,T52_S004__BASELINE,T52_S004,BASELINE,2,2,Player,Charmander,Live Coal,20.0,0.7546666666666667,60.0,30.0,Opponent
10,T52_S004__BASELINE,T52_S004,BASELINE,3,3,Opponent,Eevee,Quick Attack,20.0,0.784,40.0,30.0,Player
10,T52_S004__BASELINE,T52_S004,BASELINE,4,4,Player,Charmander,Live Coal,20.0,0.684,40.0,10.0,Opponent
10,T52_S004__BASELINE,T52_S004,BASELINE,5,5,Opponent,Eevee,Quick Attack,20.0,0.8493333333333334,20.0,10.0,Player
10,T52_S004__BASELINE,T52_S004,BASELINE,6,6,Player,Charmander,Live Coal,20.0,0.5186666666666667,20.0,0.0,Opponent
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,1,5,Opponent,Eevee,Quick Attack,20.0,0.788,20.0,50.0,Player
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,2,6,Player,Charmander,Live Coal,20.0,0.5933333333333334,20.0,30.0,Opponent
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,3,7,Opponent,Eevee,Quick Attack,20.0,0.896,0.0,30.0,Player
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,1,3,Opponent,Eevee,Ascension,0.0,0.8813333333333333,80.0,50.0,Player
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,2,4,Player,Charmander,Live Coal,20.0,0.8,80.0,30.0,Opponent
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,3,5,Opponent,Eevee,Ascension,0.0,0.86,80.0,30.0,Player
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,4,6,Player,Charmander,Live Coal,20.0,0.7413333333333333,80.0,10.0,Opponent
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,5,7,Opponent,Eevee,Ascension,0.0,0.7533333333333333,80.0,10.0,Player
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,6,8,Player,Charmander,Live Coal,20.0,0.6333333333333333,80.0,0.0,Opponent
13,T52_S005__BASELINE,T52_S005,BASELINE,1,1,Player,Meowth,Tuck Tail,0.0,0.62,60.0,80.0,Opponent
13,T52_S005__BASELINE,T52_S005,BASELINE,2,2,Opponent,Bulbasaur,Bind Down,10.0,0.804,50.0,80.0,Player
13,T52_S005__BASELINE,T52_S005,BASELINE,3,3,Player,Meowth,Tuck Tail,0.0,0.7586666666666667,50.0,80.0,Opponent
13,T52_S005__BASELINE,T52_S005,BASELINE,4,4,Opponent,Bulbasaur,Bind Down,10.0,0.7893333333333333,40.0,80.0,Player
13,T52_S005__BASELINE,T52_S005,BASELINE,5,5,Player,Meowth,Tuck Tail,0.0,0.7573333333333333,40.0,80.0,Opponent
13,T52_S005__BASELINE,T52_S005,BASELINE,6,6,Opponent,Bulbasaur,Bind Down,10.0,0.756,30.0,80.0,Player
13,T52_S005__BASELINE,T52_S005,BASELINE,7,7,Player,Meowth,Tuck Tail,0.0,0.6626666666666666,30.0,80.0,Opponent
13,T52_S005__BASELINE,T52_S005,BASELINE,8,8,Opponent,Bulbasaur,Bind Down,10.0,0.6773333333333333,20.0,80.0,Player
13,T52_S005__BASELINE,T52_S005,BASELINE,9,9,Player,Meowth,Tuck Tail,0.0,0.6293333333333333,20.0,80.0,Opponent
13,T52_S005__BASELINE,T52_S005,BASELINE,10,10,Opponent,Bulbasaur,Bind Down,10.0,0.652,10.0,80.0,Player
13,T52_S005__BASELINE,T52_S005,BASELINE,11,11,Player,Meowth,Tuck Tail,0.0,0.6306666666666667,10.0,80.0,Opponent
13,T52_S005__BASELINE,T52_S005,BASELINE,12,12,Opponent,Bulbasaur,Bind Down,10.0,0.6533333333333333,0.0,80.0,Player
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,1,5,Player,Meowth,Tuck Tail,0.0,0.7586666666666667,30.0,80.0,Opponent
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,2,6,Opponent,Bulbasaur,Bind Down,10.0,0.728,20.0,80.0,Player
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,3,7,Player,Meowth,Tuck Tail,0.0,0.6546666666666666,20.0,80.0,Opponent
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,4,8,Opponent,Bulbasaur,Bind Down,10.0,0.6706666666666666,10.0,80.0,Player
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,5,9,Player,Meowth,Tuck Tail,0.0,0.6306666666666667,10.0,80.0,Opponent
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,6,10,Opponent,Bulbasaur,Bind Down,10.0,0.6533333333333333,0.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,1,3,Player,Meowth,Tuck Tail,0.0,0.5653333333333334,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,2,4,Opponent,Bulbasaur,Pass,0.0,0.592,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,3,5,Player,Meowth,Tuck Tail,0.0,0.5706666666666667,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,4,6,Opponent,Bulbasaur,Pass,0.0,0.5626666666666666,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,5,7,Player,Meowth,Tuck Tail,0.0,0.5,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,6,8,Opponent,Bulbasaur,Pass,0.0,0.5186666666666667,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,7,9,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,8,10,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,9,11,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,10,12,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,11,13,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,12,14,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,13,15,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,14,16,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,15,17,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,16,18,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,17,19,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,18,20,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,19,21,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,20,22,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,21,23,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,22,24,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,23,25,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,24,26,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,25,27,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,26,28,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,27,29,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,28,30,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,29,31,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,30,32,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
16,T52_S006__BASELINE,T52_S006,BASELINE,1,1,Opponent,Bulbasaur,Bind Down,10.0,0.648,50.0,80.0,Player
16,T52_S006__BASELINE,T52_S006,BASELINE,2,2,Player,Meowth,Tuck Tail,0.0,0.764,50.0,80.0,Opponent
16,T52_S006__BASELINE,T52_S006,BASELINE,3,3,Opponent,Bulbasaur,Bind Down,10.0,0.7893333333333333,40.0,80.0,Player
16,T52_S006__BASELINE,T52_S006,BASELINE,4,4,Player,Meowth,Tuck Tail,0.0,0.7586666666666667,40.0,80.0,Opponent
16,T52_S006__BASELINE,T52_S006,BASELINE,5,5,Opponent,Bulbasaur,Bind Down,10.0,0.7893333333333333,30.0,80.0,Player
16,T52_S006__BASELINE,T52_S006,BASELINE,6,6,Player,Meowth,Tuck Tail,0.0,0.704,30.0,80.0,Opponent
16,T52_S006__BASELINE,T52_S006,BASELINE,7,7,Opponent,Bulbasaur,Bind Down,10.0,0.684,20.0,80.0,Player
16,T52_S006__BASELINE,T52_S006,BASELINE,8,8,Player,Meowth,Tuck Tail,0.0,0.6466666666666666,20.0,80.0,Opponent
16,T52_S006__BASELINE,T52_S006,BASELINE,9,9,Opponent,Bulbasaur,Bind Down,10.0,0.652,10.0,80.0,Player
16,T52_S006__BASELINE,T52_S006,BASELINE,10,10,Player,Meowth,Tuck Tail,0.0,0.6306666666666667,10.0,80.0,Opponent
16,T52_S006__BASELINE,T52_S006,BASELINE,11,11,Opponent,Bulbasaur,Bind Down,10.0,0.6533333333333333,0.0,80.0,Player
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,1,5,Opponent,Bulbasaur,Bind Down,10.0,0.7866666666666666,20.0,80.0,Player
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,2,6,Player,Meowth,Tuck Tail,0.0,0.696,20.0,80.0,Opponent
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,3,7,Opponent,Bulbasaur,Bind Down,10.0,0.676,10.0,80.0,Player
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,4,8,Player,Meowth,Tuck Tail,0.0,0.648,10.0,80.0,Opponent
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,5,9,Opponent,Bulbasaur,Bind Down,10.0,0.6533333333333333,0.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,1,3,Opponent,Bulbasaur,Pass,0.0,0.588,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,2,4,Player,Meowth,Tuck Tail,0.0,0.5706666666666667,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,3,5,Opponent,Bulbasaur,Pass,0.0,0.592,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,4,6,Player,Meowth,Tuck Tail,0.0,0.5386666666666666,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,5,7,Opponent,Bulbasaur,Pass,0.0,0.5226666666666666,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,6,8,Player,Meowth,Tuck Tail,0.0,0.49333333333333335,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,7,9,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,8,10,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,9,11,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
