battle_number,scenario_id,base_scenario_id,condition_id,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason,masking_changed_action,legal_move_list,legal_move_count_recomputed,normalized_raw_prediction,normalized_selected_move,normalized_legal_moves,raw_prediction_legal,masking_changed_action_recomputed,masking_changed_action_stored,decision_category,selected_probability_numeric,selected_masked_probability_numeric,raw_to_selected_probability_gap,masked_probability_gain,condition_name,player_card,opponent_card,starting_side,winner,recorded_turns,starting_player_hp,starting_opponent_hp,starting_player_energy,starting_opponent_energy
1,T52_S001__BASELINE,T52_S001,BASELINE,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7586666666666667,0.7586666666666667,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.7586666666666667,0.0,0.0,-0.7586666666666667,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7706666666666667,0.7706666666666667,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.7706666666666667,0.0,0.0,-0.7706666666666667,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8973333333333333,0.8973333333333333,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.8973333333333333,0.0,0.0,-0.8973333333333333,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.912,0.912,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.912,0.0,0.0,-0.912,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.892,0.892,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.892,0.0,0.0,-0.892,Player HP Pressure,Bulbasaur,Eevee,Player,Opponent,4,40.0,50.0,3,3
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8946666666666667,0.8946666666666667,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.8946666666666667,0.0,0.0,-0.8946666666666667,Player HP Pressure,Bulbasaur,Eevee,Player,Opponent,4,40.0,50.0,3,3
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,4,Opponent,['Ascension'],Ascension,Ascension,0.8786666666666667,0.8786666666666667,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.8786666666666667,0.0,0.0,-0.8786666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,6,Opponent,['Ascension'],Ascension,Ascension,0.8653333333333333,0.8653333333333333,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.8653333333333333,0.0,0.0,-0.8653333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,8,Opponent,['Ascension'],Ascension,Ascension,0.8093333333333333,0.8093333333333333,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.8093333333333333,0.0,0.0,-0.8093333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,10,Opponent,['Ascension'],Ascension,Ascension,0.7546666666666667,0.7546666666666667,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.7546666666666667,0.0,0.0,-0.7546666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
4,T52_S002__BASELINE,T52_S002,BASELINE,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.652,0.652,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.652,0.0,0.0,-0.652,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7693333333333333,0.7693333333333333,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.7693333333333333,0.0,0.0,-0.7693333333333333,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8186666666666667,0.8186666666666667,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.8186666666666667,0.0,0.0,-0.8186666666666667,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8946666666666667,0.8946666666666667,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.8946666666666667,0.0,0.0,-0.8946666666666667,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.78,0.78,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.78,0.0,0.0,-0.78,Player HP Pressure,Bulbasaur,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.888,0.888,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.888,0.0,0.0,-0.888,Player HP Pressure,Bulbasaur,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,3,Opponent,['Ascension'],Ascension,Ascension,0.8933333333333333,0.8933333333333333,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.8933333333333333,0.0,0.0,-0.8933333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,5,Opponent,['Ascension'],Ascension,Ascension,0.8786666666666667,0.8786666666666667,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.8786666666666667,0.0,0.0,-0.8786666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,7,Opponent,['Ascension'],Ascension,Ascension,0.8586666666666667,0.8586666666666667,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.8586666666666667,0.0,0.0,-0.8586666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,9,Opponent,['Ascension'],Ascension,Ascension,0.784,0.784,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.784,0.0,0.0,-0.784,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,11,Opponent,['Ascension'],Ascension,Ascension,0.7546666666666667,0.7546666666666667,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.7546666666666667,0.0,0.0,-0.7546666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
7,T52_S003__BASELINE,T52_S003,BASELINE,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7773333333333333,0.7773333333333333,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.7773333333333333,0.0,0.0,-0.7773333333333333,Baseline,Charmander,Eevee,Player,Player,5,80.0,50.0,3,3
7,T52_S003__BASELINE,T52_S003,BASELINE,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8346666666666667,0.8346666666666667,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.8346666666666667,0.0,0.0,-0.8346666666666667,Baseline,Charmander,Eevee,Player,Player,5,80.0,50.0,3,3
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8986666666666666,0.8986666666666666,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.8986666666666666,0.0,0.0,-0.8986666666666666,Player HP Pressure,Charmander,Eevee,Player,Opponent,4,40.0,50.0,3,3
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.9226666666666666,0.9226666666666666,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.9226666666666666,0.0,0.0,-0.9226666666666666,Player HP Pressure,Charmander,Eevee,Player,Opponent,4,40.0,50.0,3,3
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,4,Opponent,['Ascension'],Ascension,Ascension,0.86,0.86,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.86,0.0,0.0,-0.86,Opponent Energy Pressure,Charmander,Eevee,Player,Player,5,80.0,50.0,3,1
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,6,Opponent,['Ascension'],Ascension,Ascension,0.7733333333333333,0.7733333333333333,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.7733333333333333,0.0,0.0,-0.7733333333333333,Opponent Energy Pressure,Charmander,Eevee,Player,Player,5,80.0,50.0,3,1
10,T52_S004__BASELINE,T52_S004,BASELINE,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.668,0.668,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.668,0.0,0.0,-0.668,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
10,T52_S004__BASELINE,T52_S004,BASELINE,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.784,0.784,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.784,0.0,0.0,-0.784,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
10,T52_S004__BASELINE,T52_S004,BASELINE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8493333333333334,0.8493333333333334,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.8493333333333334,0.0,0.0,-0.8493333333333334,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.788,0.788,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.788,0.0,0.0,-0.788,Player HP Pressure,Charmander,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.896,0.896,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,0.896,0.0,0.0,-0.896,Player HP Pressure,Charmander,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,3,Opponent,['Ascension'],Ascension,Ascension,0.8813333333333333,0.8813333333333333,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.8813333333333333,0.0,0.0,-0.8813333333333333,Opponent Energy Pressure,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,1
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,5,Opponent,['Ascension'],Ascension,Ascension,0.86,0.86,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.86,0.0,0.0,-0.86,Opponent Energy Pressure,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,1
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,7,Opponent,['Ascension'],Ascension,Ascension,0.7533333333333333,0.7533333333333333,False,,False,['Ascension'],1,ascension,ascension,['ascension'],True,False,False,DIRECT,0.7533333333333333,0.0,0.0,-0.7533333333333333,Opponent Energy Pressure,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,1
19,T52_S007__BASELINE,T52_S007,BASELINE,9,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,1.0,1.0,False,,False,"['Ascension', 'Quick Attack']",2,quick attack,quick attack,"['ascension', 'quick attack']",True,False,False,DIRECT,1.0,0.0,0.0,-1.0,Baseline,Bulbasaur,Eevee,Opponent,Opponent,1,20.0,20.0,3,3
