battle_number,scenario_id,base_scenario_id,condition_id,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason,masking_changed_action,legal_move_list,legal_move_count_recomputed,normalized_raw_prediction,normalized_selected_move,normalized_legal_moves,raw_prediction_legal,masking_changed_action_recomputed,masking_changed_action_stored,decision_category,selected_probability_numeric,selected_masked_probability_numeric,raw_to_selected_probability_gap,masked_probability_gain,condition_name,player_card,opponent_card,starting_side,winner,recorded_turns,starting_player_hp,starting_opponent_hp,starting_player_energy,starting_opponent_energy
1,T52_S001__BASELINE,T52_S001,BASELINE,1,Player,['Bind Down'],Bind Down,Ascension,0.564,0.088,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.088,0.0,0.476,-0.088,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7586666666666667,0.7586666666666667,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.7586666666666667,0.0,0.0,-0.7586666666666667,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,3,Player,['Bind Down'],Bind Down,Ascension,0.68,0.136,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.136,0.0,0.544,-0.136,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7706666666666667,0.7706666666666667,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.7706666666666667,0.0,0.0,-0.7706666666666667,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,5,Player,['Bind Down'],Bind Down,Ascension,0.632,0.14,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.14,0.0,0.492,-0.14,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8973333333333333,0.8973333333333333,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.8973333333333333,0.0,0.0,-0.8973333333333333,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,7,Player,['Bind Down'],Bind Down,Ascension,0.5013333333333333,0.124,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.124,0.0,0.3773333333333333,-0.124,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
1,T52_S001__BASELINE,T52_S001,BASELINE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.912,0.912,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.912,0.0,0.0,-0.912,Baseline,Bulbasaur,Eevee,Player,Opponent,8,80.0,50.0,3,3
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,5,Player,['Bind Down'],Bind Down,Ascension,0.6746666666666666,0.112,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.112,0.0,0.5626666666666666,-0.112,Player HP Pressure,Bulbasaur,Eevee,Player,Opponent,4,40.0,50.0,3,3
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.892,0.892,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.892,0.0,0.0,-0.892,Player HP Pressure,Bulbasaur,Eevee,Player,Opponent,4,40.0,50.0,3,3
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,7,Player,['Bind Down'],Bind Down,Ascension,0.5266666666666666,0.124,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.124,0.0,0.4026666666666666,-0.124,Player HP Pressure,Bulbasaur,Eevee,Player,Opponent,4,40.0,50.0,3,3
2,T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8946666666666667,0.8946666666666667,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.8946666666666667,0.0,0.0,-0.8946666666666667,Player HP Pressure,Bulbasaur,Eevee,Player,Opponent,4,40.0,50.0,3,3
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,3,Player,['Bind Down'],Bind Down,Ascension,0.7733333333333333,0.1093333333333333,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1093333333333333,0.0,0.664,-0.1093333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,4,Opponent,['Ascension'],Ascension,Ascension,0.8786666666666667,0.8786666666666667,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.8786666666666667,0.0,0.0,-0.8786666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,5,Player,['Bind Down'],Bind Down,Ascension,0.7413333333333333,0.132,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.132,0.0,0.6093333333333333,-0.132,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,6,Opponent,['Ascension'],Ascension,Ascension,0.8653333333333333,0.8653333333333333,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.8653333333333333,0.0,0.0,-0.8653333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,7,Player,['Bind Down'],Bind Down,Ascension,0.7066666666666667,0.1386666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1386666666666666,0.0,0.5680000000000001,-0.1386666666666666,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,8,Opponent,['Ascension'],Ascension,Ascension,0.8093333333333333,0.8093333333333333,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.8093333333333333,0.0,0.0,-0.8093333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
