feature_name,feature_type,dtype,missing_values,unique_values
turn_number,numeric,float64,0,33
legal_move_count_recomputed,numeric,float64,0,2
acting_energy,numeric,float64,0,4
defending_energy,numeric,float64,0,4
energy_difference,numeric,float64,0,5
absolute_energy_difference,numeric,float64,0,3
acting_damage,numeric,float64,0,1
defending_damage,numeric,float64,0,1
damage_difference,numeric,float64,0,1
absolute_damage_difference,numeric,float64,0,1
single_legal_move_flag,numeric,int64,0,2
multi_legal_move_flag,numeric,int64,0,2
model_choice_required_flag,numeric,int64,0,2
legacy_selector_required_flag,numeric,int64,0,1
confidence,numeric,float64,0,106
is_legal__ascension,numeric,int64,0,2
is_legal__bind_down,numeric,int64,0,2
is_legal__live_coal,numeric,int64,0,2
is_legal__pass,numeric,int64,0,2
is_legal__quick_attack,numeric,int64,0,2
is_legal__tuck_tail,numeric,int64,0,2
active_card_can_use__ascension,numeric,int64,0,2
active_card_can_use__bind_down,numeric,int64,0,2
active_card_can_use__live_coal,numeric,int64,0,2
active_card_can_use__pass,numeric,int64,0,2
active_card_can_use__quick_attack,numeric,int64,0,2
active_card_can_use__tuck_tail,numeric,int64,0,2
current_player,categorical,object,0,2
condition_id,categorical,object,0,3
active_card,categorical,object,0,4
inactive_card,categorical,object,0,4
legal_move_signature,categorical,object,0,6
battle_phase,categorical,object,0,3
energy_band,categorical,object,0,3
damage_band,categorical,object,0,1
confidence_band,categorical,object,0,3
routing_mode,categorical,object,0,2
