scenario_id,base_scenario_id,condition_id,turn_number,current_player,player_card,opponent_card,winner,raw_predicted_move,selected_move,routed_move,routing_reason,routing_mode,fallback_used,masking_changed_action_recomputed
T52_S001__BASELINE,T52_S001,BASELINE,1.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__BASELINE,T52_S001,BASELINE,2.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S001__BASELINE,T52_S001,BASELINE,3.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__BASELINE,T52_S001,BASELINE,4.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S001__BASELINE,T52_S001,BASELINE,5.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__BASELINE,T52_S001,BASELINE,6.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S001__BASELINE,T52_S001,BASELINE,7.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__BASELINE,T52_S001,BASELINE,8.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,5.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,6.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,7.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__HP_PRESSURE,T52_S001,HP_PRESSURE,8.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
