turn_number,legal_move_count_recomputed,acting_energy,defending_energy,energy_difference,absolute_energy_difference,acting_damage,defending_damage,damage_difference,absolute_damage_difference,single_legal_move_flag,multi_legal_move_flag,model_choice_required_flag,legacy_selector_required_flag,confidence,is_legal__ascension,is_legal__bind_down,is_legal__live_coal,is_legal__pass,is_legal__quick_attack,is_legal__tuck_tail,active_card_can_use__ascension,active_card_can_use__bind_down,active_card_can_use__live_coal,active_card_can_use__pass,active_card_can_use__quick_attack,active_card_can_use__tuck_tail,current_player,condition_id,active_card,inactive_card,legal_move_signature,battle_phase,energy_band,damage_band,confidence_band,routing_mode
1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.564,0,1,0,0,0,0,0,1,0,1,0,0,Player,BASELINE,Bulbasaur,Eevee,bind down,EARLY,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.7586666666666667,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,EARLY,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.68,0,1,0,0,0,0,0,1,0,1,0,0,Player,BASELINE,Bulbasaur,Eevee,bind down,EARLY,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.7706666666666667,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.632,0,1,0,0,0,0,0,1,0,1,0,0,Player,BASELINE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.8973333333333333,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
7.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.5013333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Player,BASELINE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,LOW,SINGLE_LEGAL_DIRECT
8.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.912,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,LATE,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6746666666666666,0,1,0,0,0,0,0,1,0,1,0,0,Player,HP_PRESSURE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.892,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Bulbasaur,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
