column_name,dtype,missing_values,unique_values
example_id,object,0,1060
variant_id,object,0,1060
source_scenario_id,object,0,106
source_match_id,int64,0,106
variant_name,object,0,10
variant_seed,int64,0,1060
queue_position,int64,0,106
curriculum_priority,float64,0,9
hard_example_rank,int64,0,106
side_mode,object,0,2
source_side,object,0,2
current_side,object,0,2
baseline_name,object,0,3
player_card,object,0,4
opponent_card,object,0,2
turn_number,int64,0,8
player_energy,int64,0,5
opponent_energy,int64,0,5
player_damage,float64,0,21
opponent_damage,float64,0,16
prize_cards_remaining,int64,0,5
hand_size,int64,0,5
state_key,object,0,40
legal_move_count,int64,0,2
legal_moves,object,0,6
expert_move,object,0,6
expert_move_key,object,0,6
value_target,float64,0,25
search_depth_requested,int64,0,1
search_depth_reached,int64,0,1
search_nodes,float64,1060,1
search_elapsed_seconds,float64,0,1043
search_timed_out,bool,0,1
principal_variation,object,0,18
raw_search_result,object,0,1047
search_success,bool,0,1
sample_weight,float64,0,6
