feature_name,feature_type,dtype,missing_values,unique_values
turn_number,numeric,float64,0,8
player_energy,numeric,float64,0,5
opponent_energy,numeric,float64,0,5
player_damage,numeric,float64,0,21
opponent_damage,numeric,float64,0,16
prize_cards_remaining,numeric,float64,0,5
hand_size,numeric,float64,0,5
recomputed_legal_move_count,numeric,float64,0,2
acting_energy,numeric,float64,0,5
defending_energy,numeric,float64,0,5
energy_difference,numeric,float64,0,3
absolute_energy_difference,numeric,float64,0,2
acting_damage,numeric,float64,0,12
defending_damage,numeric,float64,0,15
damage_difference,numeric,float64,0,19
absolute_damage_difference,numeric,float64,0,18
single_legal_move_flag,numeric,float64,0,2
multi_legal_move_flag,numeric,float64,0,2
model_choice_required_flag,numeric,float64,0,2
is_legal__ascension,numeric,float64,0,2
is_legal__bind_down,numeric,float64,0,2
is_legal__live_coal,numeric,float64,0,2
is_legal__pass,numeric,float64,0,2
is_legal__quick_attack,numeric,float64,0,2
is_legal__tuck_tail,numeric,float64,0,2
active_card_can_use__ascension,numeric,float64,0,2
active_card_can_use__bind_down,numeric,float64,0,2
active_card_can_use__live_coal,numeric,float64,0,2
active_card_can_use__pass,numeric,float64,0,2
active_card_can_use__quick_attack,numeric,float64,0,2
active_card_can_use__tuck_tail,numeric,float64,0,2
current_side,categorical,object,0,2
side_mode,categorical,object,0,2
player_card,categorical,object,0,4
opponent_card,categorical,object,0,2
active_card,categorical,object,0,4
inactive_card,categorical,object,0,4
legal_move_signature,categorical,object,0,6
battle_phase,categorical,object,0,3
energy_band,categorical,object,0,3
damage_band,categorical,object,0,3
