row_index,source_scenario_id,expert_move,legal_move_signature,sample_weight,split
0,NB48_LOSS_10,Ascension,ascension,1.6335,Training
1,NB48_LOSS_10,Bind Down,bind down,0.99,Training
2,NB48_LOSS_10,Bind Down,bind down,0.99,Training
3,NB48_LOSS_10,Quick Attack,ascension | quick attack,1.8785,Training
4,NB48_LOSS_10,Ascension,ascension,1.6335,Training
5,NB48_LOSS_10,Quick Attack,ascension | quick attack,1.8785,Training
6,NB48_LOSS_10,Ascension,ascension,1.6335,Training
7,NB48_LOSS_10,Pass,pass,1.6335,Training
8,NB48_LOSS_10,Ascension,ascension,1.6335,Training
9,NB48_LOSS_10,Quick Attack,ascension | quick attack,1.8785,Training
10,NB48_LOSS_100,Ascension,ascension,1.6335,Validation
11,NB48_LOSS_100,Bind Down,bind down,0.99,Validation
12,NB48_LOSS_100,Bind Down,bind down,0.99,Validation
13,NB48_LOSS_100,Quick Attack,ascension | quick attack,1.8785,Validation
14,NB48_LOSS_100,Ascension,ascension,1.6335,Validation
15,NB48_LOSS_100,Quick Attack,ascension | quick attack,1.8785,Validation
16,NB48_LOSS_100,Ascension,ascension,1.6335,Validation
17,NB48_LOSS_100,Pass,pass,1.6335,Validation
18,NB48_LOSS_100,Ascension,ascension,1.6335,Validation
19,NB48_LOSS_100,Quick Attack,ascension | quick attack,1.8785,Validation
20,NB48_LOSS_102,Ascension,ascension,1.6335,Training
21,NB48_LOSS_102,Live Coal,live coal,0.99,Training
22,NB48_LOSS_102,Live Coal,live coal,0.99,Training
23,NB48_LOSS_102,Quick Attack,ascension | quick attack,1.8785,Training
24,NB48_LOSS_102,Ascension,ascension,1.6335,Training
25,NB48_LOSS_102,Quick Attack,ascension | quick attack,1.8785,Training
26,NB48_LOSS_102,Ascension,ascension,1.6335,Training
27,NB48_LOSS_102,Pass,pass,1.6335,Training
28,NB48_LOSS_102,Ascension,ascension,1.6335,Training
29,NB48_LOSS_102,Quick Attack,ascension | quick attack,1.8785,Training
30,NB48_LOSS_104,Ascension,ascension,1.6335,Validation
31,NB48_LOSS_104,Bind Down,bind down,0.99,Validation
32,NB48_LOSS_104,Bind Down,bind down,0.99,Validation
33,NB48_LOSS_104,Quick Attack,ascension | quick attack,1.8785,Validation
34,NB48_LOSS_104,Ascension,ascension,1.6335,Validation
35,NB48_LOSS_104,Quick Attack,ascension | quick attack,1.8785,Validation
36,NB48_LOSS_104,Ascension,ascension,1.6335,Validation
37,NB48_LOSS_104,Pass,pass,1.6335,Validation
38,NB48_LOSS_104,Ascension,ascension,1.6335,Validation
39,NB48_LOSS_104,Quick Attack,ascension | quick attack,1.8785,Validation
40,NB48_LOSS_106,Ascension,ascension,1.6335,Validation
41,NB48_LOSS_106,Pass,pass,0.99,Validation
42,NB48_LOSS_106,Tuck Tail,tuck tail,0.99,Validation
43,NB48_LOSS_106,Quick Attack,ascension | quick attack,1.8785,Validation
44,NB48_LOSS_106,Ascension,ascension,1.6335,Validation
45,NB48_LOSS_106,Quick Attack,ascension | quick attack,1.8785,Validation
46,NB48_LOSS_106,Ascension,ascension,1.6335,Validation
47,NB48_LOSS_106,Pass,pass,1.6335,Validation
48,NB48_LOSS_106,Ascension,ascension,1.6335,Validation
49,NB48_LOSS_106,Quick Attack,ascension | quick attack,1.8785,Validation
50,NB48_LOSS_11,Ascension,ascension,1.21,Training
51,NB48_LOSS_11,Live Coal,live coal,1.3365,Training
52,NB48_LOSS_11,Live Coal,live coal,1.3365,Training
53,NB48_LOSS_11,Quick Attack,ascension | quick attack,1.3915,Training
54,NB48_LOSS_11,Ascension,ascension,1.21,Training
55,NB48_LOSS_11,Quick Attack,ascension | quick attack,1.3915,Training
56,NB48_LOSS_11,Ascension,ascension,1.21,Training
57,NB48_LOSS_11,Pass,pass,1.21,Training
58,NB48_LOSS_11,Quick Attack,ascension | quick attack,1.3915,Training
59,NB48_LOSS_11,Ascension,ascension,1.21,Training
60,NB48_LOSS_110,Ascension,ascension,1.6335,Training
61,NB48_LOSS_110,Bind Down,bind down,0.99,Training
62,NB48_LOSS_110,Bind Down,bind down,0.99,Training
63,NB48_LOSS_110,Quick Attack,ascension | quick attack,1.8785,Training
64,NB48_LOSS_110,Ascension,ascension,1.6335,Training
65,NB48_LOSS_110,Quick Attack,ascension | quick attack,1.8785,Training
66,NB48_LOSS_110,Ascension,ascension,1.6335,Training
67,NB48_LOSS_110,Pass,pass,1.6335,Training
68,NB48_LOSS_110,Ascension,ascension,1.6335,Training
69,NB48_LOSS_110,Quick Attack,ascension | quick attack,1.8785,Training
70,NB48_LOSS_111,Ascension,ascension,1.21,Training
71,NB48_LOSS_111,Live Coal,live coal,1.3365,Training
72,NB48_LOSS_111,Live Coal,live coal,1.3365,Training
73,NB48_LOSS_111,Quick Attack,ascension | quick attack,1.3915,Training
74,NB48_LOSS_111,Ascension,ascension,1.21,Training
75,NB48_LOSS_111,Quick Attack,ascension | quick attack,1.3915,Training
76,NB48_LOSS_111,Ascension,ascension,1.21,Training
77,NB48_LOSS_111,Pass,pass,1.21,Training
78,NB48_LOSS_111,Quick Attack,ascension | quick attack,1.3915,Training
79,NB48_LOSS_111,Ascension,ascension,1.21,Training
80,NB48_LOSS_114,Ascension,ascension,1.6335,Test
81,NB48_LOSS_114,Live Coal,live coal,0.99,Test
82,NB48_LOSS_114,Live Coal,live coal,0.99,Test
83,NB48_LOSS_114,Quick Attack,ascension | quick attack,1.8785,Test
84,NB48_LOSS_114,Ascension,ascension,1.6335,Test
85,NB48_LOSS_114,Quick Attack,ascension | quick attack,1.8785,Test
86,NB48_LOSS_114,Ascension,ascension,1.6335,Test
87,NB48_LOSS_114,Pass,pass,1.6335,Test
88,NB48_LOSS_114,Ascension,ascension,1.6335,Test
89,NB48_LOSS_114,Quick Attack,ascension | quick attack,1.8785,Test
90,NB48_LOSS_116,Ascension,ascension,1.6335,Training
91,NB48_LOSS_116,Bind Down,bind down,0.99,Training
92,NB48_LOSS_116,Bind Down,bind down,0.99,Training
93,NB48_LOSS_116,Quick Attack,ascension | quick attack,1.8785,Training
94,NB48_LOSS_116,Ascension,ascension,1.6335,Training
95,NB48_LOSS_116,Quick Attack,ascension | quick attack,1.8785,Training
96,NB48_LOSS_116,Ascension,ascension,1.6335,Training
97,NB48_LOSS_116,Pass,pass,1.6335,Training
98,NB48_LOSS_116,Ascension,ascension,1.6335,Training
99,NB48_LOSS_116,Quick Attack,ascension | quick attack,1.8785,Training
100,NB48_LOSS_118,Ascension,ascension,1.6335,Training
101,NB48_LOSS_118,Pass,pass,0.99,Training
102,NB48_LOSS_118,Tuck Tail,tuck tail,0.99,Training
103,NB48_LOSS_118,Quick Attack,ascension | quick attack,1.8785,Training
104,NB48_LOSS_118,Ascension,ascension,1.6335,Training
105,NB48_LOSS_118,Quick Attack,ascension | quick attack,1.8785,Training
106,NB48_LOSS_118,Ascension,ascension,1.6335,Training
107,NB48_LOSS_118,Pass,pass,1.6335,Training
