feature_index,encoded_feature_name,feature_family,training_minimum,training_maximum,training_mean,training_nonzero_count,validation_nonzero_count,test_nonzero_count
0,numeric__turn_number,numeric,1.0,10.0,5.3,840,110,110
1,numeric__player_energy,numeric,0.0,4.0,2.0,756,99,99
2,numeric__opponent_energy,numeric,0.0,4.0,2.1,756,99,99
3,numeric__player_damage,numeric,0.0,119.0,24.396428571428572,672,88,88
4,numeric__opponent_damage,numeric,0.0,44.0,13.9125,672,88,88
5,numeric__prize_cards_remaining,numeric,2.0,6.0,4.1,840,110,110
6,numeric__hand_size,numeric,3.0,7.0,4.9,840,110,110
7,numeric__recomputed_legal_move_count,numeric,1.0,2.0,1.3,840,110,110
8,numeric__acting_energy,numeric,0.0,4.0,2.0773809523809526,756,99,99
9,numeric__defending_energy,numeric,0.0,4.0,2.0226190476190475,756,99,99
10,numeric__energy_difference,numeric,-1.0,1.0,0.05476190476190476,252,33,33
11,numeric__absolute_energy_difference,numeric,0.0,1.0,0.3,252,33,33
12,numeric__acting_damage,numeric,0.0,76.5,15.125595238095238,672,88,88
13,numeric__defending_damage,numeric,0.0,119.0,23.183333333333334,672,88,88
14,numeric__damage_difference,numeric,-91.5,54.0,-8.057738095238095,672,88,88
15,numeric__absolute_damage_difference,numeric,0.0,91.5,15.50654761904762,672,88,88
16,numeric__single_legal_move_flag,numeric,0.0,1.0,0.7,588,77,77
17,numeric__multi_legal_move_flag,numeric,0.0,1.0,0.3,252,33,33
18,numeric__model_choice_required_flag,numeric,0.0,1.0,0.3,252,33,33
19,numeric__is_legal__ascension,numeric,0.0,1.0,0.7,588,77,77
20,numeric__is_legal__bind_down,numeric,0.0,1.0,0.07857142857142857,66,12,16
21,numeric__is_legal__live_coal,numeric,0.0,1.0,0.08333333333333333,70,6,4
22,numeric__is_legal__pass,numeric,0.0,1.0,0.11904761904761904,100,13,12
23,numeric__is_legal__quick_attack,numeric,0.0,1.0,0.3,252,33,33
24,numeric__is_legal__tuck_tail,numeric,0.0,1.0,0.01904761904761905,16,2,1
25,numeric__active_card_can_use__ascension,numeric,0.0,1.0,0.8,672,88,88
26,numeric__active_card_can_use__bind_down,numeric,0.0,1.0,0.07857142857142857,66,12,16
27,numeric__active_card_can_use__live_coal,numeric,0.0,1.0,0.08333333333333333,70,6,4
28,numeric__active_card_can_use__pass,numeric,0.0,1.0,0.8380952380952381,704,92,90
29,numeric__active_card_can_use__quick_attack,numeric,0.0,1.0,0.8,672,88,88
30,numeric__active_card_can_use__tuck_tail,numeric,0.0,1.0,0.0380952380952381,32,4,2
31,categorical__current_side_Opponent,categorical_one_hot,0.0,1.0,0.6642857142857143,558,82,88
32,categorical__current_side_Player,categorical_one_hot,0.0,1.0,0.3357142857142857,282,28,22
33,categorical__side_mode_FLIP,categorical_one_hot,0.0,1.0,0.2,168,22,22
34,categorical__side_mode_PRESERVE,categorical_one_hot,0.0,1.0,0.8,672,88,88
35,categorical__player_card_Bulbasaur,categorical_one_hot,0.0,1.0,0.39285714285714285,330,60,80
36,categorical__player_card_Charmander,categorical_one_hot,0.0,1.0,0.19047619047619047,160,20,20
37,categorical__player_card_Eevee,categorical_one_hot,0.0,1.0,0.2261904761904762,190,10,0
38,categorical__player_card_Meowth,categorical_one_hot,0.0,1.0,0.19047619047619047,160,20,10
39,categorical__opponent_card_Charmander,categorical_one_hot,0.0,1.0,0.2261904761904762,190,10,0
40,categorical__opponent_card_Eevee,categorical_one_hot,0.0,1.0,0.7738095238095238,650,100,110
41,categorical__active_card_Bulbasaur,categorical_one_hot,0.0,1.0,0.07857142857142857,66,12,16
42,categorical__active_card_Charmander,categorical_one_hot,0.0,1.0,0.08333333333333333,70,6,4
43,categorical__active_card_Eevee,categorical_one_hot,0.0,1.0,0.8,672,88,88
44,categorical__active_card_Meowth,categorical_one_hot,0.0,1.0,0.0380952380952381,32,4,2
45,categorical__inactive_card_Bulbasaur,categorical_one_hot,0.0,1.0,0.3142857142857143,264,48,64
46,categorical__inactive_card_Charmander,categorical_one_hot,0.0,1.0,0.3333333333333333,280,24,16
47,categorical__inactive_card_Eevee,categorical_one_hot,0.0,1.0,0.2,168,22,22
48,categorical__inactive_card_Meowth,categorical_one_hot,0.0,1.0,0.1523809523809524,128,16,8
49,categorical__legal_move_signature_ascension,categorical_one_hot,0.0,1.0,0.4,336,44,44
50,categorical__legal_move_signature_ascension | quick attack,categorical_one_hot,0.0,1.0,0.3,252,33,33
51,categorical__legal_move_signature_bind down,categorical_one_hot,0.0,1.0,0.07857142857142857,66,12,16
52,categorical__legal_move_signature_live coal,categorical_one_hot,0.0,1.0,0.08333333333333333,70,6,4
53,categorical__legal_move_signature_pass,categorical_one_hot,0.0,1.0,0.11904761904761904,100,13,12
54,categorical__legal_move_signature_tuck tail,categorical_one_hot,0.0,1.0,0.01904761904761905,16,2,1
55,categorical__battle_phase_EARLY,categorical_one_hot,0.0,1.0,0.4,336,44,44
56,categorical__battle_phase_LATE,categorical_one_hot,0.0,1.0,0.3,252,33,33
57,categorical__battle_phase_MID,categorical_one_hot,0.0,1.0,0.3,252,33,33
58,categorical__energy_band_LOW,categorical_one_hot,0.0,1.0,0.5,420,55,55
59,categorical__energy_band_READY,categorical_one_hot,0.0,1.0,0.4,336,44,44
60,categorical__energy_band_ZERO,categorical_one_hot,0.0,1.0,0.1,84,11,11
61,categorical__damage_band_HIGH_DAMAGE,categorical_one_hot,0.0,1.0,0.01904761904761905,16,2,1
62,categorical__damage_band_LOW_DAMAGE,categorical_one_hot,0.0,1.0,0.6,504,66,66
63,categorical__damage_band_MEDIUM_DAMAGE,categorical_one_hot,0.0,1.0,0.38095238095238093,320,42,43
