encoded_feature_name,importance,importance_rank
categorical__legal_move_signature_ascension,0.05628511779747432,1
numeric__is_legal__pass,0.04799978307116283,2
numeric__is_legal__ascension,0.04426070080363948,3
numeric__single_legal_move_flag,0.038381307664202564,4
categorical__legal_move_signature_pass,0.0379820570766421,5
categorical__legal_move_signature_ascension | quick attack,0.03776131945344856,6
numeric__active_card_can_use__live_coal,0.036131694298422806,7
numeric__is_legal__quick_attack,0.035459487222360975,8
numeric__multi_legal_move_flag,0.035189324368894596,9
categorical__active_card_Charmander,0.03350559079955056,10
numeric__recomputed_legal_move_count,0.03149544076658746,11
numeric__is_legal__live_coal,0.03137223325201869,12
numeric__model_choice_required_flag,0.02859590886049902,13
categorical__legal_move_signature_live coal,0.027644348537506226,14
numeric__defending_damage,0.024354377997722814,15
numeric__damage_difference,0.02352161321162608,16
numeric__active_card_can_use__pass,0.021388478747695016,17
categorical__active_card_Eevee,0.019649155060483422,18
categorical__inactive_card_Eevee,0.019213352467578482,19
numeric__active_card_can_use__quick_attack,0.018999959740871784,20
numeric__is_legal__bind_down,0.018402984063034578,21
numeric__active_card_can_use__ascension,0.017935226528192735,22
categorical__side_mode_PRESERVE,0.01691480973098919,23
numeric__acting_damage,0.016881202100312645,24
numeric__active_card_can_use__bind_down,0.016829381388164137,25
numeric__acting_energy,0.016018063730452087,26
categorical__side_mode_FLIP,0.015371531433407517,27
categorical__active_card_Bulbasaur,0.015153633451258704,28
numeric__hand_size,0.014592530253661543,29
categorical__legal_move_signature_bind down,0.014102399014928041,30
categorical__player_card_Bulbasaur,0.014091540159297079,31
categorical__legal_move_signature_tuck tail,0.013704143510928558,32
numeric__turn_number,0.013653121765310292,33
numeric__opponent_energy,0.012526099210503551,34
numeric__is_legal__tuck_tail,0.012369725068908264,35
numeric__player_energy,0.012161583931027096,36
categorical__damage_band_HIGH_DAMAGE,0.011638169993633082,37
numeric__absolute_damage_difference,0.011409823054473672,38
numeric__player_damage,0.010685395205310474,39
categorical__active_card_Meowth,0.010517225923630219,40
numeric__defending_energy,0.010352708224617927,41
numeric__active_card_can_use__tuck_tail,0.009981328092271513,42
categorical__energy_band_ZERO,0.009115273410137896,43
categorical__player_card_Meowth,0.008609453561374355,44
categorical__energy_band_LOW,0.006983848673582779,45
categorical__energy_band_READY,0.0033492005804202376,46
numeric__opponent_damage,0.0029763605923927893,47
numeric__prize_cards_remaining,0.00212963004947985,48
categorical__current_side_Player,0.0020273445905789936,49
categorical__battle_phase_LATE,0.0018315635211020199,50
categorical__current_side_Opponent,0.00150387372320415,51
categorical__battle_phase_EARLY,0.0014949078432448144,52
categorical__opponent_card_Charmander,0.0011715762913631891,53
categorical__damage_band_LOW_DAMAGE,0.0011520933060796092,54
categorical__opponent_card_Eevee,0.001098859256682708,55
categorical__player_card_Charmander,0.0008126289557440657,56
categorical__player_card_Eevee,0.0007993806562924033,57
categorical__damage_band_MEDIUM_DAMAGE,0.0004203778110162657,58
numeric__energy_difference,2.0940410460515372e-05,59
categorical__inactive_card_Meowth,1.0243439602399372e-05,60
categorical__battle_phase_MID,6.729906177751652e-06,61
categorical__inactive_card_Bulbasaur,1.8363883623673589e-06,62
categorical__inactive_card_Charmander,1.7837677267534558e-16,63
numeric__absolute_energy_difference,9.993041393240307e-17,64
