scenario_id,condition_id,turn_number,current_side,active_card,legal_move_signature,legal_move_count,notebook52_raw_prediction,notebook52_selected_move,notebook52_raw_prediction_legal,notebook52_masking_changed_action,notebook53_raw_prediction,notebook53_raw_confidence,notebook53_raw_prediction_legal,notebook53_routed_move,notebook53_routing_reason,notebook53_model_used,notebook53_matches_notebook52_selection,notebook53_raw_masking_required,notebook53_routed_move_legal,action_state_type
T52_S001__BASELINE,BASELINE,1.0,Player,Bulbasaur,bind down,1.0,Ascension,Bind Down,False,True,Bind Down,0.75,True,Bind Down,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S001__BASELINE,BASELINE,2.0,Opponent,Eevee,ascension | quick attack,2.0,Quick Attack,Quick Attack,True,False,Quick Attack,0.872,True,Quick Attack,LEGAL_MODEL_PREDICTION,True,True,False,True,MULTI_ACTION
T52_S001__BASELINE,BASELINE,3.0,Player,Bulbasaur,bind down,1.0,Ascension,Bind Down,False,True,Bind Down,0.798,True,Bind Down,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S001__BASELINE,BASELINE,4.0,Opponent,Eevee,ascension | quick attack,2.0,Quick Attack,Quick Attack,True,False,Quick Attack,0.872,True,Quick Attack,LEGAL_MODEL_PREDICTION,True,True,False,True,MULTI_ACTION
T52_S001__BASELINE,BASELINE,5.0,Player,Bulbasaur,bind down,1.0,Ascension,Bind Down,False,True,Bind Down,0.798,True,Bind Down,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S001__BASELINE,BASELINE,6.0,Opponent,Eevee,ascension | quick attack,2.0,Quick Attack,Quick Attack,True,False,Quick Attack,0.874,True,Quick Attack,LEGAL_MODEL_PREDICTION,True,True,False,True,MULTI_ACTION
T52_S001__BASELINE,BASELINE,7.0,Player,Bulbasaur,bind down,1.0,Ascension,Bind Down,False,True,Bind Down,0.796,True,Bind Down,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S001__BASELINE,BASELINE,8.0,Opponent,Eevee,ascension | quick attack,2.0,Quick Attack,Quick Attack,True,False,Quick Attack,0.876,True,Quick Attack,LEGAL_MODEL_PREDICTION,True,True,False,True,MULTI_ACTION
T52_S001__HP_PRESSURE,HP_PRESSURE,5.0,Player,Bulbasaur,bind down,1.0,Ascension,Bind Down,False,True,Bind Down,0.798,True,Bind Down,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S001__HP_PRESSURE,HP_PRESSURE,6.0,Opponent,Eevee,ascension | quick attack,2.0,Quick Attack,Quick Attack,True,False,Quick Attack,0.874,True,Quick Attack,LEGAL_MODEL_PREDICTION,True,True,False,True,MULTI_ACTION
T52_S001__HP_PRESSURE,HP_PRESSURE,7.0,Player,Bulbasaur,bind down,1.0,Ascension,Bind Down,False,True,Bind Down,0.796,True,Bind Down,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S001__HP_PRESSURE,HP_PRESSURE,8.0,Opponent,Eevee,ascension | quick attack,2.0,Quick Attack,Quick Attack,True,False,Quick Attack,0.876,True,Quick Attack,LEGAL_MODEL_PREDICTION,True,True,False,True,MULTI_ACTION
