symbol_name,exists,callable,object_type,module,signature
PokemonState,True,True,type,notebook53_simulator_runtime.battle_state,"(card: 'dict', current_hp: 'float', attached_energy: 'int' = 0, status: 'Optional[str]' = None, damage: 'float' = 0.0, is_active: 'bool' = False) -> None"
PlayerState,True,True,type,notebook53_simulator_runtime.battle_state,"(active: 'PokemonState', bench: 'List[PokemonState]', prize_cards_remaining: 'int' = 6, hand_size: 'int' = 7) -> None"
BattleState,True,True,type,notebook53_simulator_runtime.battle_state,"(player: 'PlayerState', opponent: 'PlayerState', turn_number: 'int', current_player: 'str') -> None"
AgentDecision,True,True,type,notebook53_simulator_runtime.agent_decision,"(move: 'dict[str, Any]', score: 'float', search_depth: 'int', nodes: 'int', principal_variation: 'list[dict[str, Any]]') -> None"
PokemonBattleAgent,True,True,type,notebook53_simulator_runtime.battle_agent,(engine: 'Any') -> 'None'
apply_move,True,True,function,notebook53_simulator_runtime.simulator,"(battle_state: 'BattleState', move: 'Move') -> 'BattleState'"
determine_battle_winner,True,True,function,notebook53_simulator_runtime.battle_simulation,(state: 'BattleState') -> 'Optional[str]'
simulate_ai_battle,True,True,function,notebook53_simulator_runtime.battle_simulation,"(initial_state: 'BattleState', agent: 'PokemonBattleAgent', search_depth: 'int' = 6, max_turns: 'int' = 20, verbose: 'bool' = True) -> 'BattleSimulationResult'"
create_battle_transcript,True,True,function,notebook53_simulator_runtime.battle_simulation,(simulation: 'BattleSimulationResult') -> 'str'
BattleTurnRecord,True,True,type,notebook53_simulator_runtime.battle_simulation,"(turn_number: 'int', acting_side: 'str', pokemon_name: 'str', move_name: 'str', damage: 'float', score: 'float', search_depth: 'int', nodes: 'int', player_hp_after: 'float', opponent_hp_after: 'float', next_side: 'str') -> None"
BattleSimulationResult,True,True,type,notebook53_simulator_runtime.battle_simulation,"(final_state: 'BattleState', turns: 'list[BattleTurnRecord]' = <factory>, winner: 'Optional[str]' = None, stop_reason: 'str' = '') -> None"
