decision_number,turn_number,current_player,active_card,legal_moves,selected_move,raw_prediction,confidence,routing_reason,fallback_used,search_depth,nodes,scenario_id,condition_id
1,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE
2,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE
3,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE
4,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE
5,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE
6,6,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE
7,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE
8,8,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.998,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE
1,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE
2,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE
3,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE
4,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE
1,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
2,2,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
3,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
4,4,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
5,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
6,6,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
7,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
8,8,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
9,9,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE
1,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.858,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE
2,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__BASELINE,BASELINE
3,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.886,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE
4,4,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__BASELINE,BASELINE
5,5,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE
6,6,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__BASELINE,BASELINE
7,7,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,1.0,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE
1,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.964,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__HP_PRESSURE,HP_PRESSURE
2,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__HP_PRESSURE,HP_PRESSURE
3,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__HP_PRESSURE,HP_PRESSURE
1,1,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE
