turn_number,acting_side,pokemon_name,move_name,damage,score,search_depth,nodes,player_hp_after,opponent_hp_after,next_side,scenario_id,condition_id,record_number
1,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,40.0,Opponent,T52_S001__BASELINE,BASELINE,1
2,Opponent,Eevee,Quick Attack,20.0,0.874,0,1,60.0,40.0,Player,T52_S001__BASELINE,BASELINE,2
3,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,60.0,30.0,Opponent,T52_S001__BASELINE,BASELINE,3
4,Opponent,Eevee,Quick Attack,20.0,0.874,0,1,40.0,30.0,Player,T52_S001__BASELINE,BASELINE,4
5,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,40.0,20.0,Opponent,T52_S001__BASELINE,BASELINE,5
6,Opponent,Eevee,Quick Attack,20.0,0.984,0,1,20.0,20.0,Player,T52_S001__BASELINE,BASELINE,6
7,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,10.0,Opponent,T52_S001__BASELINE,BASELINE,7
8,Opponent,Eevee,Quick Attack,20.0,0.998,0,1,0.0,10.0,Player,T52_S001__BASELINE,BASELINE,8
1,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,40.0,40.0,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,1
2,Opponent,Eevee,Quick Attack,20.0,0.984,0,1,20.0,40.0,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,2
3,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,30.0,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,3
4,Opponent,Eevee,Quick Attack,20.0,0.986,0,1,0.0,30.0,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,4
1,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,40.0,Opponent,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,1
2,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,40.0,Player,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,2
3,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,30.0,Opponent,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,3
4,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,30.0,Player,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4
5,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,20.0,Opponent,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,5
