section,actual_status,expected_status,passed
section1b,NOTEBOOK52_HANDOFF_VALIDATED,NOTEBOOK52_HANDOFF_VALIDATED,True
section2a,MASKING_ERROR_ANALYSIS_COMPLETE,MASKING_ERROR_ANALYSIS_COMPLETE,True
section2b,MASKING_ROOT_CAUSE_ANALYSIS_COMPLETE,MASKING_ROOT_CAUSE_ANALYSIS_COMPLETE,True
section3a,LEGALITY_AWARE_ROUTING_VALIDATED,LEGALITY_AWARE_ROUTING_VALIDATED,True
section3b,LEGALITY_AWARE_FEATURE_SCHEMA_READY,LEGALITY_AWARE_FEATURE_SCHEMA_READY,True
section4a,SOURCE_POLICY_DATASET_DISCOVERED,SOURCE_POLICY_DATASET_DISCOVERED,True
section4b,LEGALITY_AWARE_DATASET_REBUILT,LEGALITY_AWARE_DATASET_REBUILT,True
section5a,GROUP_SAFE_SPLIT_COMPLETE,GROUP_SAFE_SPLIT_COMPLETE,True
section5b,LEGALITY_AWARE_PREPROCESSING_COMPLETE,LEGALITY_AWARE_PREPROCESSING_COMPLETE,True
section6a,LEGALITY_AWARE_MODEL_TRAINED,LEGALITY_AWARE_MODEL_TRAINED,True
section6b,FROZEN_BENCHMARK_COMPARISON_COMPLETE,FROZEN_BENCHMARK_COMPARISON_COMPLETE,True
section6c,PRODUCTION_POLICY_ADAPTER_VALIDATED,PRODUCTION_POLICY_ADAPTER_VALIDATED,True
section6d,SIMULATOR_BATTLE_RUNNER_VALIDATED,SIMULATOR_BATTLE_RUNNER_VALIDATED,True
section6e,FULL_LEGALITY_AWARE_TOURNAMENT_REPLAY_COMPLETE,FULL_LEGALITY_AWARE_TOURNAMENT_REPLAY_COMPLETE,True
