scenario_id,condition_id,turn_number,acting_side,active_card,player_card,opponent_card,starting_side,battle_winner,player_outcome,legal_move_list,selected_move,raw_prediction,confidence,confidence_band,routing_reason,priority_score,optimization_priority
T52_S004__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,Charmander,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.962,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.076,CRITICAL
T52_S002__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.964,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.072,CRITICAL
T52_S003__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,Charmander,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.064,CRITICAL
T52_S003__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,Charmander,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.064,CRITICAL
T52_S007__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.064,CRITICAL
T52_S001__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,Bulbasaur,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.032,CRITICAL
T52_S001__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,Bulbasaur,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.028,CRITICAL
T52_S002__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.028,CRITICAL
T52_S004__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,Charmander,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,VERY_HIGH,LEGAL_MODEL_PREDICTION,9.028,CRITICAL
T52_S002__BASELINE,BASELINE,1,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.858,HIGH,LEGAL_MODEL_PREDICTION,6.284,HIGH
T52_S001__BASELINE,BASELINE,2,Opponent,Eevee,Bulbasaur,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,HIGH,LEGAL_MODEL_PREDICTION,6.252,HIGH
T52_S001__BASELINE,BASELINE,4,Opponent,Eevee,Bulbasaur,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,HIGH,LEGAL_MODEL_PREDICTION,6.252,HIGH
T52_S002__BASELINE,BASELINE,3,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.886,HIGH,LEGAL_MODEL_PREDICTION,6.228,HIGH
T52_S007__BASELINE,BASELINE,1,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,VERY_HIGH,LEGAL_MODEL_PREDICTION,6.064,HIGH
T52_S001__BASELINE,BASELINE,6,Opponent,Eevee,Bulbasaur,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,VERY_HIGH,LEGAL_MODEL_PREDICTION,6.032,HIGH
T52_S002__BASELINE,BASELINE,5,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,VERY_HIGH,LEGAL_MODEL_PREDICTION,6.0280000000000005,HIGH
T52_S001__BASELINE,BASELINE,8,Opponent,Eevee,Bulbasaur,Eevee,Player,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.998,VERY_HIGH,LEGAL_MODEL_PREDICTION,6.004,HIGH
T52_S002__BASELINE,BASELINE,7,Opponent,Eevee,Bulbasaur,Eevee,Opponent,Opponent,LOSS,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,1.0,VERY_HIGH,LEGAL_MODEL_PREDICTION,6.0,HIGH
T52_S004__BASELINE,BASELINE,1,Opponent,Eevee,Charmander,Eevee,Opponent,Player,WIN,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.858,HIGH,LEGAL_MODEL_PREDICTION,2.284,MEDIUM
T52_S003__BASELINE,BASELINE,4,Opponent,Eevee,Charmander,Eevee,Player,Player,WIN,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.872,HIGH,LEGAL_MODEL_PREDICTION,2.2560000000000002,MEDIUM
T52_S003__BASELINE,BASELINE,2,Opponent,Eevee,Charmander,Eevee,Player,Player,WIN,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,HIGH,LEGAL_MODEL_PREDICTION,2.252,MEDIUM
T52_S004__BASELINE,BASELINE,3,Opponent,Eevee,Charmander,Eevee,Opponent,Player,WIN,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,HIGH,LEGAL_MODEL_PREDICTION,2.252,MEDIUM
T52_S004__BASELINE,BASELINE,5,Opponent,Eevee,Charmander,Eevee,Opponent,Player,WIN,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.956,VERY_HIGH,LEGAL_MODEL_PREDICTION,2.088,MEDIUM
