scenario_id,condition_id,turn_number,acting_side,active_card,legal_moves,selected_move,raw_prediction,confidence,routing_reason,legal_move_list,legal_move_count,action_state_type,is_strategic_opportunity,player_card,opponent_card,starting_side,battle_winner,battle_turns,final_player_hp,final_opponent_hp,player_outcome,player_win_flag,player_loss_flag,draw_flag,acting_side_won,acting_side_lost,decision_outcome_context,confidence_band,priority_score,optimization_priority,player_controlled_decision,opponent_controlled_decision,raw_prediction_matches_selection
T52_S001__BASELINE,BASELINE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,HIGH,6.252,HIGH,False,True,True
T52_S001__BASELINE,BASELINE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,HIGH,6.252,HIGH,False,True,True
T52_S001__BASELINE,BASELINE,6,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,6.032,HIGH,False,True,True
T52_S001__BASELINE,BASELINE,8,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.998,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,6.004,HIGH,False,True,True
T52_S001__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Player,Opponent,4,0.0,30.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.032,CRITICAL,False,True,True
T52_S001__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Player,Opponent,4,0.0,30.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.028,CRITICAL,False,True,True
T52_S002__BASELINE,BASELINE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.858,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,HIGH,6.284,HIGH,False,True,True
T52_S002__BASELINE,BASELINE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.886,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,HIGH,6.228,HIGH,False,True,True
T52_S002__BASELINE,BASELINE,5,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,6.0280000000000005,HIGH,False,True,True
T52_S002__BASELINE,BASELINE,7,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,1.0,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,6.0,HIGH,False,True,True
