scenario_id,condition_id,player_card,opponent_card,starting_side,battle_winner,battle_turns,final_player_hp,final_opponent_hp,player_outcome,player_win_flag,player_loss_flag,draw_flag,strategic_decisions,player_controlled_decisions,opponent_controlled_decisions,average_confidence,selected_moves,final_hp_margin_player,absolute_final_hp_margin,close_battle_flag,one_attack_swing_candidate,has_player_strategic_control,has_only_opponent_strategic_control,root_cause_category,structural_choice_deficit,optimization_window,recommended_intervention
T52_S001__BASELINE,BASELINE,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,4,0,4,0.9325,"['Quick Attack', 'Quick Attack', 'Quick Attack', 'Quick Attack']",-10.0,10.0,True,True,False,True,OPPONENT_CHOICE_ONLY,True,ONE_ATTACK_SWING,Add damage-maximizing or tempo-preserving alternative
T52_S001__HP_PRESSURE,HP_PRESSURE,Bulbasaur,Eevee,Player,Opponent,4,0.0,30.0,LOSS,0,1,0,2,0,2,0.985,"['Quick Attack', 'Quick Attack']",-30.0,30.0,False,False,False,True,OPPONENT_CHOICE_ONLY,True,TWO_ATTACK_SWING,"Add survival, retreat, healing, or defensive tactical option"
T52_S002__BASELINE,BASELINE,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,4,0,4,0.9325,"['Quick Attack', 'Quick Attack', 'Quick Attack', 'Quick Attack']",-20.0,20.0,True,True,False,True,OPPONENT_CHOICE_ONLY,True,ONE_ATTACK_SWING,Add damage-maximizing or tempo-preserving alternative
T52_S002__HP_PRESSURE,HP_PRESSURE,Bulbasaur,Eevee,Opponent,Opponent,3,0.0,40.0,LOSS,0,1,0,2,0,2,0.975,"['Quick Attack', 'Quick Attack']",-40.0,40.0,False,False,False,True,OPPONENT_CHOICE_ONLY,True,TWO_ATTACK_SWING,"Add survival, retreat, healing, or defensive tactical option"
T52_S003__HP_PRESSURE,HP_PRESSURE,Charmander,Eevee,Player,Opponent,4,0.0,10.0,LOSS,0,1,0,2,0,2,0.968,"['Quick Attack', 'Quick Attack']",-10.0,10.0,True,True,False,True,OPPONENT_CHOICE_ONLY,True,ONE_ATTACK_SWING,Add damage-maximizing or tempo-preserving alternative
T52_S004__HP_PRESSURE,HP_PRESSURE,Charmander,Eevee,Opponent,Opponent,3,0.0,30.0,LOSS,0,1,0,2,0,2,0.974,"['Quick Attack', 'Quick Attack']",-30.0,30.0,False,False,False,True,OPPONENT_CHOICE_ONLY,True,TWO_ATTACK_SWING,"Add survival, retreat, healing, or defensive tactical option"
T52_S005__BASELINE,BASELINE,Meowth,Bulbasaur,Player,Opponent,12,0.0,80.0,LOSS,0,1,0,0,0,0,0.0,[],-80.0,80.0,False,False,False,False,NO_PLAYER_STRATEGIC_CHOICE,True,STRUCTURAL_GAP,Expand Meowth beyond deterministic Tuck Tail routing
T52_S005__HP_PRESSURE,HP_PRESSURE,Meowth,Bulbasaur,Player,Opponent,6,0.0,80.0,LOSS,0,1,0,0,0,0,0.0,[],-80.0,80.0,False,False,False,False,NO_PLAYER_STRATEGIC_CHOICE,True,STRUCTURAL_GAP,"Add survival, retreat, healing, or defensive tactical option"
T52_S006__BASELINE,BASELINE,Meowth,Bulbasaur,Opponent,Opponent,11,0.0,80.0,LOSS,0,1,0,0,0,0,0.0,[],-80.0,80.0,False,False,False,False,NO_PLAYER_STRATEGIC_CHOICE,True,STRUCTURAL_GAP,Expand Meowth beyond deterministic Tuck Tail routing
T52_S006__HP_PRESSURE,HP_PRESSURE,Meowth,Bulbasaur,Opponent,Opponent,5,0.0,80.0,LOSS,0,1,0,0,0,0,0.0,[],-80.0,80.0,False,False,False,False,NO_PLAYER_STRATEGIC_CHOICE,True,STRUCTURAL_GAP,"Add survival, retreat, healing, or defensive tactical option"
T52_S007__BASELINE,BASELINE,Bulbasaur,Eevee,Opponent,Opponent,1,0.0,20.0,LOSS,0,1,0,1,0,1,0.968,['Quick Attack'],-20.0,20.0,True,True,False,True,OPPONENT_CHOICE_ONLY,True,ONE_ATTACK_SWING,Add damage-maximizing or tempo-preserving alternative
T52_S007__HP_PRESSURE,HP_PRESSURE,Bulbasaur,Eevee,Opponent,Opponent,1,0.0,20.0,LOSS,0,1,0,1,0,1,0.968,['Quick Attack'],-20.0,20.0,True,True,False,True,OPPONENT_CHOICE_ONLY,True,ONE_ATTACK_SWING,Add damage-maximizing or tempo-preserving alternative
T52_S008__BASELINE,BASELINE,Eevee,Charmander,Player,Opponent,6,0.0,80.0,LOSS,0,1,0,0,0,0,0.0,[],-80.0,80.0,False,False,False,False,NO_PLAYER_STRATEGIC_CHOICE,True,STRUCTURAL_GAP,Expand Player legal-action set and evaluate alternatives
T52_S008__HP_PRESSURE,HP_PRESSURE,Eevee,Charmander,Player,Opponent,4,0.0,80.0,LOSS,0,1,0,0,0,0,0.0,[],-80.0,80.0,False,False,False,False,NO_PLAYER_STRATEGIC_CHOICE,True,STRUCTURAL_GAP,"Add survival, retreat, healing, or defensive tactical option"
