scenario_id,condition_id,turn_number,acting_side,active_card,legal_moves,selected_move,raw_prediction,confidence,routing_reason,legal_move_list,legal_move_count,action_state_type,is_strategic_opportunity,player_card,opponent_card,starting_side,battle_winner,battle_turns,final_player_hp,final_opponent_hp,player_outcome,player_win_flag,player_loss_flag,draw_flag,acting_side_won,acting_side_lost,decision_outcome_context,confidence_band,player_has_choice
T52_S001__BASELINE,BASELINE,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__BASELINE,BASELINE,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__BASELINE,BASELINE,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__BASELINE,BASELINE,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Opponent,8,0.0,10.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__HP_PRESSURE,HP_PRESSURE,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Opponent,4,0.0,30.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__HP_PRESSURE,HP_PRESSURE,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Opponent,4,0.0,30.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Player,9,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Player,9,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Player,9,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Player,9,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
