scenario_id,condition_id,player_card,opponent_card,battle_winner,player_outcome,player_decisions,unique_selected_moves,first_player_turn,last_player_turn,selected_move_sequence,legal_move_sets,single_move_repeated
T52_S001__BASELINE,BASELINE,Bulbasaur,Eevee,Opponent,LOSS,4,1,1,7,"[""Bind Down"", ""Bind Down"", ""Bind Down"", ""Bind Down""]","[""[\""Bind Down\""]""]",True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,Bulbasaur,Eevee,Player,WIN,5,1,1,9,"[""Bind Down"", ""Bind Down"", ""Bind Down"", ""Bind Down"", ""Bind Down""]","[""[\""Bind Down\""]""]",True
T52_S001__HP_PRESSURE,HP_PRESSURE,Bulbasaur,Eevee,Opponent,LOSS,2,1,1,3,"[""Bind Down"", ""Bind Down""]","[""[\""Bind Down\""]""]",True
T52_S002__BASELINE,BASELINE,Bulbasaur,Eevee,Opponent,LOSS,3,1,2,6,"[""Bind Down"", ""Bind Down"", ""Bind Down""]","[""[\""Bind Down\""]""]",True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,Bulbasaur,Eevee,Player,WIN,5,1,2,10,"[""Bind Down"", ""Bind Down"", ""Bind Down"", ""Bind Down"", ""Bind Down""]","[""[\""Bind Down\""]""]",True
T52_S002__HP_PRESSURE,HP_PRESSURE,Bulbasaur,Eevee,Opponent,LOSS,1,1,2,2,"[""Bind Down""]","[""[\""Bind Down\""]""]",True
T52_S003__BASELINE,BASELINE,Charmander,Eevee,Player,WIN,3,1,1,5,"[""Live Coal"", ""Live Coal"", ""Live Coal""]","[""[\""Live Coal\""]""]",True
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,Charmander,Eevee,Player,WIN,3,1,1,5,"[""Live Coal"", ""Live Coal"", ""Live Coal""]","[""[\""Live Coal\""]""]",True
T52_S003__HP_PRESSURE,HP_PRESSURE,Charmander,Eevee,Opponent,LOSS,2,1,1,3,"[""Live Coal"", ""Live Coal""]","[""[\""Live Coal\""]""]",True
T52_S004__BASELINE,BASELINE,Charmander,Eevee,Player,WIN,3,1,2,6,"[""Live Coal"", ""Live Coal"", ""Live Coal""]","[""[\""Live Coal\""]""]",True
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,Charmander,Eevee,Player,WIN,3,1,2,6,"[""Live Coal"", ""Live Coal"", ""Live Coal""]","[""[\""Live Coal\""]""]",True
T52_S004__HP_PRESSURE,HP_PRESSURE,Charmander,Eevee,Opponent,LOSS,1,1,2,2,"[""Live Coal""]","[""[\""Live Coal\""]""]",True
T52_S005__BASELINE,BASELINE,Meowth,Bulbasaur,Opponent,LOSS,6,1,1,11,"[""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail""]","[""[\""Tuck Tail\""]""]",True
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,Meowth,Bulbasaur,Draw,DRAW,15,1,1,29,"[""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail""]","[""[\""Tuck Tail\""]""]",True
T52_S005__HP_PRESSURE,HP_PRESSURE,Meowth,Bulbasaur,Opponent,LOSS,3,1,1,5,"[""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail""]","[""[\""Tuck Tail\""]""]",True
T52_S006__BASELINE,BASELINE,Meowth,Bulbasaur,Opponent,LOSS,5,1,2,10,"[""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail""]","[""[\""Tuck Tail\""]""]",True
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,Meowth,Bulbasaur,Draw,DRAW,15,1,2,30,"[""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail"", ""Tuck Tail""]","[""[\""Tuck Tail\""]""]",True
T52_S006__HP_PRESSURE,HP_PRESSURE,Meowth,Bulbasaur,Opponent,LOSS,2,1,2,4,"[""Tuck Tail"", ""Tuck Tail""]","[""[\""Tuck Tail\""]""]",True
T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,Bulbasaur,Eevee,Player,WIN,2,1,2,4,"[""Bind Down"", ""Bind Down""]","[""[\""Bind Down\""]""]",True
T52_S008__BASELINE,BASELINE,Eevee,Charmander,Opponent,LOSS,3,1,1,5,"[""Ascension"", ""Ascension"", ""Ascension""]","[""[\""Ascension\""]""]",True
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,Eevee,Charmander,Draw,DRAW,15,1,1,29,"[""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension"", ""Ascension""]","[""[\""Ascension\""]""]",True
T52_S008__HP_PRESSURE,HP_PRESSURE,Eevee,Charmander,Opponent,LOSS,2,1,1,3,"[""Ascension"", ""Ascension""]","[""[\""Ascension\""]""]",True
